;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
270;32705;44196;8698;56200;107273;58651;146604;646564
271;30607;191703;81499;52717;131248;9891;81217;102882
272;440516;56941;60697;50729;94657;9692;273228;498533
273;620392;21873;93124;237790;262182;3841;380931;86949
274;74388;91944;211945;132856;108089;23532;208320;4552116
275;106296;53762;114827;325825;174799;36630;239271;814634
276;334693;171019;15364;55342;128017;89272;389331;199359
277;390466;196064;195881;107295;209482;66378;1050062;126578
278;103695;67316;47949;7174;259151;75764;34597;572591
279;43269;32195;47931;421;130216;294838;12301;459422
280;350846;240482;44627;21591;272465;164701;318199;799048
281;18910;74475;69247;34840;18228;2652;756117;320325
282;53552;13333;55703;22020;52631;136750;8936;781089
283;222079;92449;211077;65920;171968;303511;378350;217045
284;22240;318143;90517;325788;867352;61917;815636;578714
285;12138;174894;21216;22928;117307;73891;809530;620507
286;152473;321548;84138;38704;129859;12708;96343;510189
287;641901;76297;13956;15431;143423;187656;379880;493554
288;84699;3120;20010;74466;34099;156247;63893;754195
289;86501;59554;41062;124464;72111;20447;274595;4042143
290;14027;11700;26086;11018;141767;51606;449746;414939
291;947702;359884;39511;163042;185482;78912;33517;3404338
292;3425;87921;156455;68866;161470;41813;165716;291689
293;177962;213513;85473;24233;23231;117389;131899;735
294;18612;23382;72602;143550;26102;84237;482579;16209
295;189484;88454;5607;21219;378283;11844;269035;118935
296;25615;62857;11297;66281;686400;367341;112350;2204004
297;111663;20568;161501;27779;125924;385439;1844098;279413
298;220760;44756;524361;354846;110997;32267;110670;655368
299;138590;133361;325591;185360;168060;181500;298672;2145798
300;147751;8536;95544;9407;107209;32717;291906;422821
301;849058;146065;21751;47696;158883;589664;2089901;984369
302;11390;60019;70346;59258;36381;63695;124411;228704
303;51721;14862;15420;3469;51248;167528;226012;104447
304;79492;689244;223900;166507;554821;31677;61432;1260392
305;86141;14642;65234;5523;226485;16799;439551;139406
306;40028;79159;94620;14783;139022;120;504454;135869
307;33823;23049;41875;102339;34851;58110;932453;679506
308;83991;38126;158018;13787;91293;97367;23717;1416882
309;154291;184907;243411;297732;74661;59468;845074;310833
310;54962;87182;81024;29301;97233;7234;525254;812494
311;10259;129114;305513;9758;21245;107393;19756;123521
312;82554;5292;2854;314064;69178;211776;685546;596980
