;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25
30;fail;fail;fail;35763;71955;fail;fail;fail;fail;fail;15733;fail;fail;38035;fail;fail;42467;13504;fail;fail;fail;fail;3455;27408;fail;86504;fail;94164;fail;fail;66169;48935;24132;40972;fail;21305;221760;26484;64393;26933;65678;21708;68910;46939;54121;92172;5880;2130;5591;12739;91224;60683;58861;60432;151286;95345
31;fail;fail;fail;fail;fail;fail;fail;fail;fail;49724;97969;22512;1587;fail;fail;4172;fail;50593;fail;fail;fail;1668;fail;32888;fail;58882;fail;92653;33027;83305;fail;61256;fail;29361;fail;22166;55049;5674;60599;118193;48449;35;1590;91360;73832;137700;21322;12672;454082;51839;49897;112420;60537;15665;68129;13482
32;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;27893;18249;1247;fail;fail;fail;4942;72676;32970;27813;23851;66849;14905;73434;62922;fail;fail;fail;66020;88235;fail;16578;59830;76045;16595;181738;79246;20549;1003;19912;239373;40060;35706;85912;19917;9228;59270;66481;63508;101309;66633;3396;303969;6321
33;fail;fail;fail;fail;35058;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;43203;29754;fail;fail;60241;40212;4487;7929;14762;53152;fail;137757;64075;46568;72761;20071;16408;24103;169064;275374;34536;13758;36504;19221;20513;161998;13839;58020;324527;37299;154203;70604
34;fail;fail;fail;79070;fail;fail;54081;fail;fail;fail;fail;93114;26988;fail;fail;fail;fail;fail;fail;fail;fail;fail;19323;fail;fail;92189;72900;42097;50941;fail;96205;fail;fail;72236;fail;19873;65107;83148;202528;162603;20867;fail;10563;181064;136591;141497;572061;357430;23086;64940;5000;163553;90957;31282;599;16816
35;fail;fail;fail;fail;fail;75355;fail;fail;fail;fail;57374;fail;fail;90313;fail;fail;fail;49282;fail;60361;11512;2216;74158;31173;48181;fail;fail;fail;fail;fail;fail;57406;fail;fail;fail;15635;9394;314918;5975;159252;43894;103957;95042;8081;329843;144980;312814;56649;8533;4465;3579;65197;136922;456433;9543;32412
36;fail;fail;fail;fail;fail;fail;14988;fail;15656;37769;fail;16576;fail;fail;fail;fail;13546;29517;fail;fail;fail;fail;fail;20877;fail;fail;fail;30889;58247;fail;40370;75031;fail;fail;40606;83898;35132;49681;74873;83383;394154;250665;23271;44121;3164;189558;397255;225586;32745;7773;12569;29467;1644;337134;18750;155470
37;fail;fail;fail;fail;63010;fail;fail;fail;fail;fail;47709;fail;fail;fail;3575;fail;38283;fail;33435;fail;fail;fail;6182;fail;16895;fail;43473;96027;91451;fail;96387;fail;fail;fail;fail;60925;59213;292538;52449;238870;158329;10388;147052;32346;14440;146479;104477;31697;101281;101052;133063;106223;3574;26285;72518;129956
38;fail;fail;fail;4736;46136;97498;fail;fail;fail;1587;1907;68342;84772;fail;fail;fail;fail;41162;fail;fail;fail;29980;7372;52591;43579;58870;10532;63779;fail;31250;24291;fail;22621;fail;fail;119841;6978;43562;122489;fail;27644;fail;37587;124654;18419;10644;32873;22738;238530;11996;46314;156335;90090;17405;106021;69676
39;fail;fail;fail;fail;fail;27149;fail;fail;fail;fail;fail;12318;16766;fail;fail;fail;18135;16048;fail;fail;27283;70852;28524;60144;fail;fail;2664;731;6655;19083;50758;13816;8906;fail;fail;136684;1973;164767;169698;147815;339846;168351;122551;59997;42920;115693;18829;143015;41179;178356;29563;72330;107060;152596;69491;31828
40;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;32346;fail;fail;30740;fail;7848;fail;fail;fail;73495;51642;71378;62054;fail;21044;fail;42367;fail;fail;fail;43527;fail;fail;17806;3666;47016;95750;57186;388596;142980;145384;4832;45728;77214;62548;59653;7056;20858;48909;99305;90268;50485;48620;183455
41;fail;7138;fail;69993;41987;fail;fail;fail;fail;20636;fail;fail;fail;7513;fail;55576;fail;14696;fail;86121;fail;fail;fail;fail;fail;fail;fail;43272;7060;19798;5029;8523;fail;12036;16729;138742;167014;45266;38675;138007;99080;33765;32283;18668;22481;208635;206154;100543;34532;29418;50617;47156;44463;19764;248720;626407
42;fail;fail;fail;16473;33650;96559;16608;fail;fail;fail;38023;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;11;24294;13785;50579;54428;fail;fail;fail;3908;77181;fail;fail;fail;12558;17656;19874;117072;14926;42318;58178;303613;182455;247390;68117;136290;169463;152929;16998;68892;171322;49646;6141;30068;161499
43;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;47306;8321;fail;fail;71907;fail;53132;42087;63559;fail;71369;64043;42991;fail;63674;33603;fail;2536;38971;fail;fail;55851;fail;21829;61673;50533;173110;43595;77246;309847;7103;149544;584048;164508;3243;27866;688;4538;84719;113767;25210;73453;183068;184510;41625
44;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;35661;fail;86288;82740;fail;2069;155;84702;fail;2062;fail;10962;1596;fail;fail;79930;fail;94585;75235;70854;48643;fail;25656;fail;1451;22800;109673;31176;8610;4157;65843;7610;35597;19222;203615;47654;33871;456;32046;101510;17159;58774;70974;68541;197125;59001
45;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;9679;fail;13392;fail;16625;21848;fail;fail;39484;fail;15213;fail;4104;25598;49566;9792;fail;fail;fail;90475;412;9486;4030;28249;102570;92020;23148;36557;28974;298233;24533;16256;149804;8206;33875;285407;104248;201957;5720;6146;27488;118363;24828;4879;35398
46;fail;fail;fail;fail;fail;fail;fail;fail;fail;19571;39452;fail;58915;fail;fail;fail;fail;10214;fail;fail;fail;fail;15297;51500;98740;97119;21954;fail;37243;26814;71246;fail;fail;37758;9499;117351;260122;109548;174873;17912;134438;294739;2599;93633;89071;10575;73353;126883;8248;62765;58786;14145;245385;19955;30277;54134
47;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;57537;fail;fail;84189;fail;fail;3821;13220;fail;79159;50615;88391;fail;23569;fail;fail;59682;fail;86760;82816;9843;28815;70505;12760;11676;135755;119333;11946;48088;81238;212731;365590;2360;112655;141002;8466;71898;17539;142162;358933;84258;153613;275653;58424;33967;26452
48;fail;fail;fail;fail;fail;99229;fail;fail;fail;85428;fail;fail;fail;fail;fail;46391;fail;23094;fail;fail;92273;62603;56453;65126;fail;12142;fail;fail;1469;fail;75537;23925;55355;fail;74034;53501;317;13201;17842;17495;212998;36290;64015;146213;5190;184098;228953;587643;239160;138761;4196;152031;118820;9212;61173;52115
49;fail;fail;fail;fail;fail;fail;57840;fail;fail;37279;16736;fail;22944;fail;fail;53167;fail;fail;fail;fail;fail;23141;39267;42853;75814;30371;95261;49250;8449;57820;fail;fail;17177;4344;fail;8789;276029;18848;84562;63730;2226;236436;50958;150972;86973;44157;100506;23801;336794;47960;54551;145511;87947;13799;12219;85684
50;fail;fail;fail;fail;fail;73006;fail;fail;fail;78023;fail;fail;fail;fail;fail;54323;fail;25055;fail;82532;6664;802;1421;3423;94;87194;fail;66840;13036;4198;39682;19673;71195;30164;fail;16506;16297;13304;42237;12020;19946;68538;80407;14024;149276;180645;206189;87142;718140;35795;156584;4672;25330;1553;36462;50037
51;fail;fail;35269;79606;fail;fail;fail;fail;72203;fail;fail;fail;fail;fail;fail;fail;63517;6695;32867;66512;fail;fail;fail;fail;fail;fail;fail;fail;36330;51091;fail;24435;63764;fail;18654;274309;51389;120803;139477;12655;213007;29703;115479;58317;666528;158186;31928;9147;469053;267235;207544;369755;157282;26911;82543;378081
52;fail;fail;fail;fail;fail;fail;fail;fail;fail;22272;fail;650;811;fail;fail;fail;22027;40358;fail;fail;fail;81449;fail;82564;55779;48541;fail;6227;fail;fail;28064;41362;fail;62858;26541;93918;9069;61545;216005;16352;117132;42569;45510;20795;28621;68314;54954;87709;113491;55668;77831;10970;161800;66593;13943;152124
53;fail;fail;8383;fail;fail;59793;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;58902;fail;fail;fail;fail;13609;fail;fail;fail;26392;8197;fail;37491;54128;fail;18432;48987;60388;4279;176918;297536;221272;2601;62610;237062;15859;211968;281227;137815;287506;38752;7348;15306;42354;22037;81971;15364
54;fail;fail;fail;18319;37404;fail;fail;fail;fail;fail;fail;fail;fail;92510;fail;fail;fail;63702;fail;12765;71140;27656;23638;2563;fail;fail;2309;fail;34982;18900;22742;fail;24606;92705;61419;106411;278457;36361;188666;269435;178535;250818;40154;62561;247534;19964;12713;56677;52989;11145;22801;50966;4304;12494;57711;64096
55;fail;fail;fail;36329;fail;fail;fail;fail;fail;fail;26408;17330;27484;6935;fail;fail;fail;fail;8084;fail;fail;7200;18823;1334;fail;10894;fail;31134;63986;fail;19233;37387;fail;87228;fail;62709;205432;21652;52274;320190;11699;57190;96083;10197;3825;4470;21632;301753;19557;34946;71742;81833;108130;5385;33645;19693
56;fail;fail;fail;fail;fail;fail;fail;fail;67311;92122;fail;fail;34416;12223;fail;fail;4796;fail;798;67245;36334;fail;86655;15468;fail;fail;fail;fail;fail;fail;14720;fail;69927;14957;fail;218635;24224;7792;170857;7531;9931;14843;77850;30772;274674;184274;33183;211669;232;17000;60224;87941;28785;29748;268668;20742
57;fail;fail;fail;fail;fail;fail;fail;fail;17704;77558;45013;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;99100;25063;fail;25005;fail;fail;fail;25295;11541;fail;81022;fail;fail;fail;270335;3823;191363;4568;10749;224724;1889;108655;281885;68224;161915;69535;4110;4715;105471;4918;45327;7366;87424;50552;16350
58;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;18281;fail;57417;fail;fail;fail;fail;35485;59785;12224;fail;62895;65749;fail;fail;39434;fail;13734;fail;29389;48561;fail;32129;fail;fail;29467;70909;56043;39075;15782;129906;5285;18521;62225;135067;146011;104507;51529;449544;124898;131007;98120;177886;239218;168649;159960
59;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;4704;7517;22242;fail;5451;fail;61111;fail;62;fail;fail;32193;99293;66169;fail;fail;fail;fail;fail;47485;fail;3607;fail;fail;268206;80927;fail;fail;47886;273332;19197;25494;54324;135893;53635;50953;14084;129060;103255;229877;47470;190161;17692;126325;15828
60;fail;fail;fail;fail;fail;fail;14569;fail;9278;28041;47065;fail;fail;34363;fail;fail;fail;fail;fail;fail;fail;28980;fail;6539;7156;11340;59566;52434;55659;85640;982;fail;30382;fail;18816;56615;10322;48328;101974;122254;151586;87720;3413;93526;36834;55827;50665;98453;9833;19195;6818;92140;3078;131867;3676;78862
61;fail;fail;fail;61558;fail;fail;fail;fail;77792;88097;fail;12404;fail;fail;fail;6161;47470;1355;90896;fail;fail;55356;34210;fail;4630;5626;fail;32034;26001;fail;fail;25665;fail;82240;fail;4439;68859;18303;123324;175336;44455;21210;69294;126934;61204;13002;22635;5652;6256;16072;161735;45603;125843;25309;121748;41865
62;fail;fail;fail;18830;fail;4644;fail;fail;fail;fail;fail;fail;fail;fail;1471;fail;4294;87393;fail;fail;fail;24776;8786;11643;fail;8088;fail;92664;67648;33888;39359;42710;1271;83119;83419;6145;128959;52095;61945;971;13262;40018;107738;36600;26721;101299;7139;6027;177002;6122;24006;12461;5511;14787;211133;136426
63;fail;9146;fail;fail;fail;fail;fail;fail;fail;71691;27367;85585;47978;fail;fail;fail;fail;10519;fail;36873;fail;fail;59179;fail;fail;3593;42466;fail;72214;40445;79647;11464;fail;84616;fail;105145;51086;298743;133975;3086;317260;fail;133250;181410;8011;205513;241289;37401;369292;23645;404;59822;116355;21908;1032;92782
64;fail;fail;fail;4842;fail;fail;fail;fail;7647;71529;fail;93826;3619;85992;3472;fail;fail;10907;77354;94835;fail;28276;33765;27590;fail;fail;fail;90635;1939;2345;95007;fail;4595;55800;fail;371982;51021;80317;35535;21396;121173;1615;26638;10540;283862;29078;10416;143623;55301;134338;69915;16816;240512;27779;7390;191548
65;fail;fail;fail;66560;23043;78448;66919;fail;fail;fail;11078;fail;fail;25593;fail;fail;fail;fail;fail;fail;fail;fail;fail;12475;9336;20187;fail;765;fail;fail;1626;79440;77857;fail;fail;71324;219244;169679;92726;138291;199169;416202;29491;208194;29698;197635;54704;2246;25007;5307;10468;464281;56762;95784;310553;16061
66;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;14936;5032;65970;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;17349;fail;fail;fail;61728;fail;fail;67015;fail;fail;69762;110428;15064;50774;151991;168600;314945;89169;56289;101336;45139;180667;162657;367;560372;13188;55319;19108;94560;200025;5340;83990
67;fail;fail;42068;71868;35639;18238;fail;fail;39292;fail;59455;27443;fail;fail;fail;2383;fail;31479;70293;10428;fail;fail;12334;5335;63738;fail;77502;fail;48672;81722;fail;3142;fail;8959;fail;172170;14577;65833;128562;90082;217170;41902;62988;43489;2113;195036;199308;153885;131735;100845;209971;188423;12514;71360;356675;53358
68;fail;fail;30754;fail;fail;49282;fail;fail;fail;fail;48389;fail;19022;fail;6171;38465;86345;fail;3386;fail;49412;49791;64344;22944;63418;fail;85748;24205;8013;fail;fail;fail;fail;fail;fail;222239;34959;94277;144328;111824;25630;232348;101877;281370;485185;90003;271078;89802;511482;100913;5955;32756;281738;55960;23914;114230
69;fail;fail;fail;fail;fail;fail;fail;fail;fail;28136;fail;fail;fail;fail;fail;10237;28789;fail;50623;fail;fail;fail;fail;fail;fail;fail;56792;fail;9651;6782;fail;fail;fail;fail;36194;2644;61512;104174;265576;108674;19365;9848;40008;81184;926;227470;66761;117114;16346;177797;36287;30743;279794;9974;147670;350245
70;fail;fail;fail;7754;fail;7971;668;fail;fail;fail;fail;fail;fail;fail;fail;fail;89135;2956;56642;29214;fail;55568;75516;20371;4646;17084;11001;40520;47271;37747;65404;37149;15779;fail;fail;4057;143402;185146;25987;147021;51991;244934;401828;51065;21528;24908;205254;83334;456;3924;23302;32129;1125;52904;35810;34994
71;fail;fail;fail;72818;fail;fail;fail;fail;56591;fail;51079;fail;fail;fail;fail;36393;78498;23766;18889;fail;fail;50447;fail;81289;70445;4725;65806;fail;fail;775;15556;fail;52274;fail;fail;13390;39727;46950;68299;191757;278839;7057;27864;27230;61156;150457;71540;351868;142392;60307;28679;24372;639676;118146;14698;879533
72;fail;fail;fail;fail;fail;fail;fail;fail;13516;fail;fail;59156;2219;53900;fail;fail;fail;fail;12639;fail;fail;70792;2548;13536;40422;47093;fail;fail;49122;86631;fail;fail;fail;fail;37444;120136;59395;101977;73619;3572;920;39796;136416;21317;9014;364310;401848;244450;124903;228596;32686;20218;159212;25677;41303;60674
