;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25
4322;fail;fail;fail;27201;fail;28619;fail;fail;fail;fail;fail;56138;fail;fail;fail;fail;fail;92;fail;27276;fail;82164;24649;1648;12509;68175;69987;fail;fail;fail;fail;fail;fail;fail;fail;245454;45264;262630;4556;fail;405321;24054;14745;114998;34452;13462;96704;77595;165972;14986;87857;40258;153574;37618;24864;217815
4323;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;28683;22743;fail;fail;fail;fail;fail;fail;14973;fail;fail;fail;97575;fail;fail;fail;40061;fail;41622;fail;81176;65286;95930;4096;fail;61769;47025;fail;42857;356499;fail;108191;183467;37239;111079;105314;11435;99987;73406;22402;90947;90780;17990;125521;169104;5584
4324;fail;fail;fail;fail;fail;6743;324;fail;14347;fail;7795;12189;52743;fail;fail;48724;104;fail;27756;fail;13409;22198;23880;80179;fail;57553;68223;fail;10113;fail;fail;26287;95034;81893;76748;20121;111295;123105;130352;8535;223697;21050;55340;54031;1675;98192;37171;12240;75309;77805;21720;42550;65850;112918;72152;154219
4325;fail;fail;fail;43082;fail;30146;fail;fail;fail;fail;fail;fail;fail;23628;fail;fail;10750;31115;45962;fail;fail;35554;10256;79354;25069;fail;fail;51955;fail;fail;2368;87147;fail;fail;fail;29062;28854;41612;197164;132;15850;253825;162171;26157;589670;196920;41066;604374;381004;364535;80291;148304;113393;300613;83602;43496
4326;fail;fail;fail;52700;fail;14190;fail;fail;fail;fail;fail;1080;fail;63226;fail;3558;fail;2794;16658;fail;3011;fail;57150;fail;fail;fail;fail;30738;92505;29482;fail;86469;77312;fail;fail;135565;429;65953;130925;106621;5828;14155;83236;210532;116001;266364;97616;83886;119163;26087;529792;42673;167064;267702;16185;161173
4327;fail;fail;13080;fail;fail;43605;68151;fail;fail;fail;90201;fail;fail;fail;fail;1587;30326;54949;39616;14373;fail;35969;fail;fail;28760;17391;fail;85969;2400;39215;23751;13285;fail;2387;fail;41614;12158;70291;298760;240820;34553;37024;11975;88158;247705;182978;128082;109850;56806;39865;78631;33749;117362;24509;52263;292430
4328;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;47050;fail;fail;fail;fail;4714;25771;53172;5516;fail;52104;fail;27304;fail;fail;fail;14749;fail;27310;fail;34656;784;fail;18317;fail;66122;67129;194322;71619;196701;263711;131150;137846;12350;379382;124365;74608;13055;138815;6885;36753;53968;44323;16992;157439;47407
4329;fail;fail;fail;21603;fail;fail;fail;fail;fail;fail;fail;fail;fail;17547;fail;fail;14480;19119;fail;11867;fail;676;14052;7765;5852;26058;35955;fail;fail;2606;fail;fail;12512;77487;fail;23787;6475;17045;17233;5334;19417;51420;27974;108771;79099;5197;132010;33873;40971;26436;67997;19685;20911;34820;2854;36612
4330;fail;fail;fail;fail;29584;fail;fail;fail;fail;2417;fail;fail;fail;fail;7074;fail;80969;fail;fail;62192;fail;48164;81280;39789;fail;fail;fail;fail;80269;30595;55139;fail;33578;fail;98316;101770;4272;46046;fail;227657;85740;203533;104998;38160;68707;31927;44894;94681;41880;9277;55454;187852;8878;52460;21249;127381
4331;fail;fail;fail;fail;fail;fail;fail;fail;16084;fail;78037;fail;fail;fail;fail;fail;15317;fail;2439;fail;fail;fail;fail;11921;8850;fail;fail;fail;20854;33039;1744;62652;58409;fail;fail;64344;332201;128728;176527;280896;3130;83789;14755;198452;208882;16944;12221;6009;73920;12914;241536;192285;46632;71865;69022;47153
4332;fail;fail;fail;fail;fail;fail;24799;fail;fail;80680;fail;fail;fail;fail;fail;fail;34843;fail;39081;fail;fail;23859;fail;fail;fail;fail;fail;50194;1875;fail;fail;fail;fail;41178;fail;14092;200467;258982;396654;27379;86226;89668;121170;1516;4112;18105;64291;30970;14592;2014;1618;5612;281318;99501;62764;6801
4333;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;15691;fail;fail;fail;fail;fail;17635;43222;fail;fail;8950;fail;fail;38738;34633;fail;fail;33810;29663;12746;160;fail;28632;16048;24712;71993;26535;319276;105306;369859;46513;28073;28351;30482;29636;10992;24792;171755;44372;89446;719;60486;58082;8002;79731
4334;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;2179;74134;fail;fail;fail;fail;71423;88581;84064;fail;19650;82118;9627;fail;60924;3748;60754;68073;fail;fail;fail;34354;87900;27550;fail;23500;37370;110148;40144;117175;148013;149804;10347;83863;35832;129595;75427;4173;11702;5241;29515;35494;12025;27780;28176;3416
4335;fail;fail;fail;7252;fail;fail;fail;fail;fail;42686;fail;fail;fail;fail;fail;fail;fail;fail;82763;fail;fail;1286;fail;fail;fail;fail;605;fail;fail;28974;fail;fail;fail;3278;fail;5530;33277;129809;41798;37872;169789;28952;29592;170481;148077;14817;50540;66783;66766;17687;18252;164;11061;18383;147119;182756
4336;fail;fail;fail;5312;fail;65719;fail;fail;fail;fail;fail;fail;23423;fail;fail;fail;fail;fail;fail;fail;19917;4543;fail;434;fail;93103;1651;71767;12605;13771;fail;fail;fail;fail;fail;11226;200663;19070;32554;22608;10925;384501;101719;168432;276393;48259;137217;431801;90238;28734;10354;121169;3038;72646;87554;23779
4337;fail;fail;fail;fail;fail;fail;fail;fail;fail;27916;59820;25029;fail;fail;fail;fail;28064;32191;90915;11910;fail;21705;3141;fail;fail;fail;fail;11891;3764;fail;fail;fail;fail;2792;fail;59905;10848;84787;553;8239;45029;139716;16324;45836;128559;50549;28940;36734;32076;125718;46675;45960;197164;42385;18301;25087
4338;fail;fail;fail;fail;fail;fail;fail;fail;2458;fail;10352;fail;11367;fail;fail;18999;41005;14765;28809;fail;28260;57566;4411;fail;3435;fail;fail;78586;66966;81998;61251;fail;54313;2176;fail;13375;82511;66999;72747;52838;16259;119094;138189;200759;832012;114121;12322;460811;496460;326950;51796;7234;122760;175556;226185;70259
4339;fail;fail;fail;fail;fail;fail;fail;fail;fail;63722;fail;fail;fail;fail;fail;fail;fail;99922;fail;fail;fail;fail;96212;20862;63976;74926;fail;26141;11160;99189;21013;1413;75171;fail;fail;9493;11739;101283;171290;11286;307454;71456;88145;1800;76497;56950;127130;37324;622774;8470;26391;52578;228525;13697;108031;22381
4340;fail;fail;fail;56329;fail;fail;fail;fail;fail;fail;40032;fail;fail;fail;fail;fail;51996;42858;44297;36756;fail;fail;8786;29854;19900;24017;fail;49937;fail;fail;31747;35568;5763;5926;14171;84610;7117;10861;83099;226787;8565;64353;4330;62159;91860;129913;33811;100853;15651;16091;15422;318065;82900;31188;237545;84547
4341;fail;fail;fail;fail;fail;fail;fail;fail;fail;4586;1263;98697;82908;fail;fail;fail;fail;fail;fail;49713;fail;fail;fail;fail;37465;fail;fail;fail;fail;fail;fail;fail;53947;29130;fail;72122;187645;3159;181121;146989;238789;150116;55799;9963;145738;66891;118009;107307;37283;145953;14184;39718;113130;41806;48317;95081
4342;fail;fail;fail;fail;fail;fail;fail;fail;fail;99858;fail;861;85900;fail;fail;fail;fail;39183;fail;19777;fail;fail;fail;19237;fail;fail;fail;fail;fail;fail;52217;78530;fail;fail;fail;13594;6641;3172;7653;11147;8064;14439;76974;68277;354372;57026;203668;23781;fail;12773;95767;11280;96730;5017;294165;26524
4343;fail;fail;fail;91912;fail;fail;fail;fail;fail;fail;fail;30429;fail;fail;fail;fail;72333;fail;fail;fail;fail;fail;14647;29705;57442;91732;fail;16897;14441;33325;48380;91649;fail;fail;fail;116872;20995;3608;53299;26659;306063;150426;17792;12626;112966;38829;100618;25166;84224;101162;123;208791;42204;70721;6689;14373
4344;fail;fail;fail;20566;9693;fail;fail;fail;12182;fail;fail;fail;fail;7399;fail;90221;fail;50006;6742;fail;31166;41297;fail;80689;8787;fail;71839;29149;fail;fail;1352;fail;67619;15698;fail;22957;71963;186898;16176;76215;94488;20327;105397;42328;44874;211588;45139;208773;19476;18707;279656;99624;23246;29326;45962;59249
4345;fail;fail;fail;fail;9448;fail;fail;fail;2452;fail;fail;fail;fail;9603;fail;fail;fail;73520;fail;fail;fail;52289;24880;fail;88907;fail;fail;49058;fail;6875;12936;fail;14125;fail;5064;195152;142286;34733;73844;11507;117645;152177;6163;25897;74900;246128;241172;55787;1434;11000;64079;75392;127573;239910;32385;48439
4346;fail;fail;fail;fail;26694;fail;fail;fail;20005;10759;2317;23480;fail;91676;fail;fail;28233;74018;fail;18770;fail;fail;3446;50357;fail;fail;fail;60482;fail;70318;fail;39197;fail;90122;157;4457;8724;63414;5351;15469;71641;315361;18054;63989;57212;93219;214648;3650;89843;25331;61609;159845;81626;63107;34959;311609
4347;fail;fail;fail;fail;71561;fail;29502;fail;fail;fail;8667;34635;33047;4629;fail;fail;fail;fail;62658;54807;fail;15335;fail;9596;20300;20122;57663;fail;12893;2642;22105;496;29754;fail;31191;41768;105071;40692;7091;94417;227252;66545;95950;76884;27916;2808;45800;21664;219379;183650;34324;134154;198447;45537;1839;2166
4348;fail;fail;fail;fail;fail;11654;fail;fail;fail;fail;fail;92551;62489;fail;fail;fail;96466;12413;40593;10228;44136;fail;fail;fail;98628;76705;fail;819;38713;83000;50646;22019;37238;14882;5737;51711;30827;71651;5354;76605;190353;8324;109486;188721;227187;13525;128577;78167;19264;14518;194646;2431;242436;299457;407233;134772
4349;fail;fail;fail;34364;fail;fail;fail;fail;fail;42921;fail;fail;fail;fail;19436;fail;99694;34747;fail;fail;fail;fail;33036;fail;61540;73088;167;fail;53864;2900;21205;25447;10914;39316;37230;186344;53589;16417;33271;192859;67979;283013;123220;63228;21332;53761;66031;23681;197338;45731;25809;12657;116605;264374;30320;49765
4350;fail;fail;fail;fail;fail;47177;fail;fail;fail;fail;fail;fail;fail;fail;fail;7847;97047;fail;fail;fail;fail;fail;55352;fail;fail;fail;84881;64554;12938;fail;17411;6168;fail;fail;fail;102004;24098;20747;60726;49616;257587;64315;22627;242832;153407;36997;196899;677611;29239;52812;55508;18301;103321;48339;42451;38717
4351;fail;fail;fail;81667;fail;fail;fail;fail;fail;fail;fail;13060;fail;2180;fail;78222;85878;10969;fail;fail;32412;32659;16838;12370;fail;fail;fail;fail;15938;fail;fail;98306;79534;fail;34602;113500;343853;92365;20029;57040;126204;57678;45352;210988;274999;201922;78814;186712;361203;95674;5315;477611;79485;15241;142798;42731
4352;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;33933;fail;fail;fail;fail;64079;2987;fail;3610;fail;20949;99558;26146;23724;fail;60278;12007;fail;fail;83307;fail;fail;fail;46734;35974;169111;109149;286157;36592;24066;144755;133704;59733;26642;25032;640;91476;8333;213133;43450;194076;11684;259541;733686;11814
4353;54;fail;8580;fail;3432;fail;fail;fail;fail;fail;fail;48412;fail;fail;fail;21145;fail;34591;fail;70538;33799;5764;fail;39491;85508;23843;2032;10564;9584;38065;fail;46780;fail;95501;fail;2966;56833;176689;124276;31214;88574;131863;5615;26664;17457;129659;4572;5414;21909;26928;4318;122325;47639;28197;86712;97517
4354;fail;fail;fail;fail;fail;fail;14158;fail;30404;fail;3881;fail;24548;26367;fail;90027;fail;21175;fail;39593;47708;58794;fail;fail;fail;7170;65343;3016;fail;fail;26509;fail;97190;30420;34742;50375;89218;36435;88073;69236;219598;16243;3085;6468;104878;193919;36722;24131;136571;14395;14057;44606;42039;81207;185041;69473
4355;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;66206;36692;16356;fail;fail;22420;fail;fail;437;fail;15512;75935;61;18706;21668;15292;fail;69630;46130;56473;7437;216029;167308;253730;282596;4807;134598;52271;72574;81919;80160;331962;281070;106073;181166;10977;38965;121360;236801;34524
4356;fail;fail;fail;1430;49175;fail;fail;fail;59875;24070;fail;fail;12732;3726;fail;57404;fail;fail;fail;fail;fail;fail;23095;46900;14580;13484;77579;91415;79678;26107;fail;fail;7034;fail;fail;6298;50378;fail;fail;24880;320542;fail;168588;62349;26706;161686;51301;28882;88810;20201;38641;47109;61538;16535;111710;76076
4357;fail;fail;fail;66889;fail;fail;fail;fail;fail;45030;54363;fail;20725;41325;fail;fail;44033;62585;fail;fail;fail;fail;19787;21917;25639;10462;12789;fail;fail;40543;35687;fail;fail;fail;fail;230149;109957;60293;67123;210796;241455;4572;102187;21219;7498;36446;28503;77362;284977;34714;33752;14973;78734;34331;70738;2654
4358;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;17991;97126;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;67380;80535;97631;22845;fail;23747;fail;57578;fail;fail;11232;fail;53065;6717;51480;21212;30608;73461;34423;46414;6564;19613;26686;1255;85667;6246;42355;505275;275570;75768;87784;197175;484636
4359;fail;fail;fail;59111;fail;fail;fail;fail;fail;57692;19043;4063;fail;fail;fail;fail;fail;20170;34563;2845;10443;67391;52094;39030;fail;fail;43996;fail;53106;85869;17095;fail;93535;26154;fail;18153;41232;141390;227239;44984;fail;3634;15388;87730;137285;69568;758566;63129;54103;169093;9309;109938;177448;19040;6499;96230
4360;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;91650;fail;fail;fail;75146;9026;fail;79784;39425;fail;336;fail;42882;41852;31425;18541;fail;152623;fail;93622;195411;99038;fail;7624;9535;57959;116588;58155;108437;187752;1754;142325;21281;16969;63480;28475;20394;18278
4361;fail;fail;fail;52591;fail;68472;fail;fail;fail;fail;31998;72688;3279;fail;fail;fail;fail;fail;fail;24655;fail;fail;fail;82920;28798;59826;fail;fail;24402;fail;24736;fail;fail;fail;fail;36650;1754;114806;12478;18368;16927;fail;102148;215051;4179;104742;113957;10042;61373;379040;119869;2816;74474;348381;269686;138210
4362;fail;fail;fail;15109;56392;68985;fail;fail;fail;13299;95453;fail;fail;fail;4297;fail;fail;20056;fail;7798;fail;90468;14472;27004;89891;44371;64443;5759;20438;fail;fail;fail;fail;fail;fail;38891;372991;42758;108107;222104;33443;171287;47111;74657;154817;62378;17943;17757;56095;26868;9757;32639;109931;195034;18911;8807
4363;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;25380;44501;24924;fail;84418;fail;fail;1204;22776;21927;18621;fail;fail;22976;4470;75744;80946;fail;65108;29010;8222;18842;87859;5052;112449;107371;55453;28235;144411;45344;6145;5800;16144;15586;75214;45297;173212;106903;60444;153006;64174
4364;fail;235;fail;fail;fail;fail;fail;fail;7707;42997;fail;fail;fail;15020;fail;fail;43589;fail;58987;23955;44333;fail;59548;96853;fail;fail;fail;20377;73889;93982;fail;91076;31080;fail;fail;203004;227212;61742;28010;6927;11102;77328;170173;179803;234093;23718;13825;109220;425374;119634;14767;173883;425096;36260;712185;123932
4365;fail;fail;fail;64482;30659;fail;fail;fail;fail;50731;76476;fail;fail;fail;fail;20081;fail;fail;24832;61685;fail;fail;fail;87411;fail;fail;79352;57033;28177;fail;66523;fail;fail;33612;fail;182498;122688;25385;19884;26614;89218;169277;13135;102306;48699;3890;192701;4346;13748;15236;10939;67578;3269;94889;99837;15822
4366;fail;fail;fail;fail;fail;fail;fail;fail;fail;34701;fail;65051;fail;fail;fail;fail;fail;fail;fail;fail;fail;4203;28551;34322;75071;fail;fail;58108;48906;fail;fail;fail;3674;fail;44;1189;107495;30586;46075;82721;71588;104109;70773;5848;30795;83056;66397;83376;3536;279835;44384;44059;178358;145052;170590;210650
4367;fail;fail;fail;fail;fail;fail;fail;fail;91840;3165;23513;fail;fail;fail;fail;fail;fail;fail;fail;51906;fail;63741;18371;14000;67974;56191;10556;fail;80833;fail;fail;41981;fail;fail;62743;56367;24638;18316;108225;63586;1951;17827;6611;14708;224576;140110;88859;133537;692;104096;76434;45746;172000;145057;286999;58893
4368;fail;fail;fail;fail;fail;fail;11611;fail;fail;fail;23163;fail;fail;fail;fail;89814;37442;25875;38744;86658;fail;11040;fail;76484;fail;40710;fail;fail;37000;19970;50542;fail;21553;74734;64271;18391;324806;362838;fail;382333;12573;399474;74652;16916;17118;1499;36016;48408;80529;21133;113414;77496;33919;180191;359850;50462
4369;fail;fail;fail;fail;9844;fail;fail;fail;fail;fail;38536;15119;fail;fail;fail;fail;76802;32912;1275;fail;fail;49408;52436;fail;16898;52141;6823;19831;fail;6525;17636;84620;18179;16012;fail;30909;42540;71747;103191;16916;51586;96210;81158;336815;69223;2062;59894;67231;42981;155058;352945;61060;17620;42491;147924;132008
4370;fail;fail;fail;fail;fail;fail;504;fail;71115;66815;53038;fail;fail;fail;fail;48996;11629;4204;fail;93955;fail;23708;70920;fail;77469;17666;12265;fail;89863;62846;8757;89549;fail;76861;fail;151944;108917;33816;190173;265767;fail;fail;11503;165242;107601;124819;762952;496322;144055;57149;120585;294117;258667;192944;190119;129677
4371;fail;fail;fail;fail;fail;fail;fail;fail;fail;15683;69492;fail;fail;fail;fail;fail;72756;2923;93829;fail;fail;26821;16318;19491;fail;2147;52981;17824;197;18054;fail;25366;97826;19743;68826;122802;352434;12141;416752;112712;221312;23675;44868;408527;324121;55862;122882;28131;162291;97616;171784;351292;175333;25101;82109;13976
4372;fail;fail;fail;fail;fail;27386;fail;fail;fail;11527;15853;fail;56939;7602;264;fail;899;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;40618;fail;25268;32759;29293;29803;1427;44694;389621;297300;373706;207426;207148;116859;18004;395758;193023;117055;309944;10362;219685;15749;69156;20802;34265;76174;13944;486603
4373;fail;fail;34609;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;19026;fail;10008;fail;74220;fail;fail;57221;74990;64778;fail;8935;62682;45951;fail;2931;fail;fail;fail;fail;11849;11687;6541;36254;35534;149780;16498;57118;74492;71128;193223;34513;113221;261169;598376;27040;163640;196488;1184;361762;163685;151981
4374;fail;fail;20580;fail;fail;97726;fail;fail;fail;fail;68583;28604;59248;4423;fail;8878;fail;fail;67910;fail;33305;9144;fail;6333;fail;fail;48211;7949;fail;27973;fail;fail;50584;fail;69907;91653;96721;22632;81148;30986;81252;3076;19572;104077;1984;219017;100659;242783;101163;1767;132239;258854;272658;52254;117709;16904
4375;fail;fail;fail;975;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;9206;fail;37306;23229;82490;81395;fail;fail;fail;32238;fail;fail;fail;fail;4670;72561;18441;50347;38726;74970;45658;fail;372224;265613;24227;70575;159088;414190;124788;123779;76808;133228;252977;134763;253243;176866;12046;117919;13781;97676;163291;175641
4376;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;75728;67;fail;fail;fail;fail;fail;93409;fail;fail;fail;fail;67768;fail;7998;26576;fail;23036;fail;fail;fail;fail;fail;fail;fail;34992;216489;82536;26572;fail;80549;82809;58468;111956;1988;26715;5772;160780;162661;45404;30549;75286;120140;110764;15315;24733
4377;fail;fail;fail;fail;fail;82744;fail;fail;42659;93938;fail;fail;60827;fail;fail;fail;fail;fail;fail;fail;50103;87728;fail;90133;55012;60826;fail;fail;56014;fail;42545;8163;70632;fail;64434;121049;fail;57373;75618;66386;106053;299505;55068;85298;9259;27031;31024;99977;529313;82295;22814;13974;255317;92929;292072;2610
4378;fail;fail;fail;33756;fail;26884;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;31202;4166;985;28831;13385;31220;fail;fail;87307;fail;fail;18287;fail;8227;fail;55143;395074;16147;245912;100341;88174;71453;104700;41688;15347;64693;37323;135839;9595;141730;33232;20079;5888;34428;48601;86681
4379;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;89297;fail;8900;fail;fail;fail;fail;fail;fail;36525;70773;fail;fail;fail;10996;fail;69657;33173;fail;fail;fail;fail;15878;66643;144144;192142;138494;34028;45391;26828;14978;108076;14202;10472;9899;229419;115146;51811;11033;205885;79141;244327;21810;27655;165092
4380;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;47749;43134;5417;fail;fail;fail;23287;28211;fail;fail;fail;fail;fail;88896;80110;fail;fail;fail;72976;26681;fail;fail;fail;70229;8398;144116;49252;271174;261016;291442;22796;175444;85180;137577;242710;206865;434;112587;273640;95904;95172;93483;83868;11435;59915;111907
4381;fail;fail;fail;fail;fail;fail;fail;fail;fail;61490;fail;60949;fail;fail;fail;52896;fail;16224;fail;11320;fail;fail;fail;3674;78356;95180;40165;79718;37563;65118;fail;fail;fail;54144;fail;113881;241410;43728;170483;38068;156182;147943;28698;3784;99113;28823;152762;139762;58314;20263;95508;70311;1887;88549;97585;33949
4382;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;42367;35410;fail;fail;15054;fail;fail;fail;fail;fail;fail;26180;12293;fail;24067;fail;fail;fail;fail;83850;fail;fail;fail;fail;151975;277732;20693;5917;219219;330959;196032;70541;37838;148871;163487;215567;425482;16608;92722;21455;32803;16546;80473;169584;49168
4383;fail;fail;fail;fail;fail;78010;fail;fail;fail;fail;52;fail;68508;fail;fail;37228;fail;15138;5430;fail;47059;3594;fail;12915;97725;fail;fail;fail;10868;fail;fail;fail;fail;fail;fail;227259;85603;28812;44777;10857;180442;419389;41759;48580;148905;118880;38611;176676;6898;217021;10857;10721;245698;108406;71397;79157
4384;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;55044;fail;fail;6857;fail;fail;82193;5518;66561;fail;fail;27052;fail;38119;fail;11283;fail;fail;40269;fail;fail;fail;91428;fail;fail;37579;86506;120079;65391;102622;43749;338541;3680;29642;42675;39214;120404;92751;12436;32766;27572;8820;31126;24269;50155;17049
4385;fail;fail;3837;fail;12792;fail;fail;fail;fail;fail;fail;10552;fail;fail;fail;fail;25751;fail;53452;81587;36283;fail;48075;fail;49266;77669;84906;fail;13700;fail;85255;33787;6875;fail;63377;39802;131883;50699;59962;8581;209846;86950;177234;150949;114339;1937;220079;11291;116730;230594;120775;3150;211876;115640;60143;32692
4386;fail;fail;fail;fail;fail;fail;fail;fail;fail;31563;23375;fail;fail;fail;fail;fail;fail;660;fail;fail;fail;fail;40237;27795;fail;fail;fail;69048;fail;67103;9756;fail;fail;29783;12713;27726;73421;21562;37801;4252;126611;108213;46295;314805;68182;59643;37907;520810;126644;34535;13470;52355;46787;3259;36280;68017
4387;fail;fail;fail;46861;fail;53045;fail;fail;fail;fail;41971;fail;fail;19908;fail;fail;fail;fail;fail;fail;fail;fail;62449;27551;55133;9832;fail;fail;6445;fail;fail;fail;25785;18198;fail;6147;52297;55546;68649;135613;45380;168251;36284;46647;79564;429019;16672;451817;28203;27511;59589;258652;161263;142505;260625;28699
4388;fail;fail;16769;77980;fail;fail;fail;fail;fail;fail;9432;41454;fail;fail;fail;37194;75075;6881;43921;17761;fail;28109;fail;fail;fail;fail;fail;fail;9619;21446;77230;fail;fail;fail;fail;4785;32856;13109;36026;69412;6367;100379;35402;88834;27381;415825;119499;10757;36005;13570;459939;42724;129426;91629;33103;127236
4389;fail;fail;fail;fail;fail;fail;10136;fail;fail;91193;fail;74966;fail;fail;fail;86968;fail;18489;76519;2173;fail;7598;fail;fail;fail;91343;71946;fail;63505;3792;47508;45262;17557;fail;fail;272626;309204;fail;115196;84945;1967;4695;51098;181748;150934;6402;55554;194167;84850;113497;69138;15544;10923;14779;21351;52310
4390;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;19585;84771;fail;fail;fail;90295;75612;5363;33332;91817;2605;57918;52643;65215;59067;fail;27083;fail;46030;50957;35056;307;57681;75227;26507;28615;53355;13653;8566;129026;175530;257469;388927;97597;193834;126395;203635;21339;305775;7399;13022;103909;201642;56511;70582;31061
4391;fail;fail;fail;fail;fail;fail;fail;fail;fail;2309;fail;fail;fail;fail;fail;fail;27768;63206;56035;fail;fail;fail;64502;31817;87125;fail;fail;fail;72986;fail;60476;fail;fail;7580;8102;78512;5153;1558;10588;45823;55664;196790;74698;77479;113608;279616;77212;15398;332539;23407;5758;16094;60542;143184;79583;273925
4392;fail;fail;fail;12868;fail;fail;fail;fail;fail;57314;3409;32145;fail;fail;fail;fail;17282;fail;44932;fail;fail;71995;33783;46082;87692;fail;fail;fail;59124;1286;93957;fail;82684;fail;30359;2086;10580;fail;136587;20300;42268;4786;6198;39063;39809;63796;128653;139811;194385;35009;101213;15391;95199;121886;4255;196145
4393;fail;fail;fail;fail;fail;fail;fail;fail;fail;72024;fail;10485;fail;1100;fail;fail;fail;76923;58483;fail;7683;62188;fail;64850;68238;fail;fail;72049;fail;30014;fail;11574;63;fail;fail;21603;57588;9356;54269;69052;74581;91916;4187;18752;17312;190456;137926;1720;69971;62707;128029;73527;127884;21064;3663;8354
4394;fail;fail;fail;fail;56442;42398;30195;fail;82741;41399;fail;97582;20922;62790;fail;fail;fail;96186;fail;fail;fail;93820;fail;59810;62822;93657;24971;fail;fail;fail;36495;fail;fail;fail;49753;69505;8997;6044;113661;5791;130711;7067;8503;67214;13152;121640;3186;189658;6195;5528;64746;444165;153103;234765;163775;98041
4395;fail;fail;fail;59584;fail;22149;fail;fail;fail;fail;78123;42646;2208;fail;fail;fail;39200;870;8183;fail;24318;fail;fail;68276;78290;fail;fail;fail;18642;fail;fail;66639;4384;fail;fail;67986;94224;2624;30563;78359;47839;42556;262298;16937;34928;128490;151500;367728;12121;92948;18399;202558;45548;106851;107955;13085
4396;fail;fail;2051;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;90119;fail;fail;fail;fail;9844;8665;31699;4353;71328;fail;17130;1045;3115;fail;58330;51769;fail;fail;29744;166893;57274;114991;93547;198;101443;63841;13884;165722;47362;356676;36907;3686;357110;201034;86633;176780;8974;179;11530
4397;fail;fail;fail;fail;18537;37662;fail;fail;fail;fail;4098;fail;20538;96313;fail;fail;fail;fail;fail;fail;8516;22160;fail;51936;fail;fail;fail;63820;46148;fail;80215;5623;44718;52740;2765;670;57021;47564;20541;71983;61142;17124;79040;156057;59943;13452;4811;11452;119999;9835;11636;39949;21351;34538;1325;56875
4398;fail;fail;fail;fail;fail;49842;fail;fail;fail;47928;37165;fail;9128;13381;fail;1012;41227;16709;72290;fail;fail;25710;66113;32428;60052;6334;fail;46434;58333;66287;85406;19405;fail;90021;fail;65065;fail;17965;99785;150151;104668;136790;580263;9183;29244;67392;274;244134;337410;221969;74633;610746;1069946;185093;19631;36699
4399;fail;fail;24592;89778;25767;fail;fail;2079;fail;fail;fail;fail;fail;fail;fail;fail;fail;14222;92052;fail;30582;27599;fail;fail;84466;fail;63898;fail;51554;fail;fail;15551;13860;fail;21851;88824;29596;106256;26852;116713;242199;96869;248141;52414;29051;143912;188788;395940;227589;97828;118926;35373;7672;132495;168030;3362
4400;fail;fail;fail;fail;28514;6845;fail;fail;fail;15535;77361;72748;fail;fail;fail;fail;fail;fail;10754;fail;fail;14951;25485;6559;58307;17643;78817;7631;5677;67267;17858;fail;fail;fail;25960;103653;208704;33184;27345;20763;fail;232479;370081;17036;29368;12839;32253;46697;286755;19477;240881;800149;16058;73010;31142;294182
4401;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;49655;23312;fail;fail;fail;1838;21644;fail;27761;fail;fail;12060;60049;91182;fail;fail;75929;fail;47687;12582;43291;78605;fail;39635;fail;40660;29320;2078;6858;242999;32589;25624;67581;21970;95641;143352;110954;71928;25478;23171;79572;32836;246376;201007;31397;88649
