;RLS-N2;EA4;pmut2.0
662;61898;67077;380108
663;420816;78033;82318
664;86050;44238;8043
665;70602;24875;342161
666;217674;16364;894
667;105913;4661;26132
668;30481;18472;196745
669;206283;806;30351
670;23103;115870;170396
671;204486;100869;39691
672;29269;88629;385288
673;102659;1775;54870
674;52982;209757;43844
675;71845;63750;5237
676;189005;203076;162092
677;15762;86217;63269
678;16944;134024;170511
679;90728;101280;266772
680;23331;164797;77907
681;124855;123445;227916
682;134058;566894;135098
683;32932;58602;159326
684;155383;71153;50236
685;97222;68160;125450
686;1090;156381;41414
687;52801;160947;237206
688;24870;45359;87239
689;16129;79487;28750
690;336582;218973;348308
691;3334;224478;588986
692;109252;242898;53124
693;36823;22075;37900
694;125461;259313;33965
695;49588;228709;54261
696;29459;2483;1170
697;20695;32476;88826
698;15035;247301;75959
699;295627;161161;146501
700;212533;8723;136864
701;49599;83521;7070
702;43407;71260;3305
703;63319;59510;137968
704;187247;82950;43523
705;90200;20958;164403
706;60355;256949;20940
707;51487;160805;74130
708;277453;191288;268687
709;18220;11382;516017
710;53388;37935;59040
711;85518;53146;331694
712;36443;22148;9948
713;185042;33085;68616
714;48346;21533;98742
715;14455;60749;49304
716;17574;69582;5023
717;14827;107610;116025
718;255994;316404;45588
719;371010;133831;409
720;18785;74978;481306
721;24001;162541;160149
722;30274;403662;31751
723;10515;150508;637512
724;109412;9204;109594
725;84695;49628;352505
726;14375;105121;5269
727;5292;60739;22441
728;7338;84315;55040
729;11607;39395;251288
730;33746;32818;274231
731;106604;262645;28203
732;145109;301087;65890
733;37522;50879;24996
734;22828;244556;67580
735;10507;11646;49816
736;160739;6075;359
737;56540;8854;151937
738;142297;320089;14486
739;47538;21288;7086
740;124431;264608;14272
741;53426;44004;7790
742;137169;759668;704483
743;65675;88657;4612
744;186148;307478;491789
745;71711;15934;430
746;4661;209700;13494
747;130787;18447;277703
748;59137;41893;69765
749;66513;50221;17652
750;185229;65711;71884
751;41841;39405;2700
752;55629;73704;307210
753;5599;5631;607873
754;11296;82720;67864
755;29016;13034;126914
756;23424;28474;30148
757;40060;198552;36917
758;42165;80576;65434
759;11680;179018;364525
760;25464;124391;57071
761;103907;55428;7056
762;81625;145212;20922
763;201269;20714;330248
764;55790;14504;137045
765;79836;6442;236943
766;65406;129648;22467
767;72421;38359;93622
768;320689;44674;171716
769;22807;11886;44822
770;52975;377442;279889
771;61607;267251;103343
772;32457;23269;19760
773;66512;231487;95047
774;6264;48357;8338
775;11738;17222;19470
776;10845;40780;103992
777;82920;27337;17067
778;43919;11620;74678
779;154622;556780;342
780;44947;33769;5796
781;4454;26960;52009
782;6087;69975;25191
783;241054;132384;93905
784;34797;74272;8739
785;114086;8522;109582
786;83571;71677;68155
787;29784;103593;111649
788;19593;6701;404722
789;73514;230203;300561
790;104478;724;47479
791;283299;42386;61861
792;3842;96489;209444
793;13397;298433;20909
794;13179;28892;296769
795;55947;118078;119211
796;90301;792;3191
797;52161;55490;349823
798;149820;17068;2589
799;2209;15627;16667
800;550126;87049;143708
801;37121;173847;82600
802;247769;50103;285084
803;50346;66288;54825
804;19608;93267;207828
805;185773;349156;56748
806;30217;173180;87846
807;155832;15317;179676
808;3453;87424;42046
809;11470;8046;117869
810;389527;307796;53397
811;133298;12014;13817
812;40620;6282;35116
813;16718;23309;19544
814;9201;12186;49003
815;87773;101922;7998
816;33939;1071;13469
817;10734;342703;184137
818;11979;137348;105010
819;131211;20934;13238
820;49480;6690;19376
821;135059;143044;47334
822;111373;17193;26606
823;16053;309646;17770
824;4330;88438;40236
825;93183;179228;45698
826;158878;99960;532335
827;89712;172751;34145
828;173077;39933;116629
829;9502;11529;31991
830;225269;54881;179412
831;5165;15646;15981
832;272084;85270;258783
833;4835;7509;14280
834;122354;196622;290970
835;219192;43744;3739
836;21396;331553;128893
837;29640;29564;329393
838;5422;50992;16468
839;31229;65443;44589
840;220672;211054;51651
841;9225;22171;9223
842;260154;255898;8299
843;6816;265736;56639
844;12443;54532;11463
845;47667;311624;25069
846;47331;32642;146853
847;115833;181465;377624
848;46888;30690;84363
849;3866;227784;88879
850;12560;22681;226878
851;62819;253917;23278
852;24794;92153;55516
853;10579;130601;176
854;104005;13685;51522
855;31125;28117;4728
856;107073;133691;645060
857;3777;43907;13187
858;132901;106410;195010
859;105248;248743;187871
860;62624;18278;5229
861;69865;35880;1830
862;32945;128962;24901
863;309478;13482;302957
864;69690;155554;811
865;3852;64908;46846
866;6715;503498;24418
867;107287;8642;95287
868;76274;49212;120804
869;19068;7294;25995
870;15835;103756;219406
871;19292;29586;96335
872;23108;57101;1988
873;10193;169661;56272
874;149472;152615;113916
875;2738;324084;292595
876;20508;6251;204865
