;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
451;268;712;1768;878;1600;38237;334706;97272
452;363;1427;238;764;1305;36069;230725;55833
453;267;491;367;621;1940;2983;91867;35880
454;681;647;620;966;468;9936;81927;41067
455;1150;169;681;1354;1135;20133;82324;212163
456;414;327;495;728;957;70778;96062;147075
457;369;378;948;1648;471;14472;57856;7819
458;394;193;403;278;1872;43859;342379;29510
459;446;521;517;483;2742;209;181124;7312
460;372;146;827;884;479;40460;253815;168945
461;305;442;316;297;3001;6807;58965;78978
462;164;195;623;1606;1873;23792;71741;193632
463;258;534;1137;1785;1148;13223;36667;382621
464;446;1143;1097;897;220;6080;540311;53933
465;291;409;210;760;983;7057;18960;44849
466;412;629;410;1467;4627;24270;417766;fail
467;605;516;1227;1565;2585;72039;737784;fail
468;271;348;273;44;1767;9366;133143;658217
469;979;662;966;797;5331;27301;227923;226899
470;399;462;1092;403;1503;11390;156427;77180
471;459;855;928;136;1069;24974;251131;369493
472;711;728;521;1010;2849;28184;207107;398185
473;471;532;363;981;824;4098;147360;295264
474;503;951;585;812;353;3469;14582;221270
475;197;480;581;900;1740;7387;45842;24040
476;616;431;247;1223;1898;5952;100994;134114
477;223;213;804;1501;1098;15031;327304;114962
478;302;56;266;584;1689;32504;54670;342484
479;549;335;450;1797;2025;46322;156339;327168
480;483;389;998;870;1761;31545;229271;165953
481;605;329;1038;767;2081;363;30822;147128
482;532;872;441;478;2138;46713;77809;482845
483;355;578;870;1635;500;1562;111633;36759
484;673;991;380;2553;2679;9324;38957;96416
485;132;82;265;707;2833;19593;165885;871778
486;758;796;398;488;191;6820;171073;119769
487;466;122;574;1323;541;18302;79440;69895
488;255;379;771;340;1622;26676;41762;152293
489;517;482;639;612;1964;35440;36037;184627
490;360;353;355;1023;1174;2480;20444;51403
491;558;166;222;528;769;6082;55446;125543
492;427;296;264;346;661;13036;179284;76920
493;370;788;602;1994;6147;103474;193937;202440
494;272;330;372;980;1693;8585;199750;414876
495;605;699;955;686;3610;23153;58157;749077
496;472;420;178;215;2715;1553;9146;195466
497;727;319;709;561;1840;15226;6051;682177
498;1258;622;453;280;8038;99254;108168;314780
499;317;671;428;1185;640;34586;168454;17824
500;709;448;743;608;666;10151;348161;149757
501;985;711;963;1755;986;65165;468775;112959
502;379;549;811;1235;2132;13945;42995;338800
503;158;441;734;2035;340;22863;120131;46591
504;170;543;395;805;5181;30159;fail;70186
505;495;1208;1402;723;1145;17696;64322;404906
506;513;713;1001;1103;173;21728;93671;64409
507;420;336;1380;1268;2976;36240;34666;212808
508;621;473;625;206;3342;2412;408791;84498
509;629;547;191;881;1928;4995;39570;7994
510;721;401;449;948;1727;31839;23128;404209
511;284;210;299;219;1014;14891;548539;182547
512;97;269;190;980;512;2962;97547;4141
513;336;244;556;1073;673;29706;14276;163919
