;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
223;2150;1096;1661;306;556;599;501;931;721
224;3149;779;1615;551;1442;501;1120;271;523
225;2368;802;299;851;394;424;963;313;148
226;2458;2113;864;862;709;1852;323;728;416
227;1364;1521;618;799;877;710;289;585;639
228;1611;1138;1228;479;414;266;351;601;739
229;2109;1763;1216;167;739;677;403;380;191
230;1034;1129;796;185;759;503;411;809;396
231;1852;3090;955;467;278;1018;1184;192;314
232;4528;1251;1727;918;312;464;659;699;511
233;2359;2763;871;734;731;803;707;1108;923
234;1448;1184;647;784;467;1128;443;642;285
235;901;2046;1302;1545;586;327;723;200;764
236;3338;1618;946;1559;1033;649;685;1037;343
237;2592;1120;1949;521;506;897;305;772;402
238;1002;533;801;654;847;543;598;968;622
239;2351;1108;1231;762;637;435;811;739;1141
240;2116;1275;806;893;714;313;207;571;308
241;1860;1085;595;1128;446;1339;1116;182;1367
242;1797;1197;821;741;414;862;383;507;460
243;1646;2541;604;1189;436;401;255;220;911
244;1875;515;849;144;713;486;421;583;425
245;5082;1605;909;657;853;377;1293;844;1501
246;2786;1565;364;589;475;848;426;102;527
247;2250;527;1905;857;952;1036;439;384;465
248;1377;469;1496;462;743;588;486;411;94
249;462;1392;833;1885;1273;564;528;497;857
250;2568;2387;546;1409;830;922;379;1042;411
251;3547;444;865;568;434;559;1063;360;545
252;1214;1685;898;348;273;208;272;521;291
253;1277;2230;3116;1304;130;780;605;1052;132
254;636;1517;806;1195;753;1169;899;859;395
255;1600;1005;720;357;952;896;585;1133;497
256;2723;1089;934;4219;372;784;408;542;548
257;1249;1438;837;723;425;442;415;347;565
258;2259;833;788;1420;98;606;328;401;463
259;460;1742;857;287;485;477;515;591;389
260;2120;1448;637;1104;804;834;471;53;545
261;357;511;442;813;491;174;249;398;600
262;2314;2284;798;448;85;426;405;415;374
263;1244;700;809;1602;364;1049;155;354;411
264;2829;1975;652;1395;458;426;960;958;171
265;1363;1195;347;353;200;943;340;376;374
266;1793;574;954;1098;327;818;820;303;727
267;1551;1204;561;1726;678;1283;299;530;394
268;1841;1129;149;619;564;1045;349;1061;606
269;1355;110;635;1387;869;399;330;532;855
270;358;1450;464;302;548;280;580;975;464
271;10587;1037;1915;2220;382;830;731;611;591
272;2127;527;2017;944;284;1216;760;463;379
273;3102;1074;863;1080;641;539;453;705;484
274;1959;1643;588;634;526;802;782;292;310
275;814;536;1919;400;991;579;319;427;363
276;865;1733;476;239;844;493;762;179;845
277;974;1836;617;976;922;1032;800;659;989
278;451;868;269;1049;1128;343;621;214;240
279;1530;576;423;1163;989;495;633;396;610
280;1258;1582;1628;1355;988;368;417;474;849
281;2103;1001;1429;834;781;677;503;1082;802
282;1716;855;244;817;547;400;449;516;753
283;1984;2877;200;1174;167;434;428;590;508
284;1432;1028;3493;924;425;96;1905;1132;858
285;744;400;509;2696;959;354;710;439;279
286;3106;889;422;1181;987;522;458;299;484
287;2179;404;1672;619;1264;1292;364;122;575
288;1493;2016;400;333;740;182;1026;307;82
289;828;1000;701;411;744;234;818;841;254
290;1378;1709;1038;469;670;1140;758;202;430
291;1792;1884;970;557;147;504;497;520;690
292;3722;1726;1232;720;1394;310;493;468;236
293;1516;508;759;247;584;726;103;948;1015
294;1187;1024;661;217;682;830;330;289;320
295;1595;2439;439;542;697;561;272;368;832
296;1696;895;411;636;690;739;364;1085;768
297;3941;1100;1781;972;1222;464;836;648;233
298;1743;2130;637;550;327;757;208;482;498
299;3543;3629;581;566;628;832;983;664;555
300;2324;647;449;928;491;424;615;654;332
301;890;1306;168;911;718;458;674;573;591
302;896;1894;496;855;477;416;642;552;408
303;2645;992;612;1231;565;781;399;827;738
304;2630;3330;1296;1048;380;1218;748;207;802
305;1343;856;244;509;272;390;664;519;866
306;792;1226;817;456;542;697;573;324;565
307;510;2214;1344;946;1176;607;530;214;524
308;680;1142;1274;555;1014;564;394;645;641
309;5018;964;313;1227;1002;701;527;429;807
310;1215;2090;3151;586;696;287;731;448;648
311;449;388;1118;713;283;433;976;813;592
312;3194;2007;213;935;106;357;595;404;461
313;2661;2261;1010;1214;847;1362;1030;255;954
314;2468;1540;483;1182;1015;187;416;935;1126
315;2610;440;2165;925;519;742;305;972;1122
316;2677;1623;730;270;385;664;528;130;586
317;1966;780;1634;826;703;1160;942;586;537
318;3123;997;1234;690;300;668;228;517;584
319;2146;836;244;964;725;477;418;865;748
320;759;1889;203;560;1534;692;617;429;279
321;4894;2545;684;423;566;537;254;411;360
322;269;1203;413;658;395;669;778;690;373
323;820;551;680;583;573;800;393;487;1111
324;1184;313;729;717;195;460;337;318;545
325;2604;1193;1929;1018;993;334;875;198;513
326;3467;1956;788;780;430;585;562;191;1249
327;1625;1072;1222;1138;786;488;699;424;429
328;5691;700;2564;192;630;1251;1271;249;328
329;1454;1373;1665;542;705;1257;551;584;977
330;3036;402;2282;576;1426;1296;180;699;832
331;3481;860;147;700;241;603;325;623;195
332;1953;798;772;522;1742;598;918;425;420
333;4154;2473;278;423;919;752;341;809;436
334;141;573;330;923;559;519;486;518;263
335;991;906;1567;634;765;60;606;429;631
336;3013;1940;886;604;708;503;410;371;308
337;1621;886;587;473;301;261;740;304;591
338;2296;1603;643;1252;621;148;958;462;180
339;1424;699;1260;1477;651;576;246;657;692
340;1582;909;379;228;432;48;591;321;532
341;1103;1704;909;1045;1605;795;666;387;641
342;2124;1142;975;758;699;216;948;568;347
343;1086;1256;620;804;1164;512;1264;1445;419
344;854;301;374;588;801;513;378;876;516
345;443;924;1023;1044;817;521;429;361;466
346;451;1644;1358;2178;787;972;710;416;746
347;1127;1410;571;542;554;643;505;393;392
348;1686;2321;547;458;839;1225;428;76;860
349;444;2400;493;485;237;533;422;350;193
350;1966;1264;857;913;1295;887;295;473;437
351;3775;1735;435;2153;832;350;1429;258;444
352;1591;296;1341;674;809;408;271;247;328
353;2702;1078;1324;773;710;558;921;421;408
354;1093;666;998;475;863;651;416;728;591
355;1903;1283;1114;846;339;881;188;582;915
356;2964;1027;1525;757;650;783;673;603;712
357;4423;576;2529;829;214;750;977;1009;492
358;1798;708;422;469;2361;453;403;1265;1430
359;4866;1204;1590;535;607;1488;645;1684;122
360;2262;1258;970;1269;1121;1293;231;731;237
361;2838;1169;2608;1092;1997;1237;578;612;462
362;1678;2381;1503;732;498;755;767;548;875
363;3824;1000;297;942;1141;737;46;1292;258
364;2009;960;2107;1774;359;525;1303;256;800
365;1264;405;323;1564;850;400;339;499;384
366;1591;323;457;369;395;1207;563;277;641
367;2561;889;201;650;1508;428;1049;194;389
368;2088;2099;1501;926;234;447;752;566;176
369;1686;915;907;584;296;493;761;726;292
370;1585;986;2607;272;719;268;527;966;675
371;3303;1777;1496;437;1540;1183;1373;842;442
372;725;1804;769;195;586;425;356;615;275
373;1955;1748;1206;687;796;409;532;582;462
374;1785;1712;821;1713;1024;189;529;396;444
375;1884;1441;1442;1201;1139;786;2359;315;631
376;661;456;1825;1749;991;683;474;318;785
