;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
49;fail;fail;fail;fail;fail;85597;fail;841;489;1219;3079;1118;fail;402;1959;1779;498;435;455;463;954;1695;601;528;130;462;393;1027;467;482;773;761;1093;936;636;469;272;192;302;1147;580;659;907;2862;966;953;659;538
50;fail;fail;fail;fail;fail;fail;fail;fail;fail;59310;fail;fail;fail;447;4007;535;20821;12844;405;546;17614;906;347;128;225;193;2045;1470;433;392;204;872;610;648;456;626;567;1186;412;881;171;787;412;221;658;616;1358;393
51;fail;fail;fail;fail;fail;fail;fail;fail;59815;1505;fail;6298;358;207;72261;189;fail;4263;568;295;567;1321;628;525;236;597;766;1567;254;188;731;306;1009;593;242;174;602;478;1004;421;458;298;667;291;1056;909;1005;669
52;fail;fail;fail;fail;8641;fail;fail;861;151;590;47141;fail;fail;1354;428;17843;fail;112;318;581;478;637;389;226;226;727;516;614;741;548;340;219;241;1008;963;557;176;379;1601;2576;507;1475;1308;956;881;955;555;734
53;fail;fail;fail;77130;fail;fail;fail;fail;466;12082;fail;82264;fail;481;fail;28886;708;622;287;326;761;2205;199;336;208;480;651;541;222;374;409;615;578;619;746;740;287;434;665;890;174;639;952;1214;1834;1085;400;434
54;fail;fail;fail;fail;16136;fail;fail;fail;357;79237;fail;fail;fail;181;12112;5666;499;2340;136;853;1115;1804;461;260;430;535;683;1709;381;597;949;300;1450;961;765;1350;562;573;1017;764;744;158;562;472;359;935;543;785
55;fail;fail;fail;fail;fail;84282;fail;fail;fail;29930;57327;fail;fail;fail;19827;3421;fail;203;388;548;234;144;1113;370;320;555;786;758;315;465;168;616;834;953;320;789;574;538;367;820;488;780;352;755;1225;1832;541;415
56;fail;fail;fail;8593;fail;fail;fail;687;7716;65071;534;12596;fail;fail;66562;fail;647;3992;604;694;532;332;237;277;365;246;618;902;1591;845;320;340;782;1426;551;347;598;460;414;486;315;626;593;647;1389;952;593;437
57;fail;fail;fail;fail;59850;43267;fail;fail;fail;fail;fail;fail;177;157;447;643;246;519;317;581;1488;483;104;782;592;81;689;1817;297;694;233;537;915;1264;516;667;557;220;640;353;465;921;178;1032;542;596;275;677
58;fail;fail;1472;fail;fail;fail;fail;fail;25474;799;57649;fail;329;fail;12930;730;1166;8164;227;509;676;1073;720;371;500;267;1934;5336;1004;627;392;613;848;1922;558;129;239;776;1302;397;399;439;677;348;798;1696;459;620
59;fail;fail;fail;fail;fail;fail;92;2903;1093;251;fail;7771;fail;1015;1610;2139;43854;852;94;393;439;8588;179;219;205;341;474;59;513;1081;373;326;271;866;479;377;489;326;697;790;682;550;927;1063;1949;921;1035;320
60;fail;401;fail;6440;121;fail;fail;fail;985;fail;444;62857;fail;13846;fail;34045;fail;16747;276;288;299;793;195;137;109;940;763;872;411;269;506;632;1794;936;440;246;622;390;743;1217;316;372;571;639;1149;209;589;603
61;fail;fail;71568;41898;55;fail;fail;fail;fail;983;fail;228;fail;596;3382;4929;2379;10325;200;1244;504;112;57;463;156;753;610;1941;574;264;79;800;1017;2925;625;1453;642;726;1149;1348;500;441;356;1143;1686;953;422;578
62;fail;fail;fail;fail;fail;fail;fail;fail;590;fail;fail;fail;fail;494;fail;fail;38883;54323;481;551;789;980;455;251;304;699;529;130;1107;478;377;1002;558;1059;758;741;466;601;955;676;413;210;314;592;1301;1365;572;1001
63;fail;fail;fail;91531;fail;17435;fail;fail;fail;1566;47106;14163;fail;12454;1378;1815;683;21791;235;1519;669;400;529;807;146;477;971;1884;1057;1258;215;163;160;1380;266;371;404;301;253;623;338;359;68;1522;1012;1059;908;1087
64;fail;fail;fail;38512;fail;fail;fail;fail;70298;2318;2555;897;fail;fail;36932;8579;3901;9606;822;390;4528;349;748;767;182;749;2085;622;591;463;359;539;311;822;1066;439;393;302;820;547;480;852;460;788;244;782;990;209
65;fail;fail;fail;fail;2888;fail;fail;103;fail;13321;5555;1822;fail;723;385;906;4545;10309;336;1341;2287;1239;541;959;455;517;998;1268;413;654;66;679;431;685;360;279;141;223;1340;887;459;789;515;845;787;1673;1038;626
66;fail;fail;fail;fail;fail;fail;fail;fail;5603;10178;5106;16514;fail;4371;94212;fail;76419;4380;95;434;1410;1841;119;381;255;113;359;638;426;278;932;655;573;1067;172;474;448;703;851;914;940;368;803;587;1404;1537;643;474
67;fail;fail;fail;5211;fail;3439;fail;fail;fail;761;74170;353;fail;2679;3346;1443;4865;4206;241;433;1431;454;407;422;206;377;780;2696;814;1337;316;201;915;617;754;978;816;783;1141;839;326;298;386;654;243;350;416;806
68;fail;fail;fail;fail;fail;fail;fail;fail;fail;40527;6689;fail;131;796;430;3919;425;386;670;899;591;568;403;225;606;487;510;461;191;565;258;590;496;1550;226;852;357;318;1039;1174;278;539;709;581;499;1032;1055;677
69;fail;315;fail;fail;fail;676;fail;fail;fail;fail;fail;1023;fail;1398;18629;470;409;410;268;373;1725;337;305;253;522;219;1213;1131;552;310;449;647;1621;220;660;436;298;1614;1179;830;233;427;280;503;918;1272;391;618
70;fail;fail;fail;fail;fail;fail;103;2670;12179;383;65655;fail;fail;950;178;13041;173;1820;91;272;484;558;378;209;296;53;291;358;697;232;280;442;833;1505;520;969;402;309;208;571;503;360;735;850;979;901;486;397
71;fail;fail;fail;fail;fail;fail;fail;fail;38757;32854;fail;fail;fail;4076;7300;21119;4301;227;200;301;511;1659;180;170;195;247;464;409;423;903;403;628;830;510;684;248;185;736;695;1037;385;612;1378;500;1018;833;290;785
72;fail;fail;fail;fail;fail;fail;fail;fail;7977;35007;372;fail;fail;2719;15752;10552;1062;1406;254;463;821;962;239;165;279;301;926;1212;415;1111;644;479;592;358;290;553;412;512;1001;877;600;293;132;612;1256;1283;1171;846
73;fail;fail;fail;fail;fail;fail;fail;fail;966;fail;fail;fail;fail;721;585;972;3067;583;73;499;1725;421;243;356;261;355;247;1507;469;319;215;736;967;812;426;681;416;1024;632;1498;299;617;447;757;1294;930;754;901
74;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;668;397;74976;fail;1499;408;1557;287;486;484;725;232;460;790;362;866;651;738;808;868;999;494;401;152;666;498;781;574;546;440;506;934;406;693;771
75;fail;fail;fail;fail;fail;fail;fail;6741;22395;2111;51;4554;fail;7139;fail;1969;52;13697;103;434;1901;506;438;558;763;275;1277;212;180;549;189;817;775;424;205;185;168;390;1327;635;929;176;816;355;1114;1680;1043;365
76;fail;fail;fail;fail;fail;fail;fail;fail;583;fail;1197;fail;340;586;1152;569;740;17188;828;990;355;506;405;370;192;364;538;965;666;617;84;465;635;2421;352;537;428;375;361;765;223;770;479;1132;1353;1279;222;722
77;fail;fail;fail;fail;fail;7681;fail;fail;fail;80748;9156;3127;107;12854;209;2677;7863;7542;174;473;400;1179;286;475;570;1399;915;793;820;964;227;619;312;517;518;595;413;392;772;2036;1143;505;332;892;763;1459;346;161
78;fail;fail;fail;fail;fail;fail;fail;1158;6785;18622;22759;427;fail;7096;18267;6818;9658;1236;532;367;654;5716;658;457;266;170;1726;586;848;582;293;643;1005;827;1012;393;333;735;406;1539;324;256;497;922;564;829;287;254
79;fail;fail;fail;7016;fail;fail;fail;fail;fail;fail;61818;fail;fail;2065;fail;fail;9780;fail;368;1575;1413;4489;803;707;177;670;1390;764;730;777;520;1280;478;4828;421;450;196;521;612;1743;479;537;1086;3360;910;628;253;670
80;fail;fail;fail;5542;fail;1530;fail;fail;fail;1373;fail;539;fail;416;2660;9426;6592;3433;274;985;462;1183;884;509;1135;1401;1996;1916;170;110;111;126;684;410;1142;748;140;161;1165;1188;491;435;291;822;1054;865;698;181
81;fail;fail;fail;fail;25;fail;fail;fail;1013;fail;1892;fail;fail;294;3680;32316;449;489;343;368;3179;551;601;515;349;655;620;570;1112;558;975;812;1089;972;271;467;105;674;1241;890;410;740;477;433;1172;746;261;680
82;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;533;77022;1143;fail;fail;328;1657;1175;11789;1023;3173;345;152;257;1600;640;470;605;860;971;2002;910;621;155;795;709;1446;502;352;833;886;932;1138;1100;540
83;fail;fail;fail;83155;fail;fail;fail;fail;75282;13972;fail;fail;fail;1950;4003;711;32746;49357;504;687;354;920;393;483;436;290;287;463;188;693;521;879;592;1701;489;552;359;451;626;386;475;363;356;375;880;2400;857;802
84;fail;fail;fail;fail;fail;fail;300;fail;12537;44714;fail;fail;fail;1269;3201;652;11084;244;409;631;2505;1092;604;217;373;719;244;1091;346;131;236;151;1338;1170;160;396;549;1131;926;2274;379;578;878;1034;416;333;620;782
85;fail;fail;155;21577;861;1750;fail;fail;37034;2066;fail;12236;192;127;5081;641;583;693;428;934;1692;503;1017;977;147;513;749;303;143;191;274;488;1364;1073;770;1134;379;470;543;858;161;1054;440;915;899;1235;1459;624
86;fail;fail;fail;fail;fail;fail;125;fail;288;2120;11375;798;fail;4460;37055;fail;3173;33215;166;408;940;1119;287;291;434;394;358;745;441;345;416;227;855;376;406;893;344;690;642;250;338;886;682;1201;539;813;717;868
87;fail;fail;fail;84559;fail;fail;fail;685;24023;27167;506;fail;fail;982;475;8398;722;231;fail;2864;1088;977;466;1625;273;216;550;634;262;1102;565;350;1034;1712;1447;447;454;973;1380;1708;911;621;726;664;1059;1067;1568;465
88;fail;fail;fail;fail;fail;fail;fail;fail;1695;fail;fail;fail;fail;473;38356;9237;fail;fail;298;2526;129;834;7603;733;994;890;777;810;191;430;328;701;664;1267;1396;706;282;592;1370;737;218;577;172;1080;1924;486;623;1275
89;fail;fail;fail;53571;fail;4197;fail;fail;fail;fail;fail;fail;fail;2349;288;7008;17050;457;198;478;566;562;100;190;292;268;277;1274;793;179;633;413;81;293;249;781;446;992;682;1214;501;439;469;748;586;1429;443;617
90;fail;fail;fail;30400;fail;fail;fail;799;39721;25870;7795;30787;fail;fail;2638;6151;99457;1521;69;771;1228;723;675;480;481;567;794;1728;364;331;157;429;1698;1109;863;868;220;770;1167;1339;504;277;823;1145;954;1438;942;1455
91;fail;fail;fail;fail;fail;fail;fail;1926;fail;fail;38290;fail;fail;1563;fail;fail;9390;1506;139;739;131;368;897;12427;224;293;473;1179;670;442;314;236;439;580;417;244;626;394;982;790;502;686;454;654;1028;1114;602;255
92;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;24;999;70;183;128;742;1125;1591;351;370;474;210;391;651;1062;489;776;861;334;1030;643;456;576;330;236;1286;605;835;382;476;583;304;463;353;586
93;fail;fail;fail;fail;fail;fail;fail;fail;fail;55244;fail;2479;210;517;926;1121;316;361;329;530;1849;897;370;730;189;377;1113;827;1360;615;245;383;1666;566;590;499;666;473;603;1883;440;791;563;1010;454;617;391;829
94;fail;fail;fail;fail;fail;fail;fail;466;fail;677;1065;4653;fail;3743;3372;4276;596;fail;384;236;740;638;541;1351;719;816;2162;777;88;426;465;194;1607;547;2646;676;320;1181;581;325;582;156;1364;1021;1490;1508;589;823
95;fail;fail;46594;12352;49588;fail;fail;fail;fail;7402;3644;360;fail;282;3903;457;988;1570;186;170;1716;313;479;670;290;690;665;900;484;874;272;633;1217;1158;373;520;340;438;622;1229;616;985;379;533;454;548;223;288
96;fail;fail;fail;fail;91595;fail;fail;fail;2177;fail;fail;73731;fail;5236;9125;624;1620;9649;258;1355;1397;9324;500;481;212;702;218;576;150;164;625;481;551;251;454;528;237;264;652;1003;325;641;1140;1787;2359;827;1336;380
97;fail;fail;38309;fail;fail;839;fail;fail;fail;58280;fail;8638;271;306;fail;11091;6493;50708;151;555;862;1142;1537;7091;186;401;430;1957;476;233;537;267;1101;1025;439;604;529;409;1433;1942;332;757;221;961;1693;934;403;490
98;fail;fail;fail;29182;fail;1524;fail;343;fail;127;fail;fail;131;8002;48447;367;1674;11411;336;215;349;390;947;176;216;591;481;1132;298;156;398;865;1031;737;340;243;440;742;1719;947;323;168;394;649;1142;874;664;238
99;fail;fail;fail;fail;fail;fail;fail;1337;70;3085;1098;3097;fail;262;3576;725;285;282;883;195;591;2727;736;131;426;638;1310;179;782;369;191;367;459;363;537;626;161;352;383;631;711;353;623;565;751;444;273;395
100;fail;fail;fail;fail;3780;1364;fail;fail;fail;fail;4187;fail;fail;fail;fail;428;67540;8151;190;605;392;561;1147;251;548;610;545;924;236;572;655;292;382;755;206;394;220;437;830;439;493;642;298;224;387;2342;311;854
101;fail;fail;23058;fail;29836;fail;fail;fail;fail;fail;fail;2432;fail;fail;fail;fail;59467;6894;720;813;301;7839;561;383;301;895;752;363;321;304;166;476;1129;1527;1334;95;432;551;685;998;527;533;568;180;861;945;1050;542
102;fail;fail;11786;fail;21863;34504;fail;fail;2715;2177;309;71010;fail;100;23764;7140;fail;515;285;236;557;586;882;1111;256;445;670;1980;435;241;358;390;1151;387;700;388;878;1297;619;1364;488;348;296;543;458;1026;264;944
103;fail;fail;fail;fail;fail;fail;fail;222;2603;193;3397;7321;fail;4953;2649;9121;343;5928;168;1377;1028;252;916;211;324;147;549;1116;517;533;52;632;412;269;355;131;353;1007;520;545;253;1191;518;454;420;622;388;799
104;fail;fail;fail;fail;fail;fail;fail;fail;fail;1678;1618;81331;fail;fail;37919;fail;fail;fail;163;194;1100;743;501;2269;233;556;1084;1215;255;709;251;322;355;933;369;532;253;675;738;324;1154;268;852;698;1708;1138;515;715
105;fail;fail;fail;fail;fail;fail;fail;fail;2521;21447;241;fail;fail;3553;7838;2584;12174;1260;439;1053;2736;1364;1154;437;592;420;1100;609;590;348;318;783;904;1917;848;649;408;1601;273;1083;1050;717;1256;966;637;1427;893;762
106;fail;78;60088;130;46284;2317;fail;fail;fail;fail;51507;25778;625;1330;211;1023;565;165;329;718;676;141;629;810;373;383;1770;1263;696;991;273;884;1388;1140;533;16;574;747;1175;554;673;404;397;904;876;2148;843;352
107;fail;fail;fail;fail;fail;116;fail;142;56300;1348;fail;fail;191;223;496;6394;7730;fail;284;486;355;897;407;272;256;397;575;1752;574;660;325;315;443;1688;416;308;616;788;478;576;725;395;812;1354;1596;1434;565;493
108;fail;fail;fail;fail;fail;fail;fail;1355;fail;78116;fail;fail;315;3724;fail;767;347;1636;422;375;116;645;193;784;102;252;892;1528;433;654;214;486;251;437;635;440;594;325;729;927;554;340;570;875;1021;823;452;439
