;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
230;427;1341;29096;19242;227;682;1601
231;580;1076;28046;152000;197;1355;1299
232;442;1305;46086;74514;498;524;1684
233;966;463;7116;18806;397;439;732
234;419;5272;27824;23157;376;617;1048
235;330;1695;13838;47757;625;715;503
236;269;1526;58373;50652;972;621;994
237;504;1443;43917;8074;1518;664;3036
238;295;2261;15505;74394;443;221;984
239;298;11104;18872;78945;657;1222;1490
240;379;3926;60300;28798;844;179;2482
241;555;2311;960;39263;687;232;1344
242;153;1504;9762;66342;420;548;74
243;245;1564;5520;73854;621;837;469
244;651;335;21263;35573;627;1066;2343
245;801;3739;31574;221387;281;496;1365
246;243;2459;34872;8025;897;356;433
247;376;573;3025;8968;1033;964;625
248;578;2426;27105;9168;413;1146;513
249;345;2696;6453;94138;490;558;1055
250;333;5736;821;16314;424;1205;641
251;730;4021;1126;26019;616;522;1275
252;246;1720;26905;25407;317;840;1046
253;289;1834;21050;34179;753;480;1342
254;488;1632;1707;51669;1178;1012;771
255;374;1593;11482;32931;349;615;598
256;444;1432;37088;2063;693;591;462
257;169;137;10885;14453;618;288;1699
258;248;4381;1237;101917;268;916;986
259;447;1318;12058;25600;390;609;737
260;397;358;8744;61003;1017;596;754
261;272;699;21855;54201;436;800;894
262;151;1721;1059;20864;488;331;1642
263;496;353;7873;45272;698;1087;153
264;237;4495;682;18951;107;145;515
265;209;664;975;39224;213;362;359
266;252;2207;3718;326135;374;1189;2899
267;315;2513;31282;44675;978;1425;1192
268;645;952;6322;36953;482;1001;845
269;349;643;50265;92009;655;468;882
270;252;3638;48397;48182;467;956;758
271;401;3141;1250;9718;801;383;769
272;625;1471;1374;52189;496;1333;454
273;455;723;21569;47604;527;794;515
274;194;2577;10998;4255;911;844;799
275;666;1138;22045;46074;1163;933;545
276;639;2957;74538;26675;407;855;718
277;359;1352;25499;178;749;161;562
278;594;1825;20245;851;545;637;784
279;264;5276;23985;22682;191;1143;1278
280;220;823;735;30631;220;808;877
281;369;2188;10710;15255;199;316;1930
282;307;11983;60751;72983;229;562;290
283;161;897;622;51118;418;562;612
284;426;382;53545;82123;145;829;135
285;366;13876;50878;2342;808;1732;373
286;354;3479;2762;69872;244;1018;1226
287;193;2656;32298;107426;1296;784;448
288;544;6373;30982;153657;316;432;783
289;479;781;6819;20619;647;413;298
290;117;4709;12251;33833;142;398;1163
291;65;1241;2633;22555;537;582;1061
292;641;325;22032;9942;298;265;444
293;801;3551;45556;1549;399;1505;1248
294;421;1465;9819;12831;542;412;355
295;277;138;9172;109202;632;1146;1697
296;403;773;48323;136392;881;773;3013
297;477;4361;3450;29873;75;1460;607
298;231;4473;11233;40758;558;627;1084
299;454;15000;8223;87320;1599;1454;851
300;376;3481;16311;4290;712;1001;500
301;512;826;3716;13271;739;157;827
302;399;10984;41799;15212;412;1422;1049
303;590;2198;6099;7015;520;386;590
304;252;1980;15058;285931;334;579;1246
305;754;2594;26183;97373;844;988;1172
306;282;1675;5319;3434;273;733;1061
307;186;204;37897;6111;727;630;1435
308;217;4347;22815;81563;438;551;704
309;258;2352;8772;44905;211;1007;1233
310;244;352;5001;74756;261;1979;1168
311;504;819;46324;3626;313;615;1043
312;237;3244;9682;12323;1011;979;676
313;917;11740;43235;76569;454;864;1291
314;286;2966;5817;10329;94;560;411
315;225;4543;19518;85207;433;466;454
316;360;838;4329;19018;839;724;819
317;306;346;35565;18550;631;991;314
318;212;463;5249;18976;591;347;611
319;234;1401;12556;7510;438;127;726
320;431;413;18688;12843;899;386;554
321;306;1529;20813;23592;201;1015;1057
322;231;2333;14957;10964;543;850;677
323;469;1424;27832;4534;413;501;2206
324;424;2297;4144;8780;406;565;253
325;405;962;17575;3918;410;921;1764
326;192;1769;66990;31566;595;1172;1584
327;541;4700;2110;134838;937;662;931
328;270;1085;17203;4086;474;714;876
329;411;1362;20158;73852;274;1223;2157
330;594;592;3832;54373;501;1049;1260
331;362;1327;3940;21385;113;932;293
332;168;4957;2437;20707;287;481;362
333;291;907;35683;2051;888;1180;1161
334;489;702;73451;64571;860;1191;1651
335;340;3188;20330;183601;735;746;1047
336;245;167;6334;13269;408;322;477
337;251;3160;6083;27057;594;1123;2031
338;534;329;5275;12077;249;799;1896
339;804;3816;5550;41856;323;366;361
340;259;1126;15019;115189;167;741;831
341;369;304;22557;122044;514;868;1016
342;313;2593;20594;45885;475;503;1091
343;201;2316;18114;171490;775;817;1370
344;241;917;32989;106688;589;756;2127
345;209;4015;28147;47052;328;604;647
346;305;2405;4943;4589;333;1087;538
347;471;1124;27197;24859;71;857;1347
348;382;1382;28021;7953;1114;456;1334
349;605;1121;22111;56896;1918;682;973
350;616;5916;3754;9577;317;618;572
351;439;1091;12379;21672;1118;786;1338
352;225;2830;86071;68052;637;315;626
353;717;3966;22826;8689;860;1181;1139
354;338;1283;16113;14551;457;429;435
355;266;144;28882;5277;740;671;1026
356;149;1296;1663;37627;520;366;677
357;514;4979;8412;26044;522;583;843
358;719;604;16347;12255;590;200;404
359;292;1632;9593;69419;454;977;1576
360;248;7057;7329;5514;313;615;1541
