;EA;EA2;EA3;EA4;EA5;EA10
260;923;1562;1130;2357;2164;69845
261;1662;683;1251;1811;6335;71852
262;481;1228;1813;3414;4336;295463
263;606;1037;1076;1976;5570;15593
264;482;680;3324;1097;906;12214
265;965;1208;1795;427;1396;9790
266;736;667;701;3848;1740;45339
267;343;1270;2115;2921;2843;25917
268;279;1351;4436;651;3618;27546
269;1265;2083;1108;2849;2865;105016
270;817;2342;1339;1391;6214;12956
271;893;387;2327;1079;5254;13655
272;965;759;1289;1706;11580;84149
273;329;1016;1619;808;5251;98509
274;563;465;1176;816;5171;96484
275;668;850;1520;2007;4693;12925
276;408;578;213;3408;6673;120871
277;1012;721;1121;2805;2550;12110
278;686;1100;1813;994;3577;58640
279;725;856;986;1678;2802;42454
280;1038;1161;773;1971;4890;28474
281;782;4957;996;3352;1343;95570
282;612;2387;734;2331;7613;19781
283;86;1420;2269;1148;3410;67436
284;1039;1244;4494;4565;7924;127407
285;1754;1877;912;1025;11424;98876
286;559;811;1519;2388;9013;36296
287;1452;802;925;1324;1805;111330
288;724;446;152;718;7437;38757
289;584;1269;359;1782;2042;67567
290;562;1850;1042;4838;966;179254
291;750;699;992;569;12443;7569
292;952;238;1372;1417;7026;127118
293;1155;911;1705;563;1308;137645
294;433;752;1890;1674;4979;9155
295;140;942;836;1645;675;67982
296;765;1975;1638;1159;1929;18011
297;218;844;283;3259;2085;7462
298;458;365;1290;3236;2393;38293
299;128;458;1261;1318;11171;121155
300;2130;740;2314;4150;7568;61638
301;580;240;1037;4212;6241;18157
302;689;1324;1018;2430;3133;164769
303;1361;691;806;1702;5779;103150
304;798;1064;596;988;4523;97414
305;564;812;952;582;2666;23937
306;948;1264;1347;2038;573;182686
307;742;487;622;1128;3760;777
308;787;821;1942;1603;3849;31486
309;211;834;1611;1488;647;48770
310;495;1313;670;1215;6176;16273
311;1872;717;2207;3727;1803;51514
312;613;597;1442;1689;2160;106841
313;1092;385;5378;1844;5662;20261
314;980;611;1748;1849;9160;2643
315;999;617;1543;2259;857;98803
316;1400;856;727;1767;5097;45222
317;623;447;1424;4144;2117;44165
318;1041;1062;876;1114;3873;23220
319;384;2189;1755;6801;10489;20383
320;709;553;948;4772;1352;38047
321;484;410;284;814;4475;158835
322;1813;667;2596;2877;3586;160780
323;568;1044;2195;2292;18229;74533
324;396;585;1344;238;3369;87348
325;863;960;1126;1065;1155;12348
326;1031;832;785;4076;6113;18354
327;1907;2329;2643;5309;1348;211197
328;724;870;1125;451;7046;6299
329;365;896;2127;9785;3123;102369
330;490;292;1433;1163;993;30689
331;1341;740;1416;3713;773;3104
332;453;960;869;1997;8252;5217
333;848;2126;1326;1371;11549;19915
334;1282;914;1032;2434;4481;29241
335;719;2111;1419;3030;439;827046
336;273;415;628;3092;6439;238267
337;458;751;2484;2322;12838;238173
338;646;1779;761;2633;11526;36647
339;621;813;1463;648;2994;53001
340;1236;645;2381;2989;6660;311036
341;449;2284;1761;2449;5584;41501
342;299;231;601;3589;2412;14018
343;459;1235;886;1069;4090;38933
344;569;891;808;4432;2757;17905
345;1336;611;1295;2089;6175;64080
346;1384;988;742;5469;2525;30853
347;382;1504;2526;3854;2591;85992
348;451;606;1019;3629;3819;20784
349;1156;495;901;2247;9364;244942
350;643;1145;3360;1855;4398;5254
351;440;590;1626;2966;1793;6181
352;1289;265;1801;1631;11275;26213
353;647;1976;1168;3552;2424;36533
354;750;1098;1535;5061;9478;51843
