id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
1269;6;6666;0,30;1000;0;70;5;146;0,146
1270;6;16666;0,30;1000;0;80;8;62;0,062
1271;6;33333;0,30;1000;0;102;12;55;0,055
1272;6;166666;0,30;1000;0;227;29;35;0,035
1273;6;25;0,40;1000;0;2;0;833;0,833
1274;6;50;0,40;1000;0;5;0;734;0,734
1275;6;75;0,40;1000;0;5;0;665;0,665
1276;6;100;0,40;1000;0;5;0;607;0,607
1277;6;125;0,40;1000;0;5;0;569;0,569
1278;6;250;0,40;1000;0;10;0;451;0,451
1279;6;500;0,40;1000;0;14;1;343;0,343
1280;6;1250;0,40;1000;0;18;2;226;0,226
1281;6;2500;0,40;1000;0;29;3;182;0,182
1282;6;5000;0,40;1000;0;38;4;138;0,138
1283;6;12500;0,40;1000;0;95;8;95;0,095
1284;6;25000;0,40;1000;0;100;11;54;0,054
1285;6;125000;0,40;1000;0;184;22;25;0,025
1286;6;20;0,50;1000;0;2;0;870;0,870
1287;6;40;0,50;1000;0;4;0;763;0,763
1288;6;60;0,50;1000;0;4;0;710;0,710
1289;6;80;0,50;1000;0;4;0;641;0,641
1290;6;100;0,50;1000;0;6;0;611;0,611
1291;6;200;0,50;1000;0;9;0;482;0,482
1292;6;400;0,50;1000;0;11;1;399;0,399
1293;6;1000;0,50;1000;0;16;2;244;0,244
1294;6;2000;0,50;1000;0;29;3;188;0,188
1295;6;4000;0,50;1000;0;41;4;148;0,148
1296;6;10000;0,50;1000;0;49;7;104;0,104
1297;6;20000;0,50;1000;0;92;10;60;0,060
1298;6;100000;0,50;1000;0;197;24;23;0,023
1299;6;16;0,60;1000;0;2;0;865;0,865
1300;6;33;0,60;1000;0;3;0;799;0,799
1301;6;50;0,60;1000;0;4;0;738;0,738
1302;6;66;0,60;1000;0;4;0;703;0,703
1303;6;83;0,60;1000;0;4;0;639;0,639
1304;6;166;0,60;1000;0;6;0;517;0,517
1305;6;333;0,60;1000;0;10;1;404;0,404
1306;6;833;0,60;1000;0;15;1;315;0,315
1307;6;1666;0,60;1000;0;23;2;217;0,217
1308;6;3333;0,60;1000;0;33;4;159;0,159
1309;6;8333;0,60;1000;0;47;6;94;0,094
1310;6;16666;0,60;1000;0;73;9;83;0,083
1311;6;83333;0,60;1000;0;152;21;38;0,038
1312;6;14;0,70;1000;0;2;0;914;0,914
1313;6;28;0,70;1000;0;2;0;830;0,830
1314;6;42;0,70;1000;0;3;0;755;0,755
1315;6;57;0,70;1000;0;5;0;732;0,732
1316;6;71;0,70;1000;0;4;0;696;0,696
1317;6;142;0,70;1000;0;7;0;571;0,571
1318;6;285;0,70;1000;0;9;0;462;0,462
1319;6;714;0,70;1000;0;18;1;313;0,313
1320;6;1428;0,70;1000;0;19;2;250;0,250
1321;6;2857;0,70;1000;0;30;3;175;0,175
1322;6;7142;0,70;1000;0;44;6;105;0,105
1323;6;14285;0,70;1000;0;62;8;94;0,094
1324;6;71428;0,70;1000;0;157;18;46;0,046
1325;6;12;0,80;1000;0;2;0;929;0,929
1326;6;25;0,80;1000;0;2;0;883;0,883
1327;6;37;0,80;1000;0;4;0;824;0,824
1328;6;50;0,80;1000;0;3;0;789;0,789
1329;6;62;0,80;1000;0;3;0;754;0,754
1330;6;125;0,80;1000;0;4;0;645;0,645
1331;6;250;0,80;1000;0;8;0;522;0,522
1332;6;625;0,80;1000;0;11;1;352;0,352
1333;6;1250;0,80;1000;0;16;2;288;0,288
1334;6;2500;0,80;1000;0;24;2;215;0,215
1335;6;6250;0,80;1000;0;32;4;144;0,144
1336;6;12500;0,80;1000;0;56;7;97;0,097
1337;6;62500;0,80;1000;0;105;15;56;0,056
1338;6;11;0,90;1000;0;1;0;956;0,956
1339;6;22;0,90;1000;0;2;0;919;0,919
1340;6;33;0,90;1000;0;2;0;887;0,887
1341;6;44;0,90;1000;0;3;0;885;0,885
1342;6;55;0,90;1000;0;3;0;830;0,830
1343;6;111;0,90;1000;0;4;0;764;0,764
1344;6;222;0,90;1000;0;5;0;658;0,658
1345;6;555;0,90;1000;0;8;0;504;0,504
1346;6;1111;0,90;1000;0;10;1;389;0,389
1347;6;2222;0,90;1000;0;18;2;313;0,313
1348;6;5555;0,90;1000;0;23;3;223;0,223
1349;6;11111;0,90;1000;0;46;4;144;0,144
1350;6;55555;0,90;1000;0;92;10;65;0,065
1351;8;100;0,10;1000;0;1;0;963;0,963
1352;8;200;0,10;1000;0;3;0;919;0,919
1353;8;300;0,10;1000;0;4;0;912;0,912
1354;8;400;0,10;1000;0;4;0;852;0,852
1355;8;500;0,10;1000;0;6;0;813;0,813
1356;8;1000;0,10;1000;0;6;0;721;0,721
1357;8;2000;0,10;1000;0;8;0;652;0,652
1358;8;5000;0,10;1000;0;14;1;456;0,456
1359;8;10000;0,10;1000;0;26;1;382;0,382
1360;8;20000;0,10;1000;0;36;2;284;0,284
1361;8;50000;0,10;1000;0;52;3;190;0,190
1362;8;100000;0,10;1000;0;69;5;160;0,160
1363;8;500000;0,10;1000;0;168;11;77;0,077
1364;8;50;0,20;1000;0;2;0;968;0,968
1365;8;100;0,20;1000;0;3;0;926;0,926
1366;8;150;0,20;1000;0;3;0;885;0,885
1367;8;200;0,20;1000;0;5;0;872;0,872
1368;8;250;0,20;1000;0;3;0;846;0,846
1369;8;500;0,20;1000;0;4;0;754;0,754
1370;8;1000;0,20;1000;0;10;0;639;0,639
1371;8;2500;0,20;1000;0;14;0;483;0,483
1372;8;5000;0,20;1000;0;20;1;409;0,409
1373;8;10000;0,20;1000;0;45;2;312;0,312
1374;8;25000;0,20;1000;0;44;3;195;0,195
1375;8;50000;0,20;1000;0;91;5;148;0,148
1376;8;250000;0,20;1000;0;231;11;84;0,084
1377;8;33;0,30;1000;0;2;0;961;0,961
1378;8;66;0,30;1000;0;5;0;943;0,943
1379;8;100;0,30;1000;0;3;0;897;0,897
1380;8;133;0,30;1000;0;5;0;868;0,868
1381;8;166;0,30;1000;0;2;0;867;0,867
1382;8;333;0,30;1000;0;6;0;777;0,777
1383;8;666;0,30;1000;0;10;0;673;0,673
1384;8;1666;0,30;1000;0;14;0;523;0,523
1385;8;3333;0,30;1000;0;16;1;390;0,390
1386;8;6666;0,30;1000;0;25;1;335;0,335
1387;8;16666;0,30;1000;0;64;3;223;0,223
1388;8;33333;0,30;1000;0;33;4;172;0,172
1389;8;166666;0,30;1000;0;135;10;72;0,072
1390;8;25;0,40;1000;0;2;0;967;0,967
1391;8;50;0,40;1000;0;3;0;935;0,935
1392;8;75;0,40;1000;0;5;0;916;0,916
1393;8;100;0,40;1000;0;4;0;891;0,891
1394;8;125;0,40;1000;0;6;0;876;0,876
1395;8;250;0,40;1000;0;8;0;799;0,799
1396;8;500;0,40;1000;0;8;0;693;0,693
1397;8;1250;0,40;1000;0;12;0;557;0,557
1398;8;2500;0,40;1000;0;10;1;452;0,452
1399;8;5000;0,40;1000;0;19;1;354;0,354
1400;8;12500;0,40;1000;0;43;3;232;0,232
1401;8;25000;0,40;1000;0;96;4;188;0,188
1402;8;125000;0,40;1000;0;93;9;84;0,084
1403;8;20;0,50;1000;0;2;0;977;0,977
1404;8;40;0,50;1000;0;2;0;953;0,953
1405;8;60;0,50;1000;0;3;0;939;0,939
1406;8;80;0,50;1000;0;3;0;876;0,876
1407;8;100;0,50;1000;0;4;0;883;0,883
1408;8;200;0,50;1000;0;5;0;827;0,827
1409;8;400;0,50;1000;0;8;0;728;0,728
1410;8;1000;0,50;1000;0;8;0;567;0,567
1411;8;2000;0,50;1000;0;21;1;489;0,489
1412;8;4000;0,50;1000;0;28;1;374;0,374
1413;8;10000;0,50;1000;0;24;2;264;0,264
1414;8;20000;0,50;1000;0;44;3;202;0,202
1415;8;100000;0,50;1000;0;123;9;81;0,081
1416;8;16;0,60;1000;0;2;0;978;0,978
1417;8;33;0,60;1000;0;2;0;956;0,956
1418;8;50;0,60;1000;0;3;0;927;0,927
1419;8;66;0,60;1000;0;2;0;928;0,928
1420;8;83;0,60;1000;0;3;0;897;0,897
1421;8;166;0,60;1000;0;3;0;840;0,840
1422;8;333;0,60;1000;0;5;0;773;0,773
1423;8;833;0,60;1000;0;12;0;632;0,632
1424;8;1666;0,60;1000;0;10;0;481;0,481
1425;8;3333;0,60;1000;0;17;1;412;0,412
1426;8;8333;0,60;1000;0;38;2;267;0,267
1427;8;16666;0,60;1000;0;51;3;196;0,196
1428;8;83333;0,60;1000;0;118;8;75;0,075
1429;8;14;0,70;1000;0;2;0;981;0,981
1430;8;28;0,70;1000;0;1;0;978;0,978
1431;8;42;0,70;1000;0;2;0;955;0,955
1432;8;57;0,70;1000;0;3;0;950;0,950
1433;8;71;0,70;1000;0;3;0;937;0,937
1434;8;142;0,70;1000;0;3;0;871;0,871
1435;8;285;0,70;1000;0;4;0;818;0,818
1436;8;714;0,70;1000;0;9;0;659;0,659
1437;8;1428;0,70;1000;0;12;0;544;0,544
