;EA;EA2;EA3;EA4;EA5;EA10
482;130732;6805;25937;152304;53984;52463
483;16375;130515;328956;65159;61755;149899
484;232262;44119;191861;102353;140937;9874
485;216574;18596;36731;296942;2746;39969
486;13239;19803;3184;16394;54631;23349
487;594873;65981;125377;197093;74099;33629
488;12757;154565;148507;87877;112823;213743
489;273636;37741;21819;272040;35642;568868
490;670125;375236;54016;27694;6815;66838
491;fail;266818;551554;234177;404144;42060
492;17175;144127;105100;18428;221944;206746
493;94029;51586;65849;45810;87945;5633
494;784146;156090;18787;25989;83940;17563
495;17402;352820;266128;251825;334554;288947
496;398200;70156;126524;241246;79755;102905
497;363670;47464;55850;2097;102299;67885
498;106684;56494;21665;74095;137379;59908
499;12022;111636;176852;105858;18513;315202
500;fail;284715;190731;23066;150836;812675
501;87873;128996;109557;20810;49758;36705
502;55965;163338;96790;526529;482341;651198
503;216440;66569;115478;53525;84285;3710
504;14311;91862;275703;14250;513218;117020
505;fail;16111;59372;877643;3780;109399
506;82496;45379;48795;37948;1453;277905
507;142056;4665;84578;63626;52273;95378
508;847331;163597;278574;28160;107928;fail
509;284504;184213;60015;13706;167924;16922
510;26403;109740;65251;337044;612207;370288
511;170425;21864;2207;232617;92796;48105
512;344172;194081;129505;591701;203876;5569
513;375361;338284;403209;175830;134045;670859
514;20319;175894;107600;63250;30567;111954
515;180504;27670;113830;23641;44979;4026
516;74429;144363;3343;144560;47980;68668
517;281463;56147;54728;112416;55478;191022
518;39341;125978;287054;46248;337643;235933
519;4685;22594;33333;22764;154888;65283
520;7501;140860;8204;36016;7020;550081
521;7354;266821;127234;106713;30186;12453
522;754787;97435;611509;253017;83384;12184
523;575674;1188;41833;20289;321742;48783
524;34513;127537;4848;562;9252;37891
525;13599;488824;178148;83555;90699;21141
526;427436;345282;38219;33816;113066;233316
527;60885;30202;38016;5362;89411;53819
528;80484;181065;50931;16143;165019;722115
529;526869;298921;99709;53015;111939;194480
530;283594;23527;30726;124417;157869;94005
531;116181;56696;19108;21171;243776;25094
532;50329;229707;103569;228617;107852;54492
533;94702;48950;121940;116307;250326;315270
534;58745;56837;28015;57232;271825;5634
535;28609;78345;50569;20585;386405;652888
536;646431;233140;66497;79483;29528;94082
537;176697;69318;3714;9662;22161;193851
538;16976;114987;31954;38758;269353;51840
539;72265;104797;99762;111974;34712;9290
540;398204;46028;134820;608988;44811;100058
541;322871;65283;95790;56784;142980;150398
542;10276;58909;61289;63958;32958;293313
543;37606;345855;22306;168087;214906;58047
544;25626;2621;75297;214826;42368;134923
545;18982;58611;2886;276183;80628;551234
546;184792;17491;48462;685875;302800;450661
547;493462;595257;57586;5324;6537;44340
548;319709;133112;137902;27812;372255;259750
549;fail;325052;654131;125097;159012;259131
550;402495;181262;93685;363014;216675;12839
551;73878;368169;63058;210332;163401;709488
552;266711;87750;9900;119807;10945;138024
553;27013;6089;77267;10921;306856;372292
554;14231;97387;25863;13334;153741;91660
555;395557;6512;73203;65953;322967;376150
556;896428;134431;293434;172958;123668;fail
557;41931;74968;24728;23170;141830;233852
558;768935;178904;11048;856213;164660;767006
559;130386;304253;107666;82057;17150;26280
560;221434;213090;297099;539590;232948;81715
561;62682;38510;58321;199667;251325;79670
562;118175;210852;149939;48412;18676;266103
563;183479;194891;111388;253056;148240;188682
564;283213;388192;209573;378271;12658;749069
565;367042;23670;438441;465810;6919;56766
566;302020;179329;133046;26401;70660;366987
567;219783;45759;12004;112232;16143;568506
568;348124;10345;15201;154334;135181;128092
569;450728;72493;94027;3935;49703;43458
570;93642;84664;80631;1011;181817;18963
571;51668;3801;1083;187123;171634;148872
572;136043;75060;128739;30414;174282;61321
573;683115;44423;27571;62585;131794;502606
574;258626;23001;126727;50544;195950;27312
575;530508;24001;59550;38750;27645;137099
576;76246;102483;2134;2376;93905;206086
577;167182;16442;498;134095;28184;107584
578;180363;25980;51303;57488;217684;150685
579;181480;182796;592508;181233;48849;120892
580;2300;93248;165922;180565;19235;362511
581;331548;35723;85943;61087;64773;107401
582;158765;32511;309236;28072;8467;95651
583;121695;26725;199808;77899;43378;279576
584;51478;180581;50707;16160;11968;29833
585;fail;220316;32141;637851;331822;281246
586;fail;2138;121383;594503;13489;445572
587;37593;89619;231467;110234;176784;239062
588;29628;78383;62905;44614;79103;121051
589;147352;96044;61718;103987;65764;900250
590;114869;14635;18317;7165;49010;186432
591;121932;363338;215610;7949;309470;317207
592;420182;77049;270485;20704;101541;48185
593;94858;58646;7929;48484;71924;47289
594;93772;70362;6471;369042;30350;270783
595;22184;131716;61317;12430;9959;249900
596;fail;2231;13845;158242;52510;314735
597;91528;57121;71987;50891;70605;187396
598;69828;206221;53040;38582;3076;86406
599;561267;196020;8179;218434;163644;182023
600;255262;20712;25381;67050;25621;78734
601;392758;37268;54676;69431;138437;54124
602;108109;88016;34441;40345;78603;135671
603;260616;72981;551;301204;123105;3252
604;281716;133356;116430;188180;147451;1042
605;fail;235633;281113;194591;388204;551932
606;270373;251151;378386;304642;222460;72380
607;425164;66378;119768;10683;152165;16519
608;52773;11811;110498;20919;16611;282516
609;180901;862502;856;43906;33132;140401
610;232007;19517;51306;354082;54121;504953
611;163896;260320;125009;44688;518245;201008
612;20694;101766;82449;61613;35255;16436
613;596400;132218;2050;159528;17664;162005
614;505095;73700;46272;88617;82083;99911
615;442350;30141;34554;72695;197922;288170
616;77642;50083;36902;26388;28438;337321
617;103129;25740;23372;88895;715;58153
618;455648;71447;31580;9371;100539;298461
619;393106;235775;3209;164470;188310;216659
620;462046;207097;57723;14446;2150;205553
621;9343;57078;80797;63756;100130;213855
622;61463;180802;212449;6403;39341;189248
623;163990;188224;33792;101262;23646;96397
624;703248;355261;339271;501288;32804;278893
625;110857;54945;148643;52865;40724;71617
626;34459;32519;521915;429057;5517;115538
627;337943;96160;113629;98883;11795;699618
628;726038;361964;68375;13477;347131;95608
629;215771;40388;328811;24083;41379;252753
630;229227;19773;196553;704567;56407;84718
631;719227;28149;48539;27755;28082;70541
632;551728;73449;476918;30541;122118;134342
633;700117;68540;143344;36721;124876;35068
634;100022;94928;14763;77117;74217;27667
635;311781;76370;85942;17793;19908;180466
636;16434;62678;124961;88300;360275;39526
637;501613;197752;110019;158065;126107;280900
638;301890;581741;7225;58867;52049;1446
639;248251;159174;50570;110883;156012;58367
640;161395;216629;55442;102898;63220;159463
641;fail;162870;17304;117556;564892;51712
642;293498;15423;890198;12432;125690;377039
643;113067;183337;254044;87487;78060;fail
644;157725;265654;155847;300594;22499;51756
645;500061;127169;71141;367804;63705;204600
646;34441;162028;39413;52536;235450;312086
647;12663;304540;9736;69352;62344;47230
648;117145;250859;32449;72611;510453;702341
649;275726;249419;133311;15897;7121;398599
650;407858;16837;116102;14191;339770;277790
651;19930;97542;156426;342852;88629;27304
652;16095;485463;24787;94101;104139;547131
653;60637;49312;40374;107680;15578;58924
654;337548;143917;98993;33953;54743;357953
655;123426;31460;63351;30510;191062;464071
656;240954;268225;168327;135019;54691;63201
657;457682;145843;130562;217058;66751;120010
658;119734;118693;62032;7237;14662;102634
659;fail;164974;186915;299850;67256;526845
660;418431;888740;112468;120015;485287;283168
661;90202;166983;143300;221409;42564;193258
662;88632;191917;186426;12875;25931;48859
663;28178;146;197925;399441;302009;252122
664;86738;21334;74081;301139;141153;6900
665;77846;13427;25510;383161;142070;32218
666;40392;202298;49948;154911;88529;2341
667;116488;23376;41841;72555;43715;43245
668;134247;471126;4675;56984;254181;397118
669;125713;333563;275223;112329;99184;411870
670;576801;78803;107874;470843;157573;361396
671;5529;451004;9813;117581;52133;174121
672;101460;60483;21187;35262;19613;91884
673;911476;93453;150657;2287;66802;63108
674;488359;282836;190703;38551;24107;26963
675;57336;166248;248353;292957;103261;94420
676;116448;131633;396046;8296;118222;495243
677;159808;51223;2108;69558;260630;51617
678;308799;18913;105742;10858;3114;260428
679;442180;158601;298046;315643;301374;114199
680;38270;36064;117435;60748;115495;107729
681;70500;24664;50463;39114;209829;41108
682;28028;8457;50104;141391;399272;40722
683;911029;37003;350476;131495;90492;713946
684;79265;290633;34795;91840;119108;30309
685;28093;525068;19646;55574;185213;646302
686;fail;83459;25845;165347;fail;521068
687;72449;38973;39056;224893;71687;327517
688;611377;712419;59845;105576;447180;595955
689;72941;172826;36986;18994;79147;60988
690;250052;204956;1061;48542;98953;11483
691;38030;77737;10402;38221;38131;230800
692;790;35475;20250;148498;64331;66653
693;154621;445149;101144;13694;63565;273582
694;327699;125191;6674;fail;147405;491383
