;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
470;fail;18702;9837;113477;13403;978;91834
471;fail;80081;95942;47916;128455;77738;102550
472;fail;23667;26566;38020;149082;45230;100388
473;fail;108543;58057;162917;132511;195829;25810
474;fail;23866;17574;102109;59088;63750;102254
475;fail;6740;5235;51321;46530;114201;7790
476;fail;61057;204459;79966;20782;88430;240044
477;fail;16143;60013;37670;168271;56311;8874
478;fail;81443;111831;277778;130086;319668;58144
479;fail;5248;28584;115794;189417;91086;106954
480;fail;247944;22936;76701;165091;83564;59904
481;fail;36848;39633;6676;48253;32919;9701
482;fail;18030;116551;114586;1186;164815;51117
483;fail;148015;133901;316541;95341;346234;219958
484;fail;8694;92658;465871;22360;2898;3583
485;fail;108067;31410;16235;34398;295836;305538
486;fail;76576;13622;104085;149436;81998;45747
487;fail;45825;84104;9247;75270;452044;4089
488;fail;63932;214274;54962;96441;199264;68273
489;fail;66792;200441;52349;119337;367281;190506
490;fail;9326;76540;53753;75889;46176;394663
491;fail;47814;470375;57202;26408;218184;18627
492;fail;6438;6356;108978;113549;773969;353512
493;fail;6944;58018;67536;32174;123479;13987
494;fail;28715;380795;324229;113771;59768;216455
495;fail;57782;75578;189588;290709;102758;24863
496;fail;21378;135611;200578;92641;135309;79371
497;fail;45393;77724;130443;103217;45459;143676
498;fail;92829;317142;214453;93429;109712;153080
499;fail;68194;102516;20980;54865;53757;3875
500;fail;255490;7716;76961;88831;250435;15351
501;fail;29823;222484;21470;49204;38994;28608
502;fail;46324;130830;53763;18562;205039;102627
503;fail;19242;264786;100378;46459;192848;34900
504;fail;21902;47755;78094;15859;374714;141736
505;fail;2337;169561;107544;296776;32064;6771
506;fail;68848;257615;54247;3112;198515;176973
507;fail;16301;10978;16823;115905;6026;4295
508;fail;85998;38634;214235;58768;33246;20856
509;fail;8208;51514;89518;37808;48644;75280
510;fail;47138;191779;29469;20186;45296;21953
511;fail;6881;271788;143472;105270;265337;982
512;fail;26217;5028;22363;99819;26609;55454
513;fail;1206;92442;21991;261119;177238;135433
514;fail;75691;66522;20697;52009;312260;46550
515;fail;369506;5401;10498;220180;107135;56188
516;fail;11417;87410;166457;34900;166985;56215
517;fail;115735;547905;114146;422414;46732;42703
518;fail;63841;fail;45277;69365;196519;290169
519;fail;57560;54887;153659;253374;51971;22132
520;fail;112872;52049;108574;27468;23289;64005
521;fail;134347;29456;58670;7808;91173;15008
522;fail;43787;2486;138511;274867;101863;1485
523;fail;47054;15362;21971;103665;117814;19836
524;fail;50289;33382;316076;26104;53858;105640
525;fail;80538;102247;155919;271;2088;41673
526;fail;65053;66309;132878;35206;17664;60247
527;fail;53893;24494;30544;26736;8024;187634
528;fail;69268;60999;95640;105293;10355;23916
529;fail;17854;167312;19132;84898;9738;246814
530;fail;33033;13005;5511;25884;22641;177345
531;fail;11213;92945;86912;123586;17940;203386
532;fail;139244;43931;18861;59014;41954;20625
533;fail;9514;57971;101174;175227;81762;10782
534;fail;52383;62024;596091;39870;5540;261227
535;fail;26989;121081;132114;135729;86857;247561
536;fail;31228;142660;1098;75561;200299;202947
537;fail;19068;27008;307501;52994;247261;55121
538;fail;46021;560860;395980;26694;194052;109393
539;fail;27651;469193;182826;6077;59825;130136
540;fail;20255;14024;287235;29233;362262;86237
541;fail;17117;75578;16809;3404;192941;141570
542;fail;288;96955;416222;3453;58974;47619
543;fail;93762;15182;24780;130346;183829;7770
544;fail;154888;37775;706265;256563;172531;3915
545;fail;50439;20258;146364;59616;109649;111702
546;fail;95049;88373;478248;59719;263545;156117
547;fail;31871;46600;144388;80446;156283;62355
548;fail;8413;146527;73664;149740;15161;45498
549;fail;2454;270413;43305;32657;152133;130676
550;fail;235699;46597;113736;73479;57357;fail
551;fail;3089;65883;57787;94808;68851;149207
552;fail;48452;30536;136742;54655;73508;28846
553;fail;40736;9298;13316;75662;3212;299679
554;fail;922;47230;112455;77053;33888;66422
555;fail;1857;3163;5269;31570;57050;2107
556;fail;218951;67655;87456;586663;345423;149613
557;fail;2389;29859;260449;141535;29739;68079
558;fail;35953;115388;372247;114312;139018;157470
559;fail;25646;80773;305197;334480;283829;283774
560;fail;16972;75171;97512;38671;53754;124287
561;fail;23239;170107;308;72770;33508;12778
562;fail;200739;81175;44246;41774;128318;133479
563;fail;136570;250943;381060;59400;74549;287228
564;fail;85946;17170;2983;4105;77694;16195
565;fail;14488;50725;52304;11040;88802;78868
566;fail;69585;183654;73243;192144;135788;10440
567;fail;13700;68732;320473;74474;59414;56849
568;fail;152504;5515;63398;57064;22096;5814
569;fail;64157;169097;151255;282970;104636;17692
570;fail;14511;534456;16450;313235;4582;41346
571;fail;5026;406673;240616;129214;411748;25504
572;fail;204;69803;32595;4160;17933;7973
573;fail;6842;119137;160199;20573;235634;146314
574;fail;27421;507077;16154;79326;104009;1547
575;fail;12415;174413;12939;4095;139364;293298
576;fail;18129;211068;24769;158700;95631;52598
