;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
147;265317;64211;171847;153014;326499;168419;34431;150934;67254
148;182454;29293;56905;522439;38190;652575;144790;715394;57380
149;385134;124314;115533;53745;175788;14941;80539;1666;185332
150;220807;80940;90976;133906;75280;123725;176395;84323;113272
151;321501;107753;63255;88263;29975;69356;39605;100979;90670
152;21229;121156;31116;60477;64003;38044;92501;59441;7449
153;170283;19122;125387;186305;73235;103838;99606;122429;238186
154;550267;1946;61817;13370;78615;29120;17127;93904;15671
155;68383;60489;45170;66688;55815;63272;4078;68723;239857
156;13199;14535;483583;21189;62876;101276;97258;132720;114904
157;45699;343608;139095;462366;107120;71840;58047;4851;57414
158;205946;189841;608782;207952;87896;165619;83567;466215;6450
159;8459;368264;281573;6636;207720;442458;181558;99065;553408
160;603914;107198;111553;100974;9172;175315;68081;53713;149831
161;160175;9392;110102;6520;30131;5491;146516;119171;11607
162;7030;241637;69713;500591;253806;596105;535157;174043;326544
163;326788;197521;124388;181331;17049;10098;462492;21180;119436
164;119634;618597;45317;47129;74151;1693;59295;23961;140795
165;164232;192457;255103;445226;96361;316640;26160;184260;279575
166;87571;7135;346074;31916;255130;10477;128647;67976;98836
167;76735;27174;255649;15256;15050;14480;89203;43100;44064
168;17826;116036;16853;89603;206346;94896;175831;56409;31210
169;204617;88159;38567;269893;78062;25377;433901;27696;864783
170;56298;101860;128295;63527;85915;28975;31589;133503;199393
171;448006;102500;68148;288720;179646;252667;9142;489471;fail
172;7195;19875;365268;59118;49273;81324;57573;455811;129994
173;196983;387540;187737;778871;fail;37104;237479;146049;152991
174;238337;90075;3140;51432;115240;34103;86088;15319;44038
175;169605;82089;34553;124987;65720;52049;42285;22751;104827
176;395818;320903;341591;45252;57003;324155;25731;165575;39579
177;34389;141788;140781;196658;29194;67123;29890;164184;289217
178;406393;71274;95166;91764;250856;556820;6786;28588;222328
179;163771;88729;11023;131830;276177;231811;128097;235227;72875
180;201705;43649;46106;14812;22380;1526;65649;199395;101535
181;42995;56776;51733;104732;103850;56808;152969;77665;135110
182;7502;13630;221549;97689;192891;71925;88772;281340;16080
183;23435;89379;45520;596652;110609;513835;35627;201063;59681
184;192811;90652;135244;49745;13247;20311;199105;159380;236017
185;741441;10173;125574;42396;13456;30086;35926;99634;36655
186;267314;70532;88054;286593;240131;246686;56814;23667;71529
187;129648;61598;9207;291526;32138;31135;94868;251246;305765
188;19333;101444;40267;7505;138666;53831;141192;39090;2952
189;145178;45246;351187;123959;359695;209757;400892;145253;566067
190;94278;118105;77848;92818;450359;77255;216202;6431;28245
191;334768;8835;142998;269;162615;273485;202464;89111;4804
192;247987;534640;51458;144837;121841;32806;125018;455632;46005
193;286881;164211;157632;56792;645504;57378;26190;255623;274679
194;167075;97171;300586;71892;58157;82743;899234;33143;38888
195;333504;3787;29178;332201;25450;199062;230383;47778;16797
196;148133;361415;214218;72585;33478;229719;58185;82443;60509
197;465182;38342;50818;6491;15068;95087;56761;62640;249112
198;635506;159222;201469;23702;535191;22411;149092;441606;337241
199;62406;394087;2484;20934;82748;204913;142528;101392;657825
200;51253;174105;112777;36923;71206;3358;345049;33580;25715
201;80664;153281;515814;4572;183100;242486;477752;27628;14425
202;75884;153148;48986;239216;25153;100376;27378;21578;88477
203;559204;87698;176126;26337;13077;118329;74686;fail;207198
204;63769;138298;89167;23212;79617;5156;41233;152416;6304
205;77494;79971;25068;418666;55218;20602;70187;136211;13822
206;38220;56344;8346;30670;5984;48874;98292;258574;199814
207;119731;66457;66750;58294;108424;21824;45544;60552;56806
208;196287;108097;107849;17813;176462;146588;fail;450115;239938
209;117459;444;71812;62769;128341;163901;91845;63780;53442
210;401356;12342;89513;18452;174551;226820;75938;14066;36805
