;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
159;177552;175628;6962;66932;68353;5373;18702;28151;58837
160;242979;184507;58060;67;17789;4558;139397;30786;96488
161;658072;286395;342279;908;12547;15345;6733;9057;86569
162;124525;658304;654487;294342;222902;197736;255195;167532;147002
163;12671;244836;89866;37010;64878;142738;18558;10921;21264
164;61555;21029;241375;2067;156260;21211;177132;86252;30250
165;65183;189449;75543;20528;134407;17760;88526;10897;3248
166;146959;240614;35277;86337;42666;41380;322605;183103;111390
167;37260;9798;998;138355;12003;13799;73907;102121;42712
168;19079;102667;112827;9469;34424;7851;43695;227982;206179
169;357176;374895;190146;109123;1406;21008;895;72123;43935
170;51975;105645;532011;38318;72558;108322;9461;71262;8468
171;230358;96659;91400;84759;14420;261144;231871;63556;51443
172;152381;77265;1478;264267;1490905;240543;52201;234915;46859
173;35431;499180;109628;22951;220270;18485;221784;28815;236865
174;146693;17476;294547;20331;376229;104199;181470;194439;67322
175;184521;2586;22574;71936;12901;30446;920458;14402;38279
176;3004;172303;7721;111239;842;32574;353619;32054;29520
177;135746;75404;101029;257460;143999;95240;44325;103822;181914
178;1874;27191;42103;56319;8021;24582;47247;51717;19905
179;245564;3039;77055;296902;6005;146371;40887;74509;4165
180;24634;18327;26095;1499;48306;42736;11327;235178;81435
181;94103;124522;38757;289253;95629;39047;268647;267914;164741
182;97347;216510;141707;319797;161625;77978;157293;140644;2308
183;60660;9353;28697;59358;31924;58513;44561;35697;68454
184;26997;106135;29009;46810;26344;938;43248;55844;16119
185;130533;25623;60182;10206;91786;78630;4002;12698;110790
186;51888;12689;77329;3808;53046;161486;3494;213777;38638
187;449254;79492;510974;7509;34768;15682;194386;96098;27350
188;75871;78560;317911;2344;428724;98661;512653;198827;51420
189;20791;69135;34424;31192;439231;84406;67388;101814;841188
190;27924;111942;35750;31996;22139;12938;20378;47378;28398
191;235638;574350;106482;42258;82746;43526;84225;20582;23142
192;795358;89677;11731;58632;508551;283515;120822;401673;377861
193;389239;27471;29438;77140;46108;108752;46272;5157;530
194;3157;61439;151405;48990;74903;38285;27929;4933;32247
195;66615;11306;29768;5790;5529;17121;49215;93604;33201
196;198875;43704;28426;51244;5812;8920;87957;10300;36391
197;20111;30614;67864;26404;35023;1155;4618;17783;129168
