;RLS-N2;EA3;pmut2.0
451;125507;219859;586108
452;158273;11044;40101
453;78439;21151;22733
454;33001;10755;3508
455;31799;99393;24356
456;8348;24344;45020
457;80325;286593;137274
458;57371;433347;443682
459;4314;284074;92226
460;22809;215233;126118
461;74498;82100;104855
462;22750;303953;312122
463;66704;373299;974
464;93365;44612;109291
465;47569;230470;241837
466;48129;28626;28760
467;66497;30484;30263
468;24617;72435;380647
469;4184;290210;397878
470;36053;146723;44144
471;23477;214984;413374
472;74744;129166;9161
473;33819;7105;64186
474;49216;823752;35389
475;55627;715149;69777
476;53605;8472;3808
477;95057;14576;67586
478;744;203827;60791
479;34480;138265;32747
480;143554;185966;72028
481;83435;31843;42502
482;34035;25111;60462
483;170812;391926;142835
484;95304;48131;30565
485;131242;47414;53695
486;10007;475764;143513
487;2085;72277;70593
488;46750;60092;25505
489;126948;184700;23990
490;97273;519014;21582
491;42398;254654;140178
492;23493;68115;5120
493;143341;141295;82236
494;37282;170185;53530
495;118064;17847;43068
496;65574;100016;121361
497;139719;76844;198669
498;4362;36307;202042
499;7605;56028;196554
500;4661;25765;80620
501;27052;171135;111096
502;116226;4821;132152
503;68825;174924;11477
504;108988;649691;166454
505;2431;170140;163140
506;55266;126403;131409
507;85175;83629;52358
508;76157;116861;363053
509;3935;244218;4352
510;137648;30742;37429
511;105414;163429;322739
512;67636;18817;87712
513;134351;162509;217079
514;251559;101605;573057
515;77581;116897;352034
516;85316;108570;180915
517;24236;99332;279188
518;97951;34130;67503
519;5746;228562;368044
520;6594;279195;249878
521;143176;725294;328469
522;24101;82564;4494
523;959;20150;33831
524;4170;68825;43755
525;30788;28640;357662
526;18586;66864;47000
527;19310;131917;122291
528;43474;65534;77390
529;5431;61057;357875
530;10676;24739;183164
531;9515;60767;36690
532;27466;165056;67580
533;8454;2456;109935
534;4027;16900;131271
535;12287;56990;14372
536;164455;180600;12266
537;28317;44193;67067
538;26195;1374;288469
539;135635;296659;182107
540;37301;37091;72222
541;242322;331353;379649
542;171215;208269;208920
543;60793;192362;260939
544;84898;253211;597283
545;4570;81565;23627
546;134084;270315;229437
547;19214;5020;5043
548;12542;333893;90157
549;24055;365606;216754
550;15682;22232;37837
551;68877;27883;29472
552;16565;60270;19836
553;104781;60051;29886
554;33192;62903;303216
555;20508;64943;232648
556;3801;58565;42389
557;96425;79586;74697
558;129624;46782;140786
559;80390;5714;134006
560;18121;155847;14686
561;168413;113687;134936
562;79445;285936;179292
563;11538;114010;118532
564;211319;64969;161098
565;19908;12927;30331
566;28913;111662;213489
567;122808;479468;153168
568;155612;35289;40660
569;40344;51270;51701
570;21502;247829;38138
571;2641;143858;37015
572;4301;109820;83101
573;50995;151868;48394
574;39103;354453;29099
575;6506;484;111937
576;6973;18805;21243
577;21015;150421;81441
578;29092;736811;4473
579;51889;20101;54485
580;6146;135030;42516
581;38665;33124;6731
582;17313;66532;89072
583;1396;197901;272560
584;20103;130254;29517
585;11927;43071;17703
586;17781;41370;341650
587;29010;100363;245081
588;31298;89142;45090
589;191585;97267;95013
590;1008;13194;126273
591;10309;21841;169382
592;20722;229189;102387
593;480;124869;140421
594;30222;111054;516181
595;38181;1897;17778
596;5876;122306;52446
597;82422;91886;94612
598;79752;1225;108638
599;45474;30680;87879
600;89184;190224;420688
601;50639;270626;31300
602;3299;225784;70796
603;114011;29504;262082
604;44673;230168;353608
605;35517;46250;56313
606;1440;49328;163719
607;6618;149571;6435
608;10456;233584;19053
609;11385;107344;265687
610;91858;16742;241379
611;19283;232284;74986
612;28847;19452;212473
613;65523;153763;188814
614;36242;39297;7025
615;103333;87607;126621
616;31220;11811;224019
617;12649;59466;68991
618;34122;66622;2601
619;49414;157233;266634
620;105608;227787;298338
621;123934;50925;114606
622;52235;12156;194179
623;27229;184523;235882
624;31110;367097;212051
625;63355;67877;25681
626;105940;91025;25478
627;1146;21479;228528
628;82792;17280;313568
629;37610;514;36350
630;3321;2841;128385
631;18875;126745;48862
632;30356;16967;256476
633;11199;119800;240753
634;61309;33666;86301
635;10074;6425;57779
636;40168;97035;231431
637;26594;2999;153103
638;39432;151196;9037
639;85089;142581;30295
640;1225;57399;1069
641;12817;88270;9133
642;36245;132904;55784
643;24977;11366;544867
644;4141;69166;2169
645;3058;115218;251135
646;6780;69408;590816
647;11629;88172;47617
648;795952;5398;89888
649;52862;219561;170482
650;38888;35090;195717
651;192779;215954;218960
652;134265;225545;39469
653;1512;48477;147439
654;313;117133;104747
655;422;4534;23130
656;842;118633;139268
657;47464;85466;185623
658;106963;94273;229168
659;116249;106697;228497
660;129349;103205;621473
661;15081;250183;190410
662;226541;200000;37795
663;1408;113024;118271
664;205503;167277;159009
665;13403;239433;238423
666;47741;202662;81074
667;104790;256855;66083
668;44011;151667;60163
669;20414;166846;28237
670;1721;180192;324599
671;48672;490500;539890
672;75748;31800;246208
673;11316;663150;147423
674;47802;16368;497002
675;32449;46888;113721
676;52541;350163;54469
677;91315;19622;31553
678;41272;48397;38689
679;88433;33504;84973
680;213406;264942;305465
681;42585;50716;54229
682;3138;271968;134578
683;3076;428312;158104
684;60868;30783;91675
685;80549;53577;7551
686;14192;142032;90805
687;37993;186687;21305
688;21062;8357;5316
689;165956;85712;295803
690;632;105075;1139
691;59287;122835;105216
692;27533;100728;221974
693;53264;33454;99338
694;6158;396696;90128
695;13028;142057;114281
696;99817;22727;84799
697;11091;68741;308010
698;35890;126616;669345
699;15773;63964;70853
700;55158;91940;12348
701;23366;63929;129861
702;108238;55207;293194
703;65978;774864;245666
704;60131;113385;196214
705;141787;47937;9213
706;51656;132063;129487
707;240494;23757;76271
708;38947;97924;87026
709;55408;283357;76889
710;25943;98318;454519
711;17306;142004;27132
712;29355;78250;594985
713;21530;256095;259518
714;68468;48370;216713
715;112747;247931;78764
716;126275;95972;75042
717;53849;84043;94302
718;86268;64852;fail
719;1482;295474;180065
720;80304;174700;52891
721;134307;57245;64804
722;22244;28875;22716
723;50549;2634;218864
724;20692;568182;290365
725;37208;74193;147163
726;28519;49592;150298
727;116637;1002;309587
728;149379;131084;307521
729;146782;183958;166163
730;1304;281899;187427
731;137209;118053;340428
732;93858;42326;36456
733;140555;42824;21828
734;76558;244110;63563
735;45230;14747;90919
736;42449;270755;68937
737;55368;85596;79884
738;31076;215696;422567
739;9022;52657;23802
740;71689;46593;79690
741;128273;20703;105340
742;18994;8329;21182
743;26924;50046;86483
744;14851;22031;201643
745;17833;9815;44341
746;24681;128315;82224
747;149955;10859;50134
748;7090;89209;114909
749;44472;96365;95258
750;23718;156796;143312
751;63221;43500;17301
752;31803;24758;27591
753;8930;193415;125341
754;12206;40277;54677
755;63591;42577;62683
756;42323;29020;47604
757;229973;3821;160207
758;34946;75687;70013
759;282984;62671;29114
760;41351;5066;154796
761;64536;128599;138025
762;108610;21259;127827
763;217273;17647;322392
764;954;84729;178572
765;39584;111904;315191
766;52130;88528;fail
767;73899;44996;58746
768;14783;24243;7118
769;139504;36981;389837
