142;fail;521252;557502;86414;276513;27536;380077
143;fail;184963;754;128385;344885;60706;42528
144;24628;43620;681008;39677;578185;104565;50020
145;7574;393;43271;43328;312156;4473;13563
146;fail;54334;198213;31690;5404;18008;102246
147;3656;50845;909466;1448;13503;23890;46877
148;fail;80162;291937;81217;16815;3305;4928
149;fail;fail;27820;18886;31342;516143;627573
150;2703;fail;75584;46909;8432;51589;77851
151;fail;196612;23487;88602;101360;33118;444697
152;fail;178728;371616;41834;97440;33633;26509
153;fail;112360;29418;62755;43313;154509;38030
154;fail;483818;100018;36917;63083;55940;192817
155;fail;479177;431033;30179;250923;47548;64698
156;fail;471673;403341;78176;466;2918;258101
157;fail;150084;582137;171285;132178;12769;297604
158;fail;633930;362051;844116;128560;99992;159733
159;fail;369011;270047;6033;54180;93682;267515
160;fail;350063;136969;150670;4785;186681;33539
161;fail;5483;29388;107498;20209;3304;259305
162;fail;44494;41924;238211;7614;137954;28819
163;fail;14320;282725;41302;36607;1654;40435
164;1173;334740;15360;42224;29998;207364;119151
165;fail;36334;76170;95398;68450;287906;348435
166;fail;350145;18902;336650;38417;10166;226610
167;6745;52991;3065;53734;95682;20277;150165
168;fail;22263;51944;353793;986;118415;177694
169;fail;37755;441715;19242;431668;7283;75756
170;fail;67004;46229;179488;142210;40004;310817
171;fail;283901;423284;144115;21120;178464;47717
172;fail;113212;364506;56005;12506;163143;42351
173;fail;821586;193903;103854;58834;44218;64983
174;fail;153063;1001;74525;13887;172706;273792
175;fail;52228;709890;24412;119657;97604;15297
176;fail;37113;41982;48975;698845;28799;369725
177;10110;29501;216131;45876;188165;132495;338117
178;fail;563078;65485;470163;112437;254389;438561
179;42016;109465;58752;13383;153766;73429;42248
180;fail;67245;118030;1480;205832;140754;256032
181;fail;26826;37303;1131;33970;330083;26689
182;fail;175619;186813;206145;28066;24107;64086
183;3908;15237;3773;21965;46856;153035;27851
184;fail;47376;12923;64867;130998;40838;40907
185;fail;387463;483642;55001;314288;113591;17044
186;fail;350871;72491;54071;157336;7080;242820
187;fail;153229;20310;21611;24330;283811;97299
188;2208;268556;264993;637451;79296;33866;278892
189;fail;13086;121091;38817;324141;9186;471177
190;fail;95770;14559;16580;72748;79092;9818
191;fail;295558;731426;194149;27079;30460;287810
192;fail;597285;fail;148787;47950;205356;265627
193;fail;91887;45391;63898;278911;197716;212047
194;fail;97098;290171;65868;134825;509448;138196
195;fail;58941;448930;632592;179837;103605;359213
196;fail;4945;67094;102899;101766;107514;15728
197;fail;391932;90403;40860;37806;2214;25286
198;fail;134803;39867;19891;9458;2689;65151
199;fail;7430;290079;143943;137305;115172;5053
200;fail;30495;96420;160568;352778;20991;308663
201;fail;416;105306;1447;126615;121377;156867
202;fail;13761;240116;59044;24735;132539;70719
203;fail;221305;82037;9956;27831;7432;fail
204;fail;771005;14925;617697;9337;175621;538912
205;8070;112129;20024;56175;41100;24802;206
206;fail;23857;290700;661651;460252;118450;270850
207;43952;351241;164023;219430;209571;524486;272745
208;fail;fail;29665;276562;8719;14154;65086
209;fail;22194;69899;55389;425398;9607;220993
210;fail;5941;108972;8694;40272;44955;157536
211;fail;120220;39408;86327;120677;34475;155692
212;fail;4372;29730;40431;98776;14456;16669
213;fail;fail;fail;699287;60755;417902;114446
214;fail;302160;99041;26608;240016;107165;34482
215;fail;626890;128327;8903;82986;269538;209061
216;fail;10072;4766;4280;24712;36905;485583
217;fail;826291;39256;38040;83285;147942;348257
218;fail;147513;24808;46305;17823;211784;222310
219;fail;12957;24955;29253;113197;45123;472573
220;28298;9794;61548;98441;26587;933;359293
221;20826;67268;68075;175638;6536;4840;753042
222;6483;287;230289;196930;103350;81511;492724
223;36639;678211;18363;5997;24711;75562;95681
224;fail;10864;17791;445194;58875;11530;59785
225;fail;fail;39402;66651;8782;83505;288654
226;fail;379250;12362;591888;6413;174486;100445
227;fail;42140;190554;257693;60539;165195;93259
228;fail;17311;31538;268328;281336;232871;52439
229;fail;162630;186035;570112;78648;2807;210411
230;fail;550018;861319;37563;352509;196466;470225
231;fail;333373;18865;634127;16224;129178;344286
232;fail;339851;120345;3757;41067;125474;60952
233;fail;9205;159425;149823;73617;41962;194880
234;11827;131979;150411;55154;104020;8351;2682
235;fail;684749;fail;39000;60938;109249;155057
236;fail;393207;422581;121980;216223;102956;112093
237;fail;119760;25132;500913;31502;12840;18230
238;fail;10505;109086;414551;49150;11946;50678
239;5252;19299;129387;56795;51868;51216;141026
240;fail;879046;639513;2969;7072;115754;10065
241;fail;98968;301793;81938;26956;23427;116982
242;17607;310764;78477;10411;66470;148247;247318
243;fail;127992;76761;203841;214475;22979;459665
244;fail;fail;9591;72181;298374;76038;25455
245;fail;252074;48652;7602;40089;29439;14816
246;988;459999;32609;5542;23306;60448;113304
247;fail;185521;130403;77588;98031;194690;244982
248;21983;729792;76767;122487;216913;11868;508385
249;fail;fail;75488;70829;71474;321439;669072
250;fail;161391;53741;47362;333886;273244;111149
251;fail;48491;236210;56585;145261;81263;43468
252;fail;786176;188684;37208;59836;301067;452720
253;fail;fail;20135;124999;51965;64237;2991
254;fail;397054;896023;603466;15979;287222;61264
255;fail;39263;16944;105685;104972;450731;211022
256;fail;164242;69558;25759;14254;17563;52463
