147;fail;178085;fail;20681;35688;331556
148;5391;147723;80654;342137;12532;6072
149;fail;252892;28511;376719;6741;72978
150;fail;345544;fail;69748;96681;26388
151;19981;43315;14863;256333;16665;16361
152;fail;212620;92494;174834;139014;8308
153;fail;164414;119197;172933;370891;209418
154;fail;36257;4233;2335;53494;381072
155;fail;36014;603539;323121;38188;30978
156;fail;523020;86486;21856;96037;26558
157;fail;263151;7335;55926;30388;230957
158;fail;50403;6391;11584;81396;77694
159;5976;98920;65912;173183;61354;69801
160;fail;575;16713;2116;43006;32220
161;fail;146921;15588;82217;171011;9868
162;fail;70056;34754;31640;226081;15229
163;fail;156845;772262;58747;125455;200598
164;1672;46937;49580;228526;16382;119867
165;13929;70033;125209;35123;43120;161432
166;8493;5074;46113;362313;30684;42584
167;35484;71003;13231;152339;87410;405737
168;fail;31855;12268;199782;196496;23302
169;28524;767395;37598;66957;183090;267765
170;fail;229973;249636;134129;38108;8264
171;fail;38373;229722;47776;210212;418670
172;fail;473983;395979;16217;fail;90224
173;1020;132899;46113;123043;157655;44463
174;655;21909;223383;127409;283577;50214
175;fail;304571;61009;130754;83103;11965
176;fail;19231;4633;83740;20901;94774
177;5130;27644;136587;159488;105301;7221
178;fail;154722;106856;443240;335857;74761
179;fail;295925;66465;124159;81176;119339
180;fail;629992;404670;118901;9160;42965
181;8741;92511;225325;7082;47966;45822
182;fail;551852;561727;396773;49876;131129
183;fail;115410;578566;80284;202640;12562
184;fail;2232;170754;13038;280933;49454
185;fail;22083;52612;103781;188430;157883
186;fail;166866;203723;74230;365511;324678
187;fail;25057;11291;34250;64690;80474
188;fail;fail;194039;282198;17539;346233
189;fail;2484;24232;96766;32390;361552
190;4961;472578;208865;189983;41767;246385
191;fail;63157;21554;511039;49819;129296
192;fail;200228;387593;20160;165138;63640
193;fail;34538;34149;1971;19700;41333
194;11447;19655;61476;79453;24433;13537
195;fail;7549;42997;21363;15645;7397
196;11622;14400;219708;28499;56707;133446
197;fail;659765;21475;56496;12379;116812
198;fail;147640;135219;136864;519487;40706
199;fail;762424;45814;121774;186125;101714
200;fail;458419;39321;453600;376679;18942
201;fail;318200;343161;279541;37303;110504
202;13719;11568;104746;994;63334;355003
203;fail;20194;43450;62462;588967;210985
204;11602;205993;31685;2497;29209;39563
205;fail;323260;48616;27390;65825;73733
206;11689;5700;4353;3453;72953;4190
207;fail;54752;56512;142135;88644;196300
208;fail;182852;7491;6142;222920;166736
209;6001;466416;320617;40387;15614;31631
210;fail;1683;20954;9353;223532;22681
211;10720;76402;22522;14496;337458;28794
212;50438;91827;135791;41691;21296;180504
213;4465;521;315043;499216;222307;249191
