;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
156;15502;2571;8756;2526;4285;3135;6702;10897;2651
157;3255;416;2677;9661;2742;3313;2120;1108;850
158;3215;5703;1990;1858;3019;921;804;1276;847
159;23476;7803;1244;6497;1953;2368;2009;1375;4820
160;403;3193;1928;2141;1427;1431;2748;1814;10171
161;11344;19375;1659;870;401;168;259;84;3101
162;401;6052;4577;11158;1053;2794;717;379;6223
163;810;3388;827;594;7148;1224;463;4356;439
164;2438;3006;1672;3079;2088;694;1628;454;1195
165;2621;10338;1816;4264;86;314;2662;1095;174
166;113;325;671;1386;2367;409;138;600;4966
167;2147;1372;2044;2238;789;359;266;514;1467
168;31431;2088;3021;2818;83;13918;930;6536;1581
169;1770;13124;2010;6073;195;4573;3365;5097;3221
170;4710;2485;1449;2241;1737;1465;422;729;1625
171;5426;3194;4108;77;2281;7491;679;150;1035
172;2948;2213;2670;80;1480;2684;134;963;1517
173;5214;3513;141;9322;3173;715;811;849;595
174;13950;9050;12710;189;389;1181;5500;1016;549
175;51;339;1457;1278;4270;1152;2469;1509;395
176;18516;460;741;254;1523;1633;4368;231;203
177;16764;14711;3644;275;573;1869;1292;2059;2492
178;24552;1084;3015;6353;681;1312;1541;11296;286
179;16651;2850;482;4015;1517;2029;2509;2401;558
180;10474;14409;9198;2792;336;4502;1031;7842;2063
181;4846;2025;3147;2196;213;2903;275;277;2391
182;14517;21;5566;595;130;687;2123;281;2340
183;2644;2654;2205;1298;7915;1504;494;3868;5935
184;4598;1169;1705;3579;2777;3564;103;843;145
185;3416;1469;782;56;158;1030;851;2228;213
186;3200;2043;2350;357;139;1156;363;653;2147
187;402;3753;340;1215;533;97;662;1388;1966
188;3629;5324;3788;5477;1105;909;4151;5043;1732
189;13102;630;1104;4573;1052;2951;2357;1544;101
190;510;4795;5111;1403;1627;978;7897;1346;7192
191;1892;3177;1749;1325;269;327;1664;4415;1771
192;2099;8153;1878;4730;714;228;2258;5171;1545
193;5283;8966;450;1041;2633;540;974;578;2479
194;1857;14817;2199;6659;1811;6126;3339;2959;978
195;4045;278;4904;324;111;565;979;2972;1119
196;4259;860;6956;992;972;3275;4871;421;2618
197;10251;279;843;1092;8058;9543;773;348;383
198;7175;1495;386;3931;323;126;1183;1277;3117
199;750;4907;3159;2594;605;5715;3936;5373;988
200;9988;2422;6956;559;1392;1912;339;6729;2995
201;9172;4742;1318;7389;227;8280;1527;1256;542
202;5012;1414;20181;399;2151;1349;160;2482;2339
203;1414;6680;1073;8680;2462;2263;777;676;4143
204;3590;3846;1237;204;3217;814;5647;6299;3421
205;10890;4632;4437;3925;4756;518;3136;6170;579
206;1500;159;5918;2620;8714;979;3206;6291;2819
207;532;2573;887;489;143;118;1602;1581;281
208;2454;2521;274;1418;482;1164;833;2152;492
209;1099;5820;3576;7958;5742;2539;4246;6323;2370
210;2452;2114;1208;4771;3224;684;647;1051;757
211;4190;8102;2091;338;234;2623;2215;2734;1426
212;1589;5014;3983;5785;1750;2366;384;308;3153
213;3721;4923;929;549;179;501;3701;516;676
214;5988;3327;2740;2116;2893;2246;165;4310;2514
215;7172;6857;9670;4950;2728;1370;1849;547;3607
216;6013;5374;10362;2580;4686;2089;6079;2030;9462
217;1849;5553;581;2521;386;880;104;877;4705
218;4791;1990;1519;5980;777;2302;161;1217;844
219;32658;4225;4284;1670;1224;1998;11874;804;198
220;3596;1621;397;327;826;6689;1014;915;326
221;2842;5425;5598;1007;6326;9056;751;1357;1575
222;3275;8432;3416;2834;1057;507;274;481;248
223;1437;932;4642;63;662;266;300;1674;1066
224;3284;7952;1593;853;4007;5562;1023;7242;1082
225;1370;3580;1217;7016;3996;1524;500;1809;5614
226;2611;436;1237;2359;1763;569;150;6773;6162
227;2379;17432;346;2641;945;9862;4878;1469;1094
228;4062;978;932;2235;774;114;2393;201;755
229;1392;4327;2128;1885;979;271;443;2682;455
230;10028;550;200;1518;2378;3166;1750;2521;2160
231;1517;2459;1732;1689;2084;3229;535;1205;1828
232;3860;342;446;895;34;2550;1877;2761;1159
233;6102;17156;3300;2106;12585;1395;1769;7546;1524
234;1493;7603;5442;1205;2565;7241;3188;4080;4337
235;3598;2852;1119;2568;244;3065;1965;306;916
236;1346;799;3105;974;2534;254;1500;2975;795
237;10092;13907;448;4451;7902;1237;2241;1076;4851
238;3890;516;3919;1246;588;6062;1132;1610;643
239;6792;3783;1068;8187;675;628;4234;6453;2794
240;4115;2483;274;46;7539;1115;830;124;584
241;28167;6747;343;1657;721;1202;1039;614;1087
242;5104;556;3539;6688;6855;3518;5223;1706;4991
243;2587;3913;1801;978;2509;6114;2790;2072;1364
244;5276;1189;5354;4277;3605;192;1357;4505;192
245;7290;1839;1726;1757;693;3476;3988;1624;882
246;18140;1178;14770;4372;860;25504;581;689;7647
247;4131;2732;879;1315;7754;1059;2527;2977;3010
248;609;3117;131;994;1952;1039;1879;2419;324
249;573;9300;3736;692;413;288;1767;3288;1873
250;108;2827;396;2877;2019;1290;1005;2385;1843
251;5876;14842;1293;1527;439;1820;241;892;6251
252;3089;123;839;169;1000;2553;743;230;606
253;1953;5970;2054;4855;6996;5182;5685;2259;5182
254;9974;1811;1257;1654;3828;2497;231;4678;1924
255;9865;6794;2575;884;755;94;4399;118;281
256;1101;785;5269;4404;5098;9023;3630;512;4951
257;1415;866;1237;1332;3218;570;6572;3391;442
258;5043;1857;3153;536;406;1089;1555;318;1753
259;5205;3179;289;2642;1026;794;1316;3205;6214
260;13787;4779;6018;5895;240;229;478;1221;317
261;1197;909;1295;1404;3450;1014;559;11782;3836
262;18780;5414;75;2411;2091;1050;3111;1183;628
263;791;305;1127;189;175;472;236;1815;1112
264;1224;5919;465;2355;3502;1619;2250;880;1466
265;6636;1360;1306;4486;399;723;1326;2645;938
266;4010;4309;2263;1558;3164;232;1150;45;395
267;6320;4718;9444;5456;3098;172;3418;154;9035
268;10863;2476;2836;1814;87;1915;1734;9713;1419
269;17550;2461;13239;33685;7451;2175;1383;1990;36385
270;2755;3227;11785;6021;3858;6754;1375;288;4652
271;542;6451;6648;2628;465;4725;13513;10229;2722
272;4452;9211;2153;956;46;1301;1581;4146;2444
273;3851;1521;1804;579;4195;837;8900;5017;1357
274;2855;10480;4118;562;2293;816;767;2668;4737
275;5821;3285;237;600;2502;17398;2768;455;3181
276;10783;85;2436;1701;2366;6123;16468;3360;1188
277;4226;6176;7736;7595;5243;1630;307;449;491
278;3421;2650;5158;5631;602;278;8831;1762;922
279;31062;2299;3346;2011;887;763;2253;1535;101
280;1728;2597;532;2658;596;434;362;70;651
281;422;2428;400;1522;234;279;5205;3709;1105
282;1422;3126;2490;1527;11082;2048;3085;941;1180
283;14581;710;1076;220;1645;435;1294;1015;322
284;1707;1394;65;1698;996;297;3043;160;3026
285;27655;1281;285;4109;1290;1075;4644;2922;9816
286;619;1965;555;697;1221;2275;3704;1472;471
287;14445;268;1045;9101;816;2643;636;3788;452
288;13848;9670;9405;2711;1669;38;2396;2710;270
289;70;4952;1919;280;418;1168;556;1758;3117
290;4867;3749;805;767;1674;5235;1000;4361;4843
291;11087;2142;120;82;1607;4470;330;1264;359
292;1762;4750;3765;3236;6298;427;5973;255;4686
293;5534;4424;1127;306;4621;3334;16450;5621;209
294;5934;2470;1452;4135;283;1685;3486;1839;1821
295;1987;3121;1134;603;2764;153;584;2293;270
296;1347;1893;4256;760;4592;311;2074;4188;6515
297;23895;129;1671;7383;5745;4815;1362;17825;3355
298;1221;3268;1306;822;40;581;2094;786;459
299;1893;6170;1009;173;678;878;613;721;2274
300;93;1685;7884;419;584;317;1231;813;1108
301;734;1738;3701;5839;806;770;582;346;53
302;5616;2016;22644;338;74;4015;464;1740;6247
303;783;3139;8428;1361;699;179;3466;3024;4300
304;18375;2210;8185;3109;824;758;2797;284;399
305;2318;3848;460;2546;1136;1386;969;312;883
306;1067;1816;51;4715;114;328;249;1364;2081
307;7902;3420;1078;2652;2503;1327;4837;1933;1150
308;3932;554;6584;569;2612;818;875;265;139
309;7937;2911;3607;6708;3461;10274;4885;138;780
310;334;2004;4410;651;4807;532;413;687;2315
311;8319;2130;5276;8739;5171;6273;1054;378;448
312;2313;4463;172;6465;1775;258;3191;2569;1928
313;1341;4317;382;151;5234;158;356;4025;819
314;3301;3018;1442;21289;2069;2721;2791;5235;3541
315;3250;6008;905;4050;8679;1654;3630;3627;11435
316;2131;1279;107;4112;1282;2155;4972;393;2194
317;5043;847;2127;246;5389;596;6538;5878;4676
318;3922;3904;3370;11007;727;1710;1893;601;293
319;1468;13634;2585;1934;1187;517;1457;2354;1437
320;3672;9411;559;4980;6342;3829;2148;1553;1585
321;1215;642;848;3042;6844;3825;1241;2234;12713
322;2120;1139;196;1163;112;55;717;816;1657
323;4683;2308;9007;5690;589;22463;161;1266;9600
324;556;2619;395;625;1382;272;242;601;575
325;39181;1950;3007;2031;3265;4788;7660;210;24334
326;5609;843;3438;50;4382;1348;596;293;897
327;5110;1907;1522;444;407;460;1901;1743;2000
328;3408;2914;917;490;2999;384;217;184;4063
329;4503;6933;5125;2294;823;1890;2108;1667;578
330;19125;1828;2103;978;1925;2673;969;1097;2998
331;1026;3821;1414;2852;4708;1224;433;1092;1804
332;1923;1242;2484;7066;2327;1499;759;1631;206
333;4228;928;5083;3925;1074;5099;589;665;5575
334;4332;4545;1489;1150;1775;3732;2286;374;2517
335;164;1729;6868;1240;2273;1243;432;873;2335
336;2965;1767;302;1290;12290;1468;4062;445;1899
337;1417;39;786;791;2586;1298;390;1028;714
338;6810;3408;1824;4519;1409;257;1672;788;721
339;1105;1097;1299;1081;680;736;353;1187;234
340;933;143;215;2593;904;1911;1499;371;915
341;1924;44;1676;186;702;1461;4086;681;354
342;9391;4012;901;8049;1065;969;372;1015;7750
343;627;1297;4532;553;495;153;241;51;350
344;2494;10634;314;2613;1071;278;600;1725;1010
345;2493;2988;5735;1032;620;404;166;740;2009
346;1590;1907;827;4018;2082;194;5094;998;2145
347;3783;1210;696;1062;3553;863;3229;1514;371
348;14729;1848;2379;3628;105;385;592;4436;1827
349;34494;3878;1313;5304;7786;1260;1868;769;4434
350;12260;2157;2700;423;870;4107;102;1622;160
351;4523;826;1718;140;542;49;464;1577;471
352;6252;5058;751;20712;7660;10843;6599;350;3250
353;5575;291;5738;5057;7127;1449;2191;419;2857
354;16521;268;2612;3636;1527;1775;11721;6582;1084
355;7670;1765;3933;6122;1380;3646;502;385;964
356;3987;15063;3811;336;1302;2058;2042;5856;5017
357;17481;307;3464;251;1118;494;601;575;585
358;1222;1629;9106;131;1833;997;1741;751;4479
359;5499;11083;2156;4687;2462;4370;576;661;7229
360;135;5490;485;13689;8090;2521;672;2538;4800
361;3090;629;1043;7855;2041;1200;3511;2543;331
362;7078;4669;1263;1192;4297;268;148;2392;2586
363;1477;1141;380;496;1123;993;1805;1714;1074
364;1679;1589;824;1997;586;136;11893;480;493
365;645;8226;3225;2829;5838;24087;273;4234;1605
366;5359;2006;5941;1070;300;1661;115;900;1283
367;680;7185;369;1320;1379;1647;1751;81;214
368;4859;7708;4418;2182;59;7140;4719;257;357
369;824;1727;2485;397;588;1565;482;987;785
370;66;3018;177;1637;808;223;3339;1128;2690
371;7120;7597;2787;2365;1293;43;2632;4603;4830
372;1263;580;3520;337;288;1058;967;1901;281
373;7898;2747;715;973;945;289;622;1386;1405
374;4711;1178;3801;1345;759;6611;570;5005;1803
375;2196;7500;1051;7180;2252;3417;269;2086;1946
376;2594;5326;1141;194;184;477;2289;2055;313
377;17735;6232;116;2505;1007;23660;1065;349;5446
378;6205;1355;370;4782;611;976;130;1160;140
379;528;5159;3969;3650;6947;2117;2869;1035;6527
380;9417;1013;6133;1190;4226;2168;4189;177;1161
381;5353;5121;926;2594;7762;697;3563;3126;286
382;4515;195;259;1890;251;1949;4197;440;26
383;1765;1495;1905;840;1787;2012;11182;162;316
384;563;131;310;1710;417;4266;1340;3987;1659
385;3954;7332;5454;5026;1840;2016;2344;1839;1058
386;2561;3930;937;1791;629;4201;696;3380;532
387;1773;147;1786;587;2310;1945;1335;113;580
388;10288;2304;706;473;1034;11209;6907;1006;3543
389;6134;3173;4283;3766;1165;665;239;1334;116
390;162;1171;4972;1380;3198;755;305;151;3652
391;30273;3275;8712;1286;5876;881;366;4272;1779
392;3977;930;1920;4765;5541;602;2586;3240;2673
393;129;11549;250;12172;206;766;1989;7666;390
394;414;4047;4562;6124;2430;640;4095;1082;3028
395;16344;2671;4261;688;4284;3582;1474;1082;6481
396;6665;913;7289;5993;240;1860;5946;3586;2494
397;12880;4149;2884;794;1723;3033;2121;324;1810
398;1428;3724;6412;577;1174;6806;3410;2499;1177
399;3861;1593;4330;857;410;189;244;727;378
400;13647;5822;814;9838;7787;1321;2078;5921;2885
401;3256;3391;6825;333;664;3282;30;2625;1568
402;12017;2959;500;11169;4433;619;762;3385;5536
403;8861;2251;4007;570;1338;928;1157;1696;6399
404;4745;2192;4523;1533;2028;3183;9351;1863;1099
405;5495;3966;2393;1367;493;3102;2350;868;422
406;1096;1880;761;1337;483;1313;725;550;271
407;4994;10202;3779;2438;258;6143;1550;5339;4568
408;2046;13523;1646;1517;1705;3961;8309;1632;1102
409;9909;1401;1087;597;77;692;1854;2958;203
410;14082;11857;712;2225;719;4199;5669;1742;338
411;8137;15795;1088;3176;301;245;4308;4963;3701
412;9244;3751;1047;1088;2088;1284;463;1841;1621
413;1022;3263;1846;47;843;1278;389;4211;844
414;665;1328;377;685;427;2800;3843;1606;2144
415;236;742;2441;2709;2082;149;805;219;1551
416;2807;1224;3667;3636;2584;611;1492;818;1576
417;12798;679;1400;154;7036;3185;1193;1630;11831
418;4839;26008;13154;8638;500;2851;3113;9336;10969
419;12549;2868;2171;2102;3057;3693;651;131;23
420;294;1123;1815;50;1129;1127;3588;1967;1055
421;11117;178;3590;9957;4105;4603;7516;6178;9411
422;10140;9280;2656;1713;5539;7268;2419;6380;1744
423;3264;8863;1664;5685;4762;4391;3518;2155;1348
424;4302;5731;529;727;2058;589;1086;6709;5935
425;77;998;649;1032;1528;329;186;369;1654
426;489;4649;4254;904;4065;377;1508;1314;674
427;871;10696;848;2499;550;175;878;1152;828
428;1635;3473;1605;2848;1496;453;273;1395;227
429;535;6251;841;694;1028;2092;3546;250;832
