;RLS-R2;EA2;pmut3.25
903;2308;116;2451
904;280;2194;471
905;3962;1609;1753
906;5000;4412;534
907;1272;713;862
908;5081;259;496
909;76;10186;2541
910;842;1336;272
911;5531;2685;7105
912;861;3882;3877
913;2606;1554;6134
914;2219;2984;619
915;473;3454;1932
916;917;5216;134
917;3690;1456;525
918;328;3493;572
919;1169;2177;336
920;2222;6281;185
921;190;4754;603
922;74;1680;850
923;10758;775;1583
924;2648;1619;1068
925;1804;2213;728
926;2345;3645;2385
927;2375;13409;648
928;907;7919;1498
929;1710;1832;1008
930;494;8168;2431
931;1014;1419;718
932;1695;5044;465
933;1026;1104;1342
934;2287;4980;2458
935;116;1305;2227
936;1428;4463;401
937;298;3243;3313
938;567;1616;2621
939;758;1946;723
940;3817;409;492
941;6;428;1119
942;7783;4607;491
943;2939;1740;2962
944;1158;4495;2540
945;5831;594;1293
946;2992;1459;2260
947;387;655;3999
948;4408;244;326
949;212;2904;1445
950;4084;2078;8574
951;3467;1008;4066
952;244;1003;1057
953;16711;1455;6157
954;4596;11096;4895
955;1405;10831;1072
956;2782;2910;452
957;737;124;3313
958;14908;2114;1037
959;417;819;1203
960;2965;6232;551
961;2697;1126;265
962;1222;10473;1513
963;131;12395;1800
964;650;1964;2516
965;424;778;3530
966;727;5275;361
967;5067;8558;22118
968;609;2697;322
969;43;2294;2271
970;186;2609;2722
971;2209;5296;1096
972;510;4103;810
973;1068;371;1381
974;1115;3082;787
975;361;152;3440
976;1347;1816;2159
977;1409;454;491
978;1858;2017;2534
979;3518;3766;10073
980;3679;2292;17015
981;1447;1141;1312
982;5068;356;1037
983;539;196;1484
984;487;555;451
985;9887;368;108
986;1048;130;633
987;2319;4899;1874
988;427;1945;963
989;4245;2913;4564
990;145;2433;295
991;1610;6375;11365
992;1822;3376;271
993;1124;2583;7351
994;1043;2318;1498
995;5623;7117;7022
996;1774;2288;106
997;4286;3574;661
998;3906;10293;8297
999;3593;2923;86
1000;5920;1355;4571
1001;1935;796;1720
1002;1781;2523;444
1003;1693;3544;493
1004;6788;749;5897
1005;1651;1864;457
1006;3067;1621;4783
1007;5853;3329;1397
1008;2871;787;3018
1009;2211;28;1053
1010;672;456;958
1011;1479;3126;3669
1012;1291;3519;773
1013;8447;3258;2219
1014;1790;1774;289
1015;656;1658;931
1016;5502;1720;246
1017;3568;1082;1917
1018;972;2752;612
1019;2255;3386;1072
1020;4139;4323;1067
1021;1314;4923;366
1022;4537;207;258
1023;877;1891;3944
1024;2469;4599;357
1025;4557;5174;809
1026;1896;7626;691
1027;2988;332;13546
1028;1286;431;1273
1029;632;10513;1248
1030;1157;611;194
1031;1859;437;160
1032;489;3876;5996
1033;7347;6160;466
1034;1168;43;474
1035;1254;5675;620
1036;5471;2858;806
1037;199;2194;2497
1038;3793;10064;479
1039;1530;415;2146
1040;1409;9547;1529
1041;730;997;1391
1042;2952;2559;6909
1043;4168;5451;6056
1044;3567;3068;1030
1045;3608;568;671
1046;930;2788;1319
1047;906;3266;3659
1048;5346;555;2436
1049;1788;415;1367
1050;6658;5438;7133
1051;997;486;1372
1052;1777;4241;1478
1053;7043;1871;3112
1054;352;5702;1980
1055;1005;3902;2307
1056;412;4120;1685
1057;3253;290;524
1058;2568;678;72
1059;109;603;1710
1060;238;4178;157
1061;404;9909;1494
1062;1285;2428;260
1063;7266;1928;3002
1064;202;6826;4287
1065;959;754;3565
1066;898;174;1228
1067;848;4544;2885
1068;10706;1245;4529
1069;1051;554;438
1070;1453;616;2605
1071;729;236;372
1072;7145;127;2039
1073;1082;816;241
1074;4126;967;547
1075;4293;1978;2026
1076;849;351;394
1077;195;4653;729
1078;1282;1142;918
1079;2790;8771;921
1080;832;1234;1588
1081;4546;3648;131
1082;4358;285;481
1083;1294;7108;2611
1084;1199;1026;457
1085;2046;153;623
1086;1227;17976;1561
1087;5299;2627;1579
1088;574;11201;9480
1089;1154;695;1354
1090;832;649;713
1091;317;2566;437
1092;2158;4402;6671
1093;4456;8799;365
1094;1661;3832;157
1095;3779;4009;3869
1096;2499;2108;803
1097;3231;663;1127
1098;11848;556;22044
1099;471;1987;1596
1100;468;7755;30
1101;663;2438;3354
1102;429;1453;1561
1103;2597;2745;3318
1104;1038;1429;302
1105;329;3568;3077
1106;1083;1396;1151
1107;2911;3532;4375
1108;2027;7149;13293
1109;4949;3279;1232
1110;633;600;1383
1111;1587;12138;3592
1112;4674;1082;1269
1113;2475;3085;3577
1114;1033;3028;306
1115;111;395;704
1116;3789;2082;9467
1117;1493;2656;3982
1118;227;3044;4032
1119;4928;3254;4311
1120;5107;3997;4988
1121;2125;836;504
1122;472;5405;4866
1123;218;662;2960
1124;2171;548;1073
1125;2704;320;298
1126;4385;652;3305
1127;83;919;363
1128;2265;1053;1641
1129;3944;15504;146
1130;1870;1644;1446
1131;6285;1035;799
1132;585;14337;7445
1133;332;971;365
1134;1590;3248;1682
1135;2514;1720;2796
1136;1410;2104;1231
1137;900;2923;6098
1138;3696;1744;254
1139;674;360;883
1140;4624;2713;4795
1141;928;1058;985
1142;187;1787;2268
1143;768;5189;788
1144;933;3069;429
1145;81;2264;426
1146;1235;1593;1866
1147;2653;1935;949
1148;2894;882;1994
1149;1944;2782;1644
1150;366;688;4375
1151;1314;324;4642
1152;124;774;140
1153;2578;6953;1275
1154;570;2716;1237
1155;2494;222;175
1156;1921;12003;2068
1157;1319;1157;540
1158;6454;4575;1080
1159;1589;14466;2715
1160;2698;12262;4464
1161;915;2827;2063
1162;5548;1531;632
1163;1414;686;2431
1164;694;6348;1460
1165;315;305;901
1166;385;3005;344
1167;4477;1748;592
1168;857;5062;490
1169;1789;2778;752
1170;879;575;4852
1171;1322;1463;270
1172;2657;1468;870
1173;3192;3806;763
1174;743;1403;3693
1175;507;1165;1082
1176;978;5780;9027
1177;1638;510;1889
1178;653;1376;88
1179;1676;3400;233
1180;812;13953;631
1181;1318;2933;554
1182;492;7421;1226
1183;19662;183;400
1184;589;1604;355
1185;1495;1493;675
1186;1586;5724;4757
1187;800;1222;1818
1188;2342;3499;2434
1189;3535;742;1320
1190;1488;1624;5191
1191;175;1703;169
1192;1223;2265;1441
1193;5327;320;565
1194;2818;435;2718
1195;1511;877;5504
1196;2650;4449;1668
1197;907;12149;405
1198;478;1379;820
1199;213;335;89
1200;1965;1939;934
1201;148;351;801
1202;4401;1192;1356
1203;279;1327;340
1204;1004;8572;644
1205;1131;1633;4707
1206;276;554;783
1207;872;4298;289
1208;378;2235;196
1209;3299;795;482
1210;891;4128;3118
1211;449;521;802
1212;5922;15142;894
1213;3448;3874;1096
1214;746;752;4943
1215;604;501;3862
1216;442;3565;617
1217;5098;2841;387
1218;5199;2472;3559
1219;3457;4421;11032
1220;2579;1948;1225
1221;3044;1407;226
1222;589;797;1364
1223;413;697;245
1224;3790;1661;846
1225;1674;2593;3593
1226;264;52;1610
1227;547;981;235
1228;298;65;1012
1229;3186;3031;241
1230;589;3545;3265
1231;243;1877;2303
1232;124;303;781
1233;486;885;3516
1234;118;10091;1910
1235;2437;866;309
1236;1608;3431;136
1237;2350;6899;1026
1238;1755;1686;986
1239;4046;792;4166
1240;4478;2513;108
1241;1092;1925;6043
1242;6721;6707;1030
1243;2512;9573;4390
1244;828;2751;6374
1245;9527;9044;7350
1246;14106;213;5536
1247;537;1386;1769
1248;524;4265;652
1249;4102;4693;215
1250;636;1247;651
1251;432;1661;489
1252;2413;10724;786
1253;3120;1168;2086
1254;874;632;613
1255;3638;2440;1630
1256;1080;9772;1994
1257;3011;21;2949
1258;1488;644;2806
1259;1492;3054;1150
1260;639;1810;3012
1261;4039;599;14966
1262;67;221;2791
1263;428;222;1199
1264;2414;1509;4234
1265;636;5408;2907
