;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
321;826;1509;1032;1719;3155;1918;16082;13123
322;3217;95;179;2538;3455;5566;15380;7150
323;3446;438;7997;180;13327;3916;6641;7601
324;3418;4062;818;2142;348;1188;4866;12538
325;627;2044;5827;3046;1457;1314;5808;502
326;7531;656;1686;1040;2929;6455;3593;1524
327;3299;3058;5181;2057;4301;2008;21474;12029
328;3371;1988;6049;7278;557;2480;2533;8615
329;1437;10145;2853;2316;15435;28595;10267;61877
330;5779;1211;1275;2246;112;2607;10166;16310
331;5314;5435;3428;1204;1439;83;26345;8462
332;2600;1888;6347;2332;6915;332;118025;20746
333;837;351;2583;3081;2043;2198;3020;3121
334;19201;2559;5208;583;25;19254;8345;65786
335;385;3275;3697;2390;3273;624;5869;1896
336;14745;3315;7674;3100;10626;12079;20471;8855
337;856;930;561;4450;2935;4959;1686;17035
338;2229;4366;198;3844;1768;692;13788;7657
339;825;1330;4948;4063;3433;799;8075;24048
340;4719;4289;509;3478;1146;1226;51990;8714
341;4265;1636;213;5736;3653;1106;12173;13355
342;6061;5909;4425;1589;1406;1494;67951;49364
343;23501;11210;4658;3978;9607;7094;2354;53080
344;1010;1014;3265;939;2418;18121;6477;29668
345;591;528;5545;3920;110;4281;6462;4301
346;4334;1521;2309;4525;18681;9197;17990;58846
347;882;2390;15506;6598;1710;8857;81299;156251
348;3281;9759;4700;6818;8530;11996;70044;48479
349;395;4824;775;7677;2066;7038;19416;96600
350;1298;6729;990;3177;5270;1029;9436;111859
351;266;2780;1703;5082;3476;4127;9082;38162
352;2197;1232;4541;352;6824;703;401;18601
353;3452;379;2288;1175;2011;14138;14114;39758
354;974;7395;3181;1338;335;24051;65;9779
355;629;2581;2700;1503;6479;3542;3485;26749
356;2715;2169;343;2813;2665;6664;6372;64686
357;1130;6230;1107;1476;897;12037;55223;8078
358;729;3052;10595;174;9538;153;5643;41105
359;3393;115;1331;802;687;5808;308;23428
360;2187;142;209;5749;1492;1988;44130;4810
361;12372;13082;8270;436;5449;1753;75738;21133
362;213;3236;2714;5849;6348;3456;8383;37225
363;19601;6137;8105;3295;11386;7537;42218;1422
364;7797;10365;382;2238;10012;10876;4728;13534
365;1654;7105;983;3315;486;3107;34850;14153
366;1810;1363;1014;2622;1635;1453;5653;1412
367;9555;821;475;606;21192;76;13590;27302
368;631;182;3015;3528;1749;17630;25650;85893
369;292;288;5867;2253;1618;3200;6052;16837
370;3167;2939;6199;3094;7109;1828;32810;2415
371;423;11163;2629;5801;18155;31851;13855;596
372;1168;453;6966;4298;903;729;4078;96928
373;5100;1649;5305;389;5996;2223;9270;2329
374;2690;816;430;946;5452;2929;6889;21800
375;1100;3164;1063;1013;5217;1451;37369;14158
376;339;3568;6724;4628;7810;6636;36335;943
377;16787;1858;1887;1185;19227;5387;30008;30459
378;11860;3826;2674;4058;4532;1040;19743;47362
379;1081;1285;1266;2638;2166;9918;2821;16673
380;1957;5329;538;11710;13075;1532;47090;25642
381;5044;3917;4095;2359;9922;4383;4203;30455
382;712;21947;4186;2680;711;7255;20810;38886
383;3315;1593;5356;2011;5375;18552;28392;83
384;1808;317;97;636;2227;14071;2592;20043
385;417;1388;796;250;2534;8469;15932;4134
386;483;309;704;1810;3107;8301;12812;17472
387;5522;1026;90;1435;576;9268;3724;37409
388;1279;5585;849;4089;316;5112;6179;43792
389;3160;338;45;6514;1248;3006;41868;60815
390;300;3032;439;6231;2700;21644;9321;6508
391;2375;508;692;10794;13439;2442;1886;101627
392;3105;1670;7659;8177;2995;5221;5489;6294
393;1051;1058;5270;3064;2276;7939;2076;1230
394;3139;745;4369;510;1668;7107;4465;21698
395;984;1302;7237;3539;5906;2589;2447;4167
396;1048;2270;2003;6530;1972;708;22130;29808
397;2832;275;2695;3411;702;5398;6636;16692
398;2642;1721;2453;3650;1481;10943;14892;5496
399;2678;1287;2639;1481;5846;382;2894;12238
400;7178;5364;7961;460;10466;13763;188;18919
401;138;237;5050;228;795;135;2649;52281
402;1659;420;4120;3532;6939;870;3596;32558
403;7016;1476;6404;5355;850;740;57168;18410
404;4082;188;6115;7630;9966;7697;23995;113220
405;143;228;514;1069;9672;852;12101;13097
406;803;1540;4875;7692;3269;6382;3243;13187
407;661;1695;9721;10142;1403;3598;62340;175886
408;733;329;450;1593;930;3044;7159;47245
409;2545;5695;2505;9279;3181;14555;4195;6948
410;744;2094;5589;12323;2741;4359;60870;10821
411;3346;1584;549;488;3844;7350;19320;4281
412;1287;748;587;594;4167;1520;9858;25445
413;2549;360;5528;2768;3031;5570;8738;27160
414;881;1303;10215;8856;568;58530;11111;29978
415;817;3814;271;1298;21;2404;22538;33785
416;664;1298;8058;5489;15260;9650;29538;31629
417;1882;1880;1260;1399;4029;14247;1536;4297
418;5309;2156;2179;6051;455;5259;21775;39243
419;823;937;4318;13356;7005;13109;5970;21281
420;4579;7672;3035;1399;4743;2016;18812;14184
421;27658;888;10017;12164;128;1265;36306;26684
422;9099;4891;2618;3802;218;11391;23353;4430
423;5645;481;3521;4263;14932;8534;26792;4939
424;2064;583;1366;2568;2012;2402;7109;6123
425;3825;21575;392;2359;5695;12385;50329;22198
426;5081;5392;5702;3600;702;6030;1333;34847
427;5981;783;3569;4685;474;2259;53382;16044
428;2606;7450;6947;1734;688;6420;30713;1783
429;1858;1354;14156;5044;145;2195;41424;33365
430;1506;849;444;1779;1361;22327;15707;23592
431;352;921;210;195;2318;4844;7569;25977
432;8128;2284;7294;2014;8168;4226;27281;53637
433;2206;17304;17284;9785;244;22038;1869;112711
434;11106;1116;2509;8041;13231;21945;20907;17229
435;4900;2011;2295;2097;2849;5410;4850;14884
436;5184;330;5698;4806;2158;2063;10686;2080
437;5470;1527;1614;1609;7358;5905;64821;16739
438;12025;150;9722;7998;12241;17421;15803;43138
439;15682;1869;5017;71;11581;4343;7910;26654
440;4102;11648;1263;4260;14;10826;5391;5861
441;1282;2651;7774;4076;3449;1066;2133;2671
442;6230;4180;8425;9375;9945;903;9788;31467
443;3086;159;1754;3789;324;1929;626;30248
444;3142;5517;597;3865;2246;1316;866;81231
445;1091;1510;1510;5875;2332;14610;10469;19530
446;2353;464;452;1864;5394;13107;3402;20795
447;11585;738;703;5490;4766;3159;4341;16762
448;829;1037;4479;1358;2033;4394;59812;110295
