;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
212;1181;1450;760;6118;476;732;1908
213;558;2482;2213;186;565;1030;504
214;3034;1066;3138;447;717;297;3079
215;547;3086;194;1670;252;996;8236
216;387;917;3264;46;2976;3762;1435
217;1293;4140;1156;2055;677;4097;1655
218;590;2197;2849;3598;551;1079;2627
219;469;1053;1893;10388;7921;2035;440
220;732;324;2428;5070;469;2390;105
221;1032;1867;12491;9845;66;6897;3811
222;543;2824;3671;654;611;258;1392
223;4580;1126;3434;3801;2927;167;381
224;1179;911;589;1289;1320;419;107
225;705;2463;1316;3754;1362;1137;380
226;535;4025;1090;213;1003;2764;687
227;419;2051;2674;3122;959;2632;162
228;1027;1229;10752;5474;2385;2081;357
229;259;868;843;6035;338;266;1531
230;233;1036;1441;70;2811;790;1698
231;4567;414;3859;8765;6742;2250;1129
232;1988;2304;12943;1142;7124;4075;1834
233;2326;1844;2309;5631;998;223;1684
234;4549;2343;5429;1059;2261;1448;174
235;250;2523;4097;13096;3581;3278;2255
236;389;855;4201;5307;611;10083;957
237;595;1142;12112;4548;648;1085;4118
238;1094;743;7689;501;1132;1598;662
239;7237;1081;6404;10625;4360;1437;2156
240;198;6220;3017;280;1087;1168;424
241;907;1206;119;6968;247;1651;2484
242;3095;2441;180;4978;5134;2436;1477
243;268;4207;237;7745;621;688;1077
244;619;4630;936;1972;1565;123;591
245;851;1208;1919;434;2332;1229;2048
246;557;931;832;178;1216;4120;3955
247;211;41;1161;4725;323;682;1538
248;403;776;1388;2653;473;1903;386
249;1404;195;2360;1628;218;1803;1211
250;549;2532;1534;5229;1264;330;435
251;175;1639;2796;735;37;1581;1667
252;2584;393;3412;1537;186;481;2880
253;138;7218;1783;2970;8210;8180;13224
254;155;4073;3782;5984;1111;2372;1993
255;1970;9563;1930;4992;270;2598;1001
256;349;3391;5215;710;1039;1239;3996
257;4035;535;46;1003;792;2195;6354
258;24406;5858;1315;946;1677;10173;1095
259;712;3988;2644;2305;2500;3028;2609
260;3659;1206;9874;24301;4877;16771;2177
261;1685;3588;8019;5496;1014;4397;15860
262;3181;2256;5834;6282;8519;1081;278
263;5246;7109;198;1322;2069;1770;3641
264;647;3777;3373;5427;1745;2472;2540
265;fail;5448;6957;6018;3758;1377;6855
266;2355;5090;854;15325;1042;1621;562
267;1134;3445;6304;1559;485;11979;3776
268;2828;7531;1128;2449;6614;5197;783
269;4927;15941;14175;2430;2768;11061;2420
270;2757;905;3334;18277;1643;1057;2237
271;1772;517;490;174;1636;900;1024
272;1195;6806;4766;16821;3143;2619;626
273;821;171;487;1687;843;8785;1527
274;609;5098;16303;4579;1119;323;1578
275;675;2010;164;5677;1311;237;557
276;8070;6868;9967;784;1844;8094;6144
277;297;4529;775;5760;742;975;6002
278;1430;188;2184;3921;5796;1246;4766
279;451;2886;2894;1549;6404;3657;2688
280;1127;1413;1742;832;4273;3785;660
281;1564;7141;325;6420;1575;1063;388
282;20;2272;1972;169;567;5801;2544
283;88;563;4104;879;1391;3040;1944
284;2119;154;4252;10265;1921;4853;4826
285;350;3360;1068;2980;2107;1917;690
286;724;8100;126;455;2313;4247;9238
287;1741;558;826;2624;627;1323;1676
288;22797;5449;4374;2405;2149;3174;45
289;1214;4366;1987;608;186;1321;3605
290;190;1302;3894;2310;285;167;523
291;497;629;655;189;2714;3634;1664
292;3811;10918;1245;5705;705;1548;729
293;296;158;1553;9693;3013;1348;3376
294;1073;1994;6189;963;1574;171;2561
295;738;895;8578;1716;526;3472;6320
296;fail;7548;2627;8909;11975;8377;2923
297;163;1873;1904;2248;6011;393;4686
298;981;7845;1115;2059;2600;228;575
299;2874;2706;1913;7375;2691;5181;1176
300;208;1372;4328;10177;1293;584;840
301;229;1538;3961;1731;298;1268;1322
302;9529;1030;3992;15285;681;82;4193
303;540;703;12149;3110;1288;519;1258
304;516;1156;853;11347;1350;39;254
305;810;2409;5615;3062;1474;16970;68
306;4602;20356;5512;1823;1859;8902;6550
307;3060;531;3849;1180;1042;3992;267
308;656;1103;7224;1273;942;923;2817
309;299;1213;14375;16238;1436;5183;1736
310;615;4098;1660;2560;768;9886;3254
311;227;2445;347;2883;1590;320;5205
312;1194;632;5282;6421;1959;4873;18247
313;3365;4994;1394;3070;2005;466;665
314;3822;1733;6117;1406;4368;161;269
315;1308;1409;2185;542;554;694;473
316;454;3276;6734;2063;1984;1405;7599
317;535;507;5013;4625;2734;1657;483
318;601;1314;2808;7170;902;1984;1206
319;229;1028;2327;2472;339;654;158
320;1834;3438;3841;15943;7351;6217;1549
321;2419;8193;7532;726;398;5045;302
322;6175;8702;1154;3870;1142;359;1328
323;3324;1760;3691;1154;220;1593;10618
324;1842;2371;3852;8774;689;1113;1243
325;1860;3061;270;826;1697;139;6660
326;3507;3443;1075;4144;1141;2108;724
327;286;2195;313;2494;273;614;434
328;2706;787;952;1298;408;2747;39
329;1218;17384;1851;11566;3168;4195;778
330;1380;8849;5080;29541;393;3267;285
331;1078;1819;3557;11136;264;308;3664
332;407;2326;4739;2222;1436;676;2769
333;10265;3638;8141;2297;553;576;4124
334;3061;3018;4501;4044;539;3466;452
