;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
34;fail;fail;fail;17234;fail;5815;fail;fail;9926;2569;17878;fail;fail;fail;2236;8036;14563;30628;fail;2333;230;1825;3978;1085;fail;1305;17213;4492;2972;4267;2154;2042;268;1415;1434;108;970;331;268;460;925;2548;820;2944;1077;8287;2301;9505
35;fail;fail;13144;23287;25585;32523;fail;2711;3453;14043;8331;62155;fail;6303;20534;1168;12578;25491;67;10680;10209;1666;12803;10120;288;402;1124;2624;3727;394;2137;815;5343;501;5961;1518;1902;2214;2935;5551;776;6633;1118;704;8552;929;626;2770
36;fail;fail;8120;26020;10355;2975;fail;fail;17907;373;10851;8733;fail;8983;197;13383;4023;75458;158;904;1556;509;105;536;fail;16918;650;12740;4162;11017;375;415;704;1065;606;584;1685;4179;10996;94;859;580;1857;739;1567;2470;1309;950
37;fail;fail;fail;1296;13611;5172;fail;fail;26846;480;43;20159;fail;1467;62064;2946;12910;14967;fail;14541;44581;8478;10842;4132;fail;24187;23397;8489;1385;1095;432;2591;376;2939;2143;575;121;225;1118;1391;1270;2321;1378;297;1571;488;1050;316
38;fail;fail;fail;13020;fail;89715;fail;4529;160;7578;1970;16687;fail;135;6833;1889;99;25960;fail;44;7411;17062;2848;882;fail;144;1603;23116;701;3503;1576;1678;3895;8237;1905;1023;101;2616;383;256;991;2617;1262;11960;2298;1091;985;3899
39;7;fail;81216;1122;1334;87644;fail;327;31226;17835;515;1702;fail;333;116;225;4143;2654;fail;282;4976;2539;436;731;889;15675;613;4539;853;435;355;3366;3750;1832;964;886;1500;874;14187;14462;336;1012;172;3546;2165;1737;2772;977
40;fail;fail;fail;73032;56381;5810;fail;fail;7238;2079;3390;5292;fail;96;11698;5582;9700;16613;177;1061;22625;3116;9001;368;14;1950;2918;8969;6303;3027;2086;2752;1865;1573;862;2740;35694;6047;509;3123;6873;10369;712;2235;4443;797;2423;258
41;20;fail;35561;2252;fail;44615;122;fail;1150;13162;3902;2781;fail;7766;74417;919;10;2052;fail;1578;555;3183;1440;816;773;23608;422;4844;6484;1464;fail;1059;3663;678;1979;3270;1733;501;764;2318;2249;1122;5898;1317;5120;1435;1475;1224
42;fail;fail;fail;fail;23326;36124;fail;241;242;1041;75794;3746;fail;5217;2819;776;15719;9159;222;9990;25958;44887;6334;13767;169;101;4444;3289;894;2225;2439;1039;1720;8021;1252;712;2520;1878;2334;515;1420;3040;581;3836;7001;1000;438;8143
43;fail;fail;fail;fail;67;2030;fail;4533;484;785;1669;7285;fail;354;71982;2259;4149;6704;1427;3292;261;12095;1016;22;fail;379;1067;894;229;2148;3076;2134;197;1797;978;681;681;592;3271;6792;141;4723;452;3523;4110;2399;5776;7825
44;fail;fail;16030;45963;10260;29938;fail;fail;5059;135;849;70843;fail;fail;35392;654;13819;73209;664;6069;1462;7633;6769;744;fail;32658;8110;40420;3963;5845;357;1408;1434;4101;1819;1519;4477;5114;1189;1223;2665;162;5439;1980;8843;2149;6365;4230
45;fail;184;155;3670;236;1338;fail;fail;51235;19036;fail;fail;fail;27213;9788;874;511;35603;fail;2121;1006;3130;613;795;757;2887;1472;1130;248;1212;5192;8254;11515;8309;3566;1679;1242;1960;5264;4437;740;5345;549;884;1761;4451;875;299
46;fail;fail;42099;1353;fail;5361;fail;375;4959;721;11981;2510;fail;13895;4851;5400;39817;1298;fail;471;2241;1789;19440;206;444;2647;6274;300;1494;371;2067;5489;347;4590;932;3908;1388;3526;5777;5918;2430;509;1145;1830;1553;3668;1586;584
47;fail;fail;564;fail;69028;1484;fail;fail;20299;4902;783;4610;fail;41468;8255;5310;29141;953;fail;728;896;4666;10873;15217;1546;845;11108;881;2337;11755;2069;321;8362;5005;867;516;2073;3664;1581;2185;597;418;578;3308;5092;291;7967;963
48;fail;fail;fail;43656;91231;4245;fail;fail;666;3734;8060;3549;fail;319;11255;603;569;1099;674;710;15903;25781;10076;1578;992;1374;2606;4230;10119;1170;1231;145;2857;2059;116;4351;166;217;870;1316;42;7507;3500;6711;1397;7451;962;317
49;fail;fail;fail;87415;92826;4160;fail;fail;fail;8528;99792;17616;fail;fail;6513;7442;708;4636;fail;1013;1306;323;4643;36;787;62;2453;1035;715;754;3747;801;349;1171;2390;826;2322;1814;6520;1451;4670;15505;433;326;1274;2379;172;1351
50;fail;fail;32;12633;40267;932;fail;1462;343;16983;271;65252;fail;6615;2164;4304;501;213;790;10604;1408;933;43518;2037;1650;2151;12571;518;253;2294;1789;4023;3398;1531;246;2282;1138;2634;3397;1691;866;813;1487;493;135;1340;1724;366
51;87;fail;134;6338;139;13;fail;fail;59813;12516;57540;58606;421;84;3708;906;11210;9539;fail;267;346;667;863;790;fail;1808;3948;629;4461;14914;1567;20432;7067;4196;6770;11921;809;847;2367;2594;6038;849;2878;119;7039;6244;680;1792
52;fail;fail;30989;358;fail;48651;fail;fail;fail;587;3560;4959;fail;fail;12442;23568;5679;2667;fail;9549;4030;6869;1064;1859;259;23922;50847;1532;520;3343;1101;576;1540;1849;885;289;871;169;1152;843;816;848;1577;316;3813;827;921;376
53;24;fail;fail;179;6637;fail;fail;fail;18115;16146;17580;20942;fail;1395;6165;2738;3550;2230;fail;138;22843;16886;812;397;fail;970;896;1189;1774;849;1915;1839;7677;2033;1152;1439;238;1372;1083;1375;2345;1096;4000;675;10825;9145;3165;1074
54;fail;fail;17183;8206;132;1384;115;776;25301;2383;64240;2365;fail;38;12254;1149;2839;7790;2639;171;1159;833;919;27849;fail;666;838;3829;1211;5636;321;2140;2313;1527;24;1420;253;234;2725;4745;936;971;688;1259;2233;586;2207;831
55;fail;fail;3613;954;775;11149;fail;fail;321;9586;4626;4971;fail;22193;4159;67;26729;5028;fail;6114;347;6802;637;1203;1245;130;4218;5212;863;2385;7533;1658;7033;10961;6249;6835;3365;232;1014;3830;1975;3901;1560;3495;814;6170;214;479
56;fail;fail;fail;1;91;76606;11;fail;5179;3945;fail;63260;547;4315;fail;27365;5122;1719;fail;1647;4821;4901;11285;8953;fail;16269;14415;9173;8273;7321;1087;1021;1656;1178;5162;2065;1574;203;1503;5096;575;919;1587;1757;847;4672;723;1647
57;fail;fail;fail;459;39376;865;fail;5528;2117;22890;89840;18828;fail;9068;5886;7179;4270;6929;fail;932;2842;2515;9478;2115;fail;346;3727;433;3957;75;27;1568;153;3274;1467;1635;1107;147;964;3371;1010;161;3261;8675;7094;6624;462;3238
58;fail;fail;3745;556;16665;1982;fail;fail;33590;3051;1415;7901;fail;200;1128;357;3472;4179;fail;4081;30328;6051;1136;5941;680;1648;2194;580;444;660;30;366;322;7155;14055;2316;340;946;804;932;3236;2963;157;966;5459;1290;2561;1991
59;fail;23;999;8354;11389;198;fail;182;894;53;1222;1295;fail;274;5080;8133;1644;3308;fail;6667;26903;2414;824;641;362;773;75124;6888;1152;484;5485;914;3135;5613;2858;2454;3777;228;6820;3779;801;2511;3818;518;2543;3120;610;1985
60;fail;fail;9225;199;146;12498;fail;fail;2040;2730;6278;1815;603;6084;2744;7677;317;66;593;1208;1675;7159;3771;2891;749;4859;518;295;582;2100;635;2965;273;2568;1588;396;2696;1374;1928;6176;1603;3263;5735;580;734;5781;951;858
61;56;fail;6828;2305;3163;1612;fail;68;15900;15237;100;7125;fail;6238;44766;3744;8865;448;fail;7308;6140;13026;207;3055;3926;4069;8262;1947;793;2055;1750;1010;2852;3467;405;1722;995;4089;611;23645;2625;20385;641;1328;1351;2303;225;996
