EA;EA2;EA3;EA4;EA5;EA10
395;261;438;1184;2143;579;13046
396;1131;407;13249;586;861;2405
397;9475;1378;5776;2922;562;417
398;268;15882;108;1045;15415;14685
399;898;650;773;882;9093;4342
400;2085;2825;391;1702;1571;4677
401;2269;1407;4521;672;1970;1171
402;771;544;1498;2055;1100;255
403;9606;443;6672;3563;9678;6628
404;6704;570;4180;4787;1053;9309
405;909;3661;3152;670;10359;11649
406;12906;11209;231;10800;4263;12914
407;1650;157;2373;2245;742;1962
408;3113;1670;267;466;2611;1838
409;6696;6514;478;3273;394;570
410;5933;1423;1363;734;10029;3872
411;2528;185;18725;12425;2146;793
412;1884;1124;4075;360;290;2977
413;19906;4970;1845;224;2865;13524
414;2536;3999;1728;266;1246;3651
415;7753;525;4538;4563;1351;27727
416;8346;747;1218;3038;553;6771
417;1519;3549;2638;2026;12446;12097
418;3111;2184;323;202;3051;11382
419;6728;396;6044;3445;1847;1759
420;871;2556;330;4560;4137;3427
421;4390;2571;1809;210;118;19662
422;1385;2920;1181;2327;256;11830
423;2000;71;3964;449;2850;6158
424;2258;2489;5314;2949;8903;7276
425;3830;75;8931;11226;1736;27895
426;670;10423;515;1240;236;18244
427;879;1573;11281;6647;7273;2015
428;4032;5976;16290;2379;9420;1610
429;465;3708;3990;114;1988;549
430;4511;2622;7626;4342;3648;7023
431;425;1162;1011;188;934;901
432;4283;12683;3016;929;4528;344
433;4544;2185;1190;1120;969;11554
434;8267;4667;8136;20068;6785;26110
435;12375;1729;144;4227;2323;14913
436;1564;764;2500;1090;6258;8072
437;5289;7134;980;18794;4279;4953
438;101;4204;1089;6957;39;958
439;592;5607;3343;2120;1649;3947
440;7778;402;2521;1865;7451;7383
441;1136;738;6331;925;2077;1003
442;596;143;2984;636;3164;1738
443;3807;1053;1513;1650;9535;2212
444;4734;4354;2087;8870;10723;9067
445;835;7835;3444;6917;1875;11446
446;567;1760;5334;1159;17135;20298
447;1221;8228;6048;4039;3869;11425
448;4562;1428;508;2694;1101;2458
449;1514;2274;3067;4621;16439;16238
450;4725;11696;1613;2448;899;3545
451;1263;653;1409;729;1975;2325
452;7324;2279;5087;6401;1768;12247
453;982;1391;10018;3469;3204;10003
454;1048;797;1145;622;610;2246
455;3370;2301;578;810;157;3772
456;1153;47;1161;754;2134;1482
457;3300;537;1875;2744;575;535
458;1455;5856;1744;2492;381;5591
459;564;1351;4706;2649;7501;6374
460;1144;330;2603;581;4720;9779
461;456;771;1980;1394;1952;565
462;6929;7585;949;3138;8409;8533
463;1187;1990;7966;14401;12716;7421
464;536;337;3578;520;312;1420
465;1450;2329;5283;7689;7587;4236
466;159;1158;343;3972;465;5521
467;264;3928;5384;2530;1629;333
468;563;1290;5364;1662;1155;2974
469;9331;894;4309;11215;17421;4662
470;7650;1457;3598;726;6853;2119
471;8301;2561;6032;841;495;12006
472;733;1602;1091;3145;1999;2637
473;1019;595;2445;5205;6808;2666
474;4404;5264;1660;952;2258;1745
475;8229;2118;1494;1115;447;6026
476;541;463;533;12242;1397;1561
477;3334;149;436;7151;2258;13970
478;29602;2186;9552;7167;8101;12176
479;414;3532;2097;2670;2546;6033
480;369;11188;3383;7130;6269;37160
481;1837;1011;3558;2029;1112;4627
482;4561;1451;750;1340;3689;626
483;802;2045;1601;4088;4440;142
484;9101;242;6853;5220;8002;16303
485;3283;2502;1668;1152;2203;2044
486;782;69;1087;408;215;1543
487;269;2298;439;1297;4027;4292
488;483;683;1239;310;1152;2300
489;2840;2211;4083;948;2042;6299
490;1220;1627;213;6700;11494;318
491;3197;2915;553;4082;10883;855
492;1054;11792;1119;3430;6750;4166
493;6706;888;2456;1135;1568;2930
494;1161;1057;1629;2388;55;3482
495;1155;10014;6658;5270;8706;14227
496;545;510;3892;703;4238;1677
497;1087;2259;472;161;1006;4178
498;4721;4867;4537;2161;3814;12052
499;5810;793;799;12990;4840;4133
500;150;1636;93;1845;4056;108
501;780;3063;3054;2983;2363;6149
502;305;3466;1844;660;1860;15986
503;5905;683;10439;19368;545;17094
504;619;1978;414;4608;7470;4762
505;3473;2272;2300;5790;6934;21549
506;838;646;1574;40;2334;2140
507;10352;2773;2876;3397;1168;2001
508;956;4411;563;99;2243;229
509;2591;175;1460;1713;2355;879
510;3787;495;1956;889;379;1510
511;661;1619;862;395;2254;6545
512;4206;182;1001;3421;988;3441
513;266;5816;6119;19289;14959;9897
514;2121;6658;2510;1389;5026;3248
515;3903;1925;3285;1413;458;13331
516;557;982;2998;2522;7512;3798
517;803;195;379;3354;1481;6029
518;426;862;3712;1670;921;3208
519;2615;196;376;2420;435;1940
520;415;771;215;9604;7425;95
521;3053;2071;7894;1659;9119;11967
522;584;1369;2052;717;1791;2324
523;187;1754;249;2058;196;3571
524;13710;4422;1273;29;6131;13848
525;1981;4322;4085;16002;6136;5412
526;1233;217;835;2531;557;1039
527;705;5615;2246;10958;3376;3447
528;935;2699;2708;617;143;1557
529;1664;10934;3756;1841;14783;1216
530;5081;2981;724;1019;1418;5060
531;1171;224;765;356;3648;2657
