pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
10000;10000;10000;10000;10000;10000;10000;10000;10000
168;1952;1080;7766;5964;195;3389;304;897;3114
169;2018;32;221;1049;1525;334;2276;1173;501
170;10080;15031;5682;581;562;17104;4431;332;13185
171;1151;11522;4084;2492;10524;2062;3283;143;1994
172;9322;2119;2809;372;2394;6390;1728;536;1273
173;7584;2903;1195;201;386;2220;200;1440;4623
174;12160;6311;259;7006;2860;7480;891;6463;6255
175;4082;3369;2019;2548;1418;354;6959;6060;4547
176;109;4603;179;3095;12134;337;2356;3512;3964
177;4442;544;4225;1246;544;3209;1606;912;447
178;3266;576;82;625;1827;1641;3609;321;772
179;601;1144;209;2488;292;788;981;1316;181
180;6947;1851;9646;1859;1640;6471;3166;2542;1377
181;7195;234;1215;645;3574;830;522;75;2047
182;2578;227;5204;7760;304;1230;9287;14700;7213
183;360;8808;5221;2813;6355;6686;11258;247;2319
184;13433;732;298;3667;382;2938;680;700;388
185;2746;2051;516;3052;470;467;314;2294;649
186;5594;5304;706;2884;504;6314;4051;12972;493
187;6447;997;3152;202;287;256;1034;551;364
188;4987;571;736;395;1704;418;951;208;242
189;459;3848;951;1874;713;3168;2236;3132;939
190;1332;1272;153;232;537;1579;1478;301;1033
191;4938;738;493;1528;197;425;883;969;112
192;6338;214;1572;7714;3716;2825;3501;6000;840
193;98;3756;5812;2255;45;522;471;350;129
194;15654;1619;1246;932;374;3761;2734;594;2493
195;1753;3699;2255;7699;4900;1617;4051;2088;3301
196;1202;629;1636;182;465;1978;162;815;141
197;5571;7621;2397;1270;338;531;3073;5446;4570
198;7351;161;990;567;2460;310;47;285;508
199;24260;20288;3362;5552;14856;2684;952;3163;1715
200;4084;622;3364;6513;612;15072;24773;2265;1556
201;10751;14076;2064;5748;10141;4646;6520;2866;1734
202;5387;1984;1851;4136;356;500;157;154;1300
203;1430;7036;3231;11236;70;11049;3210;3595;581
204;7967;1576;2568;1514;525;1236;557;183;662
205;4202;15508;1786;2718;2205;5186;3485;2324;3213
206;1265;477;193;126;425;129;561;877;421
207;12382;2709;4446;822;545;59;1061;3065;740
208;269;3214;359;912;40;1272;569;2410;2009
209;1326;1446;4276;5791;5562;3233;14304;13032;5947
210;3690;4585;1433;3773;2675;6076;1553;1387;5313
211;938;1452;489;5225;814;943;1374;116;521
212;2752;2900;16586;3541;2164;546;17055;1623;4354
213;588;1541;1520;2612;463;400;159;175;657
214;6655;4206;53;2650;224;1456;1654;874;457
215;325;6099;6944;1165;3963;3987;2398;536;950
216;1289;2686;529;648;5506;1601;1473;1498;3454
217;10874;759;1887;2737;4316;1186;741;2887;158
218;211;286;2212;1404;951;1302;334;270;301
219;446;1053;1106;579;211;670;215;193;3355
220;1710;411;133;337;2142;99;380;486;546
221;525;312;406;1117;5307;167;5671;3091;2120
222;1645;71;370;191;1507;1392;1428;217;467
223;815;18318;7427;941;9959;5001;5850;13551;29470
224;797;1128;2152;5538;327;9317;3511;390;10026
225;2499;193;354;125;1474;1659;2336;163;845
226;4003;362;450;2471;4642;1008;920;789;452
227;27265;4250;896;12093;153;9584;465;3430;2138
228;15088;10326;1741;1119;796;7371;5349;729;372
229;2577;4912;483;3180;79;8019;2151;5829;199
230;837;12263;1472;1435;10498;54;556;5993;3257
231;88;1104;398;3973;91;3751;892;1509;1348
232;1131;1488;408;1139;2639;577;2913;658;3678
233;3022;704;530;632;3404;82;2294;1112;2318
234;1794;252;88;901;1854;1018;2203;5759;4098
235;439;447;1772;483;2072;223;52;500;2265
236;3031;3528;8599;2462;107;2396;1103;160;3349
237;1262;3637;302;2393;623;1962;2439;2509;831
238;10748;1237;1048;6371;113;1035;5900;143;3146
239;3951;232;186;138;1630;1760;143;2363;613
240;504;1573;3243;930;1070;362;530;177;422
241;101;986;3176;74;3046;983;495;67;1405
242;817;6769;2070;4028;1720;5093;3051;682;27291
