RLS-R2;EA2;pmut3.25
545;2806;3709;679
546;2196;7099;6167
547;864;3654;200
548;611;4852;1377
549;7603;6966;252
550;1298;4006;1193
551;1467;3840;3203
552;5685;709;5802
553;3942;1205;270
554;1408;5355;4227
555;564;807;2007
556;162;161;2153
557;268;196;330
558;666;14212;11216
559;6331;6379;357
560;678;14310;2746
561;734;681;3156
562;8314;759;2619
563;1217;3336;2110
564;677;299;339
565;406;3817;3394
566;68;2117;701
567;480;452;1922
568;2289;1102;4712
569;1429;1990;136
570;1280;10138;1553
571;880;8032;4708
572;536;702;1300
573;1010;601;773
574;414;929;857
575;9073;7278;422
576;4453;2565;1064
577;1514;5492;310
578;1139;1907;412
579;337;4337;611
580;458;2533;899
581;1318;1578;536
582;1127;1034;1372
583;339;271;343
584;5606;2755;921
585;260;1842;1490
586;180;777;434
587;1177;92;1020
588;737;780;410
589;609;819;280
590;4603;1873;4417
591;815;1095;5419
592;2953;5034;8313
593;2395;44566;5266
594;58;1672;1059
595;1830;240;2020
596;3187;166;199
597;668;2206;842
598;754;2337;1442
599;357;2679;1593
600;317;2555;3175
601;3008;2607;1410
602;177;673;619
603;922;730;158
604;1618;464;959
605;162;726;149
606;5791;1443;758
607;1448;1514;1183
608;2214;2701;4647
609;1101;83;1988
610;1244;1477;323
611;223;4005;389
612;389;7694;259
613;4571;1983;271
614;4727;4796;2222
615;117;2372;637
616;8672;2415;251
617;172;5463;229
618;1821;1005;122
619;1492;581;2025
620;113;1961;10197
621;1289;860;1512
622;6874;2214;4787
623;2637;1579;54
624;443;1637;980
625;1101;1730;368
626;2817;3793;32
627;1779;125;6548
628;2671;4411;1806
629;1595;507;1626
630;893;1735;796
631;770;1883;2127
632;1028;706;132
633;1852;425;2054
634;1653;4283;4625
635;1499;3880;1179
636;308;1165;1694
637;1848;3829;726
638;9507;7498;6319
639;1749;7901;3194
640;1935;1503;226
641;826;1943;427
642;1075;722;453
643;461;1449;1945
644;2689;6068;3080
645;3671;14111;1977
646;312;269;434
647;1226;2056;1230
648;77;2848;722
649;870;5629;953
650;841;2081;176
651;4843;8347;762
652;1031;14529;3982
653;339;2841;3331
654;2025;1296;1860
655;839;671;3512
656;7264;1974;4512
657;1525;2221;1273
658;978;3310;5780
659;1433;1830;1920
660;2788;298;955
661;5764;688;276
662;1266;13416;210
663;585;9130;18092
664;1395;557;703
665;2107;4842;3056
666;59;924;176
667;1893;905;732
668;686;2959;297
669;839;4368;3586
670;4624;356;305
671;606;7567;7472
672;1217;2254;2330
673;1373;713;222
674;7010;705;19529
675;545;557;1028
676;215;941;505
677;462;1416;294
678;1070;1189;149
679;387;1991;5478
680;272;1358;1116
681;1625;3354;165
682;2343;15194;2219
683;1323;266;173
684;480;462;116
685;827;1897;90
686;6633;1131;13705
687;5248;4788;1350
688;870;1019;653
689;746;1140;2319
690;399;3290;10105
691;618;1293;337
692;388;201;336
693;749;525;14
694;287;441;807
695;1364;3949;218
696;224;388;135
697;242;2756;1072
698;3712;970;2034
699;1052;486;601
700;2588;745;1061
701;1712;486;829
702;1803;1126;2770
703;1159;525;742
704;1653;395;119
705;614;3826;237
706;744;2270;165
707;4676;1972;735
708;1217;1420;1066
709;2386;1049;126
710;329;1750;1691
711;967;2256;977
712;538;1677;281
713;889;2471;1063
714;2820;1430;1424
715;945;1012;1026
716;1472;91;2987
717;245;11074;1734
718;1192;2710;1717
719;271;1497;4089
720;838;2065;2758
721;836;238;339
722;408;3145;329
723;616;1927;316
724;2335;5887;923
725;1302;6992;4870
726;3208;487;374
727;358;5021;1569
728;14623;1636;2191
729;1432;863;1377
730;724;1052;658
731;529;4658;254
732;12226;8178;7704
733;1677;3578;1391
734;346;9579;1370
735;2472;2894;373
736;123;2000;747
737;8102;1133;2474
738;1158;1258;331
739;28;676;2188
740;1192;316;3116
741;1018;582;1315
742;510;293;613
743;1943;155;891
744;1871;575;3066
745;609;2432;5216
746;1347;848;256
747;5060;1836;5390
748;462;2012;666
749;141;942;415
750;3431;6915;11713
751;624;15470;201
752;1714;1198;658
753;4566;4908;1002
754;2071;395;846
755;625;1486;2672
756;5219;2029;200
757;2727;2962;1002
758;1936;4621;1640
759;5851;1200;3675
760;1341;978;1153
761;2853;54;402
762;2521;1543;2731
763;7422;2543;1238
764;330;2002;686
765;2825;898;873
766;1263;881;2161
767;312;733;155
768;78;2058;1035
769;1482;1219;9997
770;1335;3825;90
771;80;1000;1575
772;8112;458;5176
773;616;878;1129
774;616;281;79
775;1964;6800;5906
776;813;310;2061
777;767;2848;1842
778;1363;722;271
779;357;800;1302
780;707;3647;618
781;58;3187;2027
782;4269;13669;222
783;453;877;93
784;48;451;532
785;299;1211;298
786;365;586;883
787;4038;19418;757
788;538;413;1686
789;222;1121;8033
790;8562;29650;292
791;717;2540;954
792;5365;9063;357
793;218;1237;189
794;6251;602;2861
795;282;5024;7728
796;1434;9896;718
797;318;323;1750
798;1051;2766;600
799;623;322;141
800;835;581;135
801;1832;434;345
802;2806;1095;166
803;357;2579;1129
804;437;1247;1857
805;880;7112;10937
806;612;1855;2212
807;714;2878;253
808;2353;3616;1783
809;1980;420;2845
810;170;12435;455
811;1179;272;905
812;231;2229;1692
813;1495;914;2738
814;448;589;863
815;718;4259;505
816;8582;3220;694
817;462;11312;203
818;228;1058;565
819;406;400;2016
820;1688;8420;270
821;1115;1883;667
822;4581;1735;844
823;5202;1831;6441
824;2380;3226;1043
825;490;408;383
826;589;867;894
827;2487;1774;2203
828;5336;739;1451
829;742;498;856
830;1007;939;834
831;1489;2101;282
832;918;745;728
833;149;1739;8297
834;1754;270;1168
835;1164;281;486
836;109;1001;548
837;4185;8419;276
838;894;1449;471
839;4351;108;3303
840;487;4785;1512
841;953;1788;351
842;2545;4227;1943
843;265;4048;386
844;1467;1540;8234
845;64;3929;1181
846;1274;3179;3852
847;8238;965;2348
848;2544;438;658
849;1096;1205;1300
850;1453;2944;1096
851;1888;1213;1425
852;350;213;2700
853;1289;978;1105
854;1569;268;152
855;3719;1718;574
856;915;3030;266
857;283;58;512
858;1573;1506;3750
859;1172;3247;2541
860;4143;6801;2622
861;3976;530;1117
862;806;670;1352
863;356;2356;341
864;1549;1312;5854
865;959;3776;758
866;1914;3318;4767
867;879;1261;95
868;222;3841;2574
869;69;113;814
870;1715;2553;446
871;1969;2284;1476
872;1631;6534;1074
873;844;483;2697
874;272;403;157
875;303;616;488
876;2655;6090;9779
877;12356;8387;4118
878;1012;14688;6329
879;91;2286;1284
880;766;1682;374
881;618;293;2195
882;1408;1719;1079
883;301;1598;7162
884;74;6905;1975
885;5326;18367;3761
886;330;10571;569
887;1875;1169;2187
888;6913;5481;2145
889;1437;1062;462
890;482;408;107
891;2384;4798;155
892;128;1494;456
893;1056;1396;489
894;348;4391;2704
895;9958;6152;2039
896;798;1929;2108
897;24159;3635;172
898;1249;7894;1206
899;8854;861;818
900;2230;4530;3373
901;2161;1460;1703
902;5041;5757;2662
903;533;102;130
904;132;1955;185
905;5898;3646;536
906;66;544;3143
907;961;1281;1775
908;2469;5369;1726
909;1548;11651;1781
910;1878;2868;1501
911;5119;4011;1255
912;2867;2637;1418
913;1890;997;429
914;4165;7216;8355
915;2057;1861;2361
916;2858;178;699
917;183;2239;1062
918;1499;3751;1718
919;409;253;1494
920;1163;4709;914
921;577;546;1198
922;932;2713;556
923;3466;1470;2603
924;793;2793;473
925;3225;5829;1378
926;56;1520;94
927;2877;988;3257
928;302;1516;2819
929;8444;499;5257
930;3111;16536;3096
931;3219;128;326
932;581;1160;689
933;653;216;302
934;11533;3013;8606
935;861;280;111
936;589;227;513
937;3404;1558;7246
938;1076;3137;210
939;127;299;343
940;1361;1416;1591
941;452;1395;1673
942;837;1656;1089
943;1286;3588;793
944;283;837;1516
945;702;779;1770
946;819;2111;158
947;2824;5770;6563
948;4461;1577;1880
949;4791;4727;177
950;1175;1209;323
951;6100;635;2718
952;6656;7783;835
953;1633;2090;464
954;2478;489;1310
955;149;677;1832
956;243;522;715
957;3179;759;812
958;1893;2820;119
959;12730;8834;1918
960;485;1835;132
961;297;52;588
962;1892;950;756
963;383;299;130
964;2140;3429;219
965;1036;1296;612
966;541;1128;248
967;3580;1099;3494
968;2585;383;401
969;80;6808;898
970;853;732;95
971;958;3056;476
972;3466;792;1332
973;1744;11136;1578
974;377;833;6052
975;2266;10465;12868
976;1955;5911;3674
977;1406;1218;330
978;4086;4213;6122
979;191;436;61
980;261;499;1086
981;121;10484;8311
982;1397;3973;182
983;517;2809;1623
984;4347;311;269
985;172;259;716
986;519;383;4365
987;2164;7773;4116
988;138;411;79
989;295;953;482
990;2779;286;1412
991;1488;284;475
992;3632;10191;5580
993;2699;10763;3105
994;1937;6720;3302
995;1065;2662;404
996;1327;1471;2692
997;4184;913;1422
998;817;1400;700
999;920;570;1081
