105;fail;1720;327;1227;167;1055;71;5357;19622
106;fail;1214;1246;66;479;621;329;4706;52036
107;fail;2058;387;206;423;363;560;10304;2420
108;fail;1505;690;187;199;375;526;242;640
109;fail;442;1079;1434;747;217;1540;2365;22533
110;fail;560;203;769;1361;148;1948;321;7401
111;fail;837;696;1154;550;611;3550;2969;3547
112;fail;3881;445;279;614;457;2827;711;1941
113;fail;1069;415;1651;329;158;425;1705;5741
114;fail;537;62;286;315;1404;683;2424;7572
115;fail;3681;612;282;165;38;1372;112;3375
116;fail;588;1236;137;882;1086;470;5787;3747
117;fail;1078;683;591;432;763;637;1228;515
118;fail;574;4450;222;5;113;3646;104;17702
119;fail;1803;1012;474;457;370;1818;9675;8889
120;fail;892;128;263;1352;1514;53;4919;4673
121;fail;1972;2142;540;296;162;863;2010;4943
122;fail;846;553;297;391;229;9314;9473;24060
123;fail;1411;565;547;2150;197;1933;910;21512
124;fail;1046;619;1439;263;500;1683;5202;6786
125;fail;704;335;911;446;84;1543;12113;7614
126;fail;1253;361;527;621;1846;1343;3554;8948
127;fail;737;565;1222;313;486;4020;6461;33368
128;fail;930;218;1017;143;336;1224;2270;8304
129;fail;1414;282;190;299;805;2414;2955;1611
130;fail;890;247;370;611;236;168;780;15133
131;fail;454;564;470;277;993;1297;3742;8486
132;fail;1386;308;590;378;1016;222;8069;13524
133;fail;5219;1005;246;514;331;1019;243;11591
134;fail;1829;886;1334;704;1052;5074;1546;7312
135;fail;613;1160;447;796;139;3151;1383;11982
136;fail;314;1149;478;599;161;1187;2641;6600
137;fail;518;631;583;95;159;1271;1680;31241
138;fail;1021;2792;1271;723;92;620;5750;30255
139;fail;1554;3297;392;616;589;563;28103;7843
140;fail;624;277;3363;359;74;2519;1999;3086
141;fail;198;484;234;238;102;2220;18479;81862
142;fail;3241;656;432;1167;164;3361;219;17475
143;fail;509;291;297;577;45;842;1974;1677
144;fail;1576;1435;3747;1099;2520;274;38916;1452
145;fail;500;117;449;1782;249;312;9179;205
146;fail;3424;377;687;536;1243;4879;3064;12969
147;fail;533;625;1320;220;980;1567;2763;19962
148;fail;2564;2236;325;926;230;935;13978;28071
149;fail;51;1253;876;587;2874;3291;2706;21511
150;fail;375;202;402;572;597;617;3999;1300
151;fail;373;128;343;726;583;2214;8547;14961
152;fail;857;284;1548;719;1316;1070;3511;2011
153;fail;4280;178;841;409;238;969;10853;9061
154;fail;1541;2094;759;269;1365;237;1568;632
155;fail;811;2321;1211;571;774;3278;3612;3442
156;fail;1697;483;1152;1640;574;291;8424;1678
157;fail;1884;406;1453;189;362;5485;14937;30083
158;fail;2039;113;296;207;1407;3430;648;22334
159;fail;2749;858;1223;409;579;900;841;722
160;fail;785;293;662;204;71;699;4552;1716
161;fail;2170;62;1509;137;617;1430;14130;16635
162;fail;2591;583;683;282;945;600;2726;141
163;fail;1016;1338;494;76;563;10140;31247;5537
164;fail;414;558;284;385;2011;261;28592;53968
165;fail;2787;2069;709;290;327;3807;11638;2153
