93;1980;60;2473;94;89;157;532;25;72
94;120;7390;1453;1423;12;1089;37;121;51
95;24;3170;1090;1924;1653;580;186;18;74
96;954;1824;2319;35;43;717;14;58;61
97;1946;6;474;925;1359;538;34;41;18
98;1263;3214;2453;1996;1572;1089;279;33;17
99;1891;7365;65;45;1846;1098;715;71;18
100;670;2901;2355;1335;1064;236;20;35;31
101;1910;2792;2350;1456;1288;589;82;21;48
102;2003;2959;1401;3297;16;275;30;20;3
103;1683;3108;2514;1390;1599;474;510;169;43
104;1894;746;51;1179;1271;1570;103;56;34
105;1617;4907;275;2093;4477;39;585;26;64
106;2207;3026;114;193;155;1355;180;23;63
107;201;1790;577;2026;1555;1883;15;160;101
108;4456;88;37;634;215;363;16;100;55
109;4353;3137;133;2204;23;128;1103;145;32
110;1889;223;2298;408;28;387;97;25;159
111;31;3110;2568;26;447;1569;1106;56;35
112;527;3177;28;1260;1567;1461;13;124;99
113;1767;1364;2488;1466;126;43;423;22;121
114;1722;183;560;2022;1789;656;503;86;63
115;1859;26;2331;2191;1779;611;24;204;106
116;4484;167;2305;2052;487;880;265;120;67
117;1915;115;8;303;1537;668;214;140;20
118;7;2785;118;2059;1662;26;143;52;41
119;1816;693;57;313;68;165;48;77;29
120;1920;169;2171;795;1001;1553;21;53;138
121;44;3259;2235;102;1707;818;359;162;53
122;1990;3249;2328;483;1753;1202;678;158;20
123;2042;3232;2201;593;1604;986;192;83;39
124;151;3085;1497;1805;132;1541;638;78;37
125;1893;3598;81;288;1219;8;572;121;24
126;4747;950;155;889;32;1540;399;148;49
127;4577;47;1171;266;59;6;28;38;129
128;29;735;1606;146;49;443;558;83;39
129;1990;77;2399;1013;68;862;30;61;158
130;630;50;5719;1418;1648;745;572;63;21
131;966;3031;2633;136;7;1498;707;85;80
132;973;1426;2454;2253;1069;90;1029;167;37
133;4341;2864;281;818;1055;305;269;16;22
134;60;10;600;2463;1504;78;499;134;36
135;1818;48;1644;1466;29;37;15;137;44
136;1283;1028;2261;442;28;27;22;63;49
137;2025;3461;2299;7;126;165;35;223;25
138;2009;87;2349;1735;10;607;680;144;21
139;559;48;2657;2098;1275;1501;19;56;89
140;19;294;2585;145;1793;1932;28;78;88
141;3837;2734;2577;103;1765;912;60;47;37
142;2;3128;2065;920;1752;1602;217;0;38
143;1917;166;390;41;28;374;21;26;62
144;4767;94;2334;2085;1214;1484;352;24;129
145;62;3168;4018;2173;550;15;17;224;18
146;2119;273;2536;13;1595;812;753;16;89
147;716;2263;958;2270;34;2590;94;20;17
148;53;1689;2512;2015;1758;523;302;3;19
149;1343;2967;991;1973;260;97;59;57;92
150;33;3109;2250;2118;1547;1380;55;48;106
151;1949;7152;2346;617;1780;25;1221;17;149
152;4508;3184;112;1969;110;61;611;75;33
