;RLS-N2;EA4;pmut2.25
623;1358;135204;51147
624;4570;143031;17215
625;2753;45629;35540
626;14731;27411;24334
627;39581;81532;1780
628;14843;3525;41276
629;6428;27314;32947
630;26397;29903;26177
631;13747;47492;57496
632;7082;15915;5036
633;14789;40373;24388
634;13796;46153;49947
635;28962;21108;24655
636;5607;8655;18302
637;10040;19927;41992
638;16516;5065;30329
639;31049;14915;3674
640;33278;689;93934
641;9262;24183;21789
642;39075;31157;2174
643;39158;13605;13631
644;9740;15490;5576
645;1138;31549;40889
646;14875;27783;7131
647;1073;23746;66965
648;45752;229;32989
649;14373;7111;7031
650;5389;3337;35826
651;15377;51547;42588
652;32919;7597;19566
653;3653;7386;34141
654;1364;2666;2622
655;11612;90464;14357
656;21260;78177;6543
657;19704;13259;12683
658;35130;31498;11627
659;12960;749;60070
660;24819;702;1307
661;5156;8997;19276
662;6283;28074;15298
663;110788;17675;52236
664;18287;4227;74871
665;6467;33365;20783
666;3790;9235;16561
667;16346;48098;15691
668;14041;16653;34466
669;40350;78476;58920
670;21787;60208;54503
671;4743;5475;15804
672;2614;35412;9274
673;7757;12736;16860
674;5677;12488;143
675;15451;25156;7385
676;53080;31330;8942
677;10545;15584;32043
678;6335;7851;40196
679;3337;71294;24197
680;25740;33331;9128
681;28989;6204;1488
682;26062;4845;48999
683;3998;17884;31227
684;68465;45176;108914
685;62112;16427;9855
686;6900;17516;31174
687;11783;7893;46449
688;65870;2006;25290
689;11874;31774;21351
690;1498;38065;46298
691;16648;4421;6771
692;1756;25720;46575
693;11686;15722;119046
694;42246;44439;25312
695;11066;91914;62640
696;10686;6982;51418
697;3033;11688;7914
698;30695;45088;36693
699;11875;19066;25167
700;31559;20994;22479
701;7369;16848;12272
702;22092;369;11170
703;5428;52348;6616
704;11417;21826;6230
705;50340;52542;15933
706;13320;117590;5442
707;13738;35873;41936
708;4116;29476;33474
709;8923;20000;16206
710;61474;13511;36807
711;5234;75441;12570
712;8121;10720;17682
713;12821;11190;4893
714;118999;6876;5689
715;2262;15971;11480
716;9513;14299;43283
717;3172;9737;5355
718;27047;15271;5330
719;1533;13776;2785
720;19406;1504;45221
721;4740;7064;7533
722;42047;27243;5850
723;16608;23000;40153
724;10878;1274;14633
725;227;8402;16251
726;14832;8544;9643
727;36264;20282;22935
728;11330;25589;7747
729;15643;31285;17428
730;13967;20148;2315
731;10720;23716;2065
732;24682;25299;14518
733;13548;16979;37512
734;26896;31849;37479
735;2457;8623;3352
736;1575;150449;9499
737;11146;21698;37089
738;15469;14527;21306
739;162235;18206;2026
740;14973;2821;5751
741;5828;4900;20065
742;44369;3979;1646
743;50409;57628;7483
744;7620;1692;19482
745;18151;30843;48962
746;16039;34873;2515
747;130;24507;33894
748;857;29155;4203
749;89880;6829;13504
750;36366;8404;17309
751;22079;20257;12008
752;7452;15405;33247
753;43937;58382;15501
754;49938;31201;1863
755;1074;6447;63586
756;2739;14438;27493
757;4453;6393;71390
758;28078;35845;84260
759;3158;11605;17342
760;5754;8800;12076
761;5710;49843;53167
762;13750;1703;13883
763;27927;46469;10135
764;8927;13038;29561
765;11093;52387;6931
766;50938;3461;35291
767;4230;70297;2720
768;9015;12218;5033
769;62808;18826;7259
770;7690;40714;4960
771;4453;70;2724
772;2629;85421;73471
773;19183;484;67594
774;1981;647;53508
775;18094;10698;11774
776;56339;10261;8384
777;30412;10392;4540
778;6143;41687;3767
779;4040;1655;22369
780;5795;23162;2661
781;4787;53717;51239
782;1597;9631;8063
783;14543;4488;41430
784;15197;82195;48809
785;1815;2219;18245
786;39438;6982;40843
787;15375;13627;4395
788;59111;53367;19829
789;44713;32655;42714
790;5670;33879;65936
791;4160;33391;3932
792;44259;11933;33445
793;1179;16447;13997
794;17383;1643;102
795;15360;2904;4247
796;23614;17323;21304
797;9030;72754;9696
798;6464;4805;33303
799;9019;12878;136677
800;4570;16114;122657
801;1877;199;100226
802;2997;13372;17863
803;37973;78737;4474
804;582;12200;700
805;19671;10893;11255
806;2124;100801;25743
807;28755;13713;25622
808;31157;3674;29248
809;1078;67132;40842
810;81077;12774;14157
811;10422;29784;13778
812;5077;11196;14048
813;10710;4621;2059
814;11092;39168;42093
815;33192;4909;17318
816;18119;3852;41785
817;35950;5478;14855
818;3251;8160;58514
819;11830;55737;25634
820;36037;87378;28292
821;27529;43014;22210
822;7656;2497;13242
823;33523;777;28048
824;12467;5216;16310
825;25150;1708;20220
826;10826;66849;23271
827;9504;36450;12342
828;40438;41346;1536
829;23834;65688;11614
830;522;44119;15211
831;91775;68426;4740
832;11202;1033;14510
833;8129;19465;25398
834;16888;22662;9283
835;17798;7727;2212
836;7080;19698;15905
837;34038;40462;4597
838;18628;15371;3703
839;61447;3744;40861
840;4678;17642;5604
841;26156;181;2085
842;2361;8688;8279
843;14495;29377;20335
844;34108;19925;4622
845;38854;9959;4634
846;8656;11754;4231
847;7035;75450;16333
848;33595;3180;19469
849;3858;35973;26656
850;64580;25642;43194
851;26903;2541;143288
