id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
202;6;1000;0,50;1000;0;21;2;244;0,244
203;6;10000;0,50;1000;0;74;7;84;0,084
204;6;100000;0,50;1000;0;165;23;32;0,032
205;6;10;0,60;1000;0;1;0;927;0,927
206;6;100;0,60;1000;0;5;0;608;0,608
207;6;1000;0,60;1000;0;22;2;272;0,272
208;6;10000;0,60;1000;0;54;7;95;0,095
209;6;100000;0,60;1000;0;195;23;39;0,039
210;6;10;0,70;1000;0;2;0;940;0,940
211;6;100;0,70;1000;0;5;0;630;0,630
212;6;1000;0,70;1000;0;19;1;294;0,294
213;6;10000;0,70;1000;0;59;6;104;0,104
214;6;100000;0,70;1000;0;127;21;37;0,037
215;6;10;0,80;1000;0;2;0;934;0,934
216;6;100;0,80;1000;0;5;0;669;0,669
217;6;1000;0,80;1000;0;17;1;316;0,316
218;6;10000;0,80;1000;0;45;5;110;0,110
219;6;100000;0,80;1000;0;135;19;33;0,033
220;6;10;0,90;1000;0;1;0;949;0,949
221;6;100;0,90;1000;0;4;0;753;0,753
222;6;1000;0,90;1000;0;13;1;425;0,425
223;6;10000;0,90;1000;0;36;4;157;0,157
224;6;100000;0,90;1000;0;126;14;49;0,049
225;7;10;0,10;1000;0;2;0;977;0,977
226;7;100;0,10;1000;0;3;0;840;0,840
227;7;1000;0,10;1000;0;44;26;1;0,001
228;7;10000;0,10;1000;331;482;423;0;0,000
229;7;100000;0,10;1000;4509;4945;4767;0;0,000
230;7;10;0,20;1000;0;1;0;992;0,992
231;7;100;0,20;1000;0;8;1;431;0,431
232;7;1000;0,20;1000;33;93;68;0;0,000
233;7;10000;0,20;1000;790;985;900;0;0,000
234;7;100000;0,20;1000;9350;9924;9683;0;0,000
235;7;10;0,30;1000;0;1;0;989;0,989
236;7;100;0,30;1000;0;12;3;126;0,126
237;7;1000;0,30;1000;70;145;114;0;0,000
238;7;10000;0,30;1000;1246;1480;1386;0;0,000
239;7;100000;0,30;1000;14238;14951;14643;0;0,000
240;7;10;0,40;1000;0;1;0;983;0,983
241;7;100;0,40;1000;0;17;7;20;0,020
242;7;1000;0,40;1000;116;194;161;0;0,000
243;7;10000;0,40;1000;1756;1991;1881;0;0,000
244;7;100000;0,40;1000;19227;19973;19612;0;0,000
245;7;10;0,50;1000;0;2;0;957;0,957
246;7;100;0,50;1000;0;22;12;1;0,001
247;7;1000;0,50;1000;164;245;211;0;0,000
248;7;10000;0,50;1000;2218;2482;2377;0;0,000
249;7;100000;0,50;1000;24190;24905;24612;0;0,000
250;7;10;0,60;1000;0;3;0;874;0,874
251;7;100;0,60;1000;5;29;17;0;0,000
252;7;1000;0,60;1000;205;296;261;0;0,000
253;7;10000;0,60;1000;2753;2981;2878;0;0,000
254;7;100000;0,60;1000;29247;29936;29619;0;0,000
255;7;10;0,70;1000;0;3;0;705;0,705
256;7;100;0,70;1000;7;32;23;0;0,000
257;7;1000;0,70;1000;274;344;314;0;0,000
258;7;10000;0,70;1000;3243;3483;3385;0;0,000
259;7;100000;0,70;1000;34286;34921;34641;0;0,000
260;7;10;0,80;1000;0;4;0;376;0,376
261;7;100;0,80;1000;17;38;30;0;0,000
262;7;1000;0,80;1000;326;395;368;0;0,000
263;7;10000;0,80;1000;3802;3985;3900;0;0,000
264;7;100000;0,80;1000;39325;39951;39689;0;0,000
265;7;10;0,90;1000;0;5;2;40;0,040
266;7;100;0,90;1000;28;44;37;0;0,000
267;7;1000;0,90;1000;401;447;426;0;0,000
