;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
294;3117;4978;15451;45664;6452;62380;22173
295;27443;21569;9488;25751;6120;8969;5081
296;fail;6196;9240;59550;9904;7041;28722
297;18328;7802;52876;2746;20973;29762;118
298;fail;27561;2307;25265;36024;5551;8956
299;fail;2028;14432;13777;1825;2131;36524
300;8247;27411;11202;33051;32809;3977;105466
301;fail;37092;14953;10025;18805;11887;17245
302;18655;2683;24385;68723;5251;6184;4417
303;fail;9083;15842;26805;41;18716;561
304;fail;33879;8485;18503;155917;4584;3259
305;31525;51501;58443;31161;4039;873;7001
306;6690;10085;125643;16919;15497;7313;20457
307;23907;1412;7914;83200;4512;7138;10881
308;18531;30579;20310;15696;579;6781;34335
309;fail;20485;46554;13981;6179;2162;51058
310;fail;63241;16419;33399;14213;14780;5598
311;11310;7290;20038;78192;63739;58853;19062
312;453;2451;3316;45995;4417;52993;5397
313;fail;11338;28539;12625;125310;12264;2271
314;1112;11168;55906;4072;21568;35173;74009
315;2498;18256;7155;52543;26776;755;1298
316;fail;2516;88601;8823;9518;13250;12314
317;fail;11433;17840;11369;16906;17125;74985
318;9542;2565;22899;20411;7593;21379;14111
319;45665;13094;288;3148;29443;95351;26417
320;25481;29586;15113;68192;6428;9340;25483
321;566;12018;5775;13009;89420;5282;8439
322;5918;9904;61461;3140;23872;1254;11446
323;17882;4386;14948;120385;37361;16142;55048
324;fail;29449;77580;3873;5551;29700;15566
325;58398;6744;8317;4464;4798;13682;7637
326;26978;77198;5715;38534;4980;21562;20413
327;716;1433;5607;16509;9347;25933;3666
328;3189;46142;143291;31099;5683;37928;11299
329;fail;680;531;85758;2108;14661;21915
330;12889;39303;60136;59748;12581;43663;8133
331;15813;9443;15707;2925;8915;148516;1697
332;10541;31305;28236;20214;18825;8678;1665
333;7820;873;31731;11507;14972;62904;43714
334;12685;5148;37722;1532;10581;56254;40249
335;fail;67693;12509;72297;18693;15029;22636
336;fail;319;9833;38999;40866;18944;57554
337;3979;3049;1706;17670;69298;4117;3336
338;fail;47910;25779;25578;2800;23401;453
339;17506;6200;37299;33698;5983;16494;6860
340;4713;9382;41780;61311;45852;31900;12898
341;fail;5651;12810;14293;9014;9155;2344
342;49600;8284;15106;25937;15378;7592;12781
343;11385;13061;2307;20708;7553;13571;3789
344;fail;1466;55145;10511;8908;22456;11097
345;2379;63733;16182;74581;29303;56451;36209
346;17383;8161;2255;10471;10674;73573;15560
347;5715;8749;35402;9961;1750;25464;15530
348;fail;6819;10587;3501;2721;11450;13272
349;13486;3374;20257;12135;35796;48296;1043
350;56897;297;64830;18226;2218;17489;4134
351;355;17010;9139;31049;32949;163988;4540
352;fail;2689;3147;7584;43291;57409;2100
353;fail;48751;13208;108176;14507;16347;33387
354;19280;34480;25678;627;19361;16346;4900
355;fail;16041;27566;17316;18239;63535;8488
356;fail;7335;62476;20182;14170;6077;47409
357;33595;10822;8078;51379;79872;4424;28159
358;fail;20802;8994;27994;8890;46068;32893
359;6105;9807;13055;16019;45185;12884;91833
360;18287;38255;26179;7919;8868;56382;4901
361;20871;18278;9070;37616;21101;18434;3926
362;8742;55223;44401;23464;13596;1506;139131
363;fail;13983;16962;11078;9877;14769;2824
364;35647;29752;8700;19485;65017;52938;1679
365;11676;5573;22909;38718;1667;48148;74493
366;fail;18096;137801;7151;29187;9429;126722
367;fail;46724;16477;16802;12069;63146;60913
368;fail;20085;6138;18077;38919;24094;33192
369;fail;2668;4366;18367;20939;5443;114769
370;13858;1261;3533;24693;10043;6993;43889
371;15559;66756;15079;7826;13016;2581;58056
372;49961;30142;5590;91293;40433;6084;1978
373;21979;1139;12586;8039;82855;2939;25823
374;9198;6907;9379;30155;3194;8554;27353
375;33888;2604;81175;56650;19861;136883;12310
376;fail;16977;61448;86;2358;20293;8812
377;3903;28060;6930;48371;5997;16727;37174
378;fail;63441;61309;22194;36316;21449;4641
379;fail;25925;20017;6280;16002;34354;27917
380;3987;30678;4963;4081;5347;3711;37615
381;fail;10548;2446;11061;27487;39202;6841
382;5684;5905;78879;88904;68422;43495;2074
383;fail;51474;35180;5630;9401;16814;24845
384;fail;38947;17722;53833;1732;3452;15283
385;fail;10003;24967;58460;23324;12119;33522
386;17955;17251;8858;6830;8406;40877;43995
387;8622;17511;4093;42857;8991;7707;2047
388;fail;3505;14804;18942;3353;12367;2409
389;fail;3934;15411;12039;13199;41015;1689
390;16812;31732;11536;57938;7302;36503;21918
391;fail;977;8138;52829;16273;120486;1665
392;fail;2607;54414;7791;5832;8552;3875
393;fail;6929;15763;52108;22205;6457;55087
394;27755;3531;20027;33991;31664;11677;11055
395;9861;30159;24612;34603;40750;36371;4822
396;889;22609;18631;52972;351;8335;24381
397;fail;2928;22049;5329;12625;9432;21155
398;3080;66586;46;126376;6993;456;17465
399;2189;11066;9715;22249;597;92600;18308
400;fail;23316;44006;13147;11777;1637;15201
401;434;5657;16869;69381;5864;3088;21388
402;fail;6951;33259;49580;23355;45939;16047
403;fail;2200;1141;40072;22003;35973;31183
404;5507;3629;97518;12528;685;25276;6860
405;16918;9072;7829;46834;4371;7669;16556
406;fail;2481;9046;68082;8606;9225;32377
407;fail;22000;92892;26669;8474;6551;24682
408;3274;30123;52120;4497;26007;70094;65390
409;fail;33025;30932;1888;2224;12431;9165
410;fail;2001;1381;78310;5267;9744;19477
411;4598;39757;16382;85108;31652;4762;6479
412;4348;22113;23219;9848;4404;294;49026
413;fail;7531;24131;112744;16993;20398;12130
414;1184;6084;5523;12793;52697;40682;21410
415;fail;37069;1248;2489;2428;119452;65983
416;fail;22509;64306;81967;84200;2832;471
417;26326;60257;4666;28493;5574;30279;16190
418;26939;64829;52007;10762;2853;2486;33017
419;fail;39194;6642;24455;23947;51788;8605
420;2494;11508;18830;13985;10338;49494;13211
421;fail;17060;10637;23387;56084;1684;18087
422;fail;11647;5556;14349;144;14398;11062
423;fail;1141;77733;47737;5438;3905;14693
424;6272;18341;33828;10972;9635;46367;19651
425;9130;20860;3303;7533;87858;17336;3391
426;2618;7488;4364;17680;2832;35935;24139
427;6139;5492;2381;48694;1093;9192;51957
428;820;13672;80606;99693;60294;63983;68725
429;fail;27544;2654;24882;3495;3804;39005
430;fail;1283;20502;27937;23628;8749;59412
431;fail;12170;3692;19864;92613;6972;26961
432;7608;6992;53525;27218;44791;6049;1909
433;33011;4622;20801;36457;43099;28447;4574
434;fail;30616;83344;6176;75270;10382;1413
435;fail;34410;8892;3926;9749;26404;21552
436;fail;22660;36241;18878;13865;165973;2602
437;fail;22367;32976;12102;10392;100890;5395
438;16075;24593;57684;15884;931;14033;12831
439;fail;1081;24952;5087;1615;15576;54539
440;9746;51261;2120;135183;22426;12146;46900
441;fail;82564;3084;36071;20697;16025;11918
442;2440;21362;20335;8494;21099;15238;60554
443;15357;2543;40422;3218;91;21618;47260
444;880;30101;12068;1008;12642;11708;22493
445;11298;1149;6098;269;6606;13099;414
446;fail;7405;20634;38065;50051;39744;14838
447;fail;12848;26818;65101;14105;381;98272
448;17613;25102;20497;75874;2659;67464;1613
449;fail;36963;26879;110431;3444;31334;8905
450;4432;45843;27656;23230;18555;2671;155096
451;15688;4786;23302;48218;3525;45299;8441
452;fail;623;2685;5199;311;21871;14834
453;fail;53001;3932;6885;11814;8791;2482
454;3656;41947;39465;11863;43446;6503;9193
455;927;6086;30885;12251;22203;66863;50498
456;7004;6931;13510;7799;9110;15541;19391
457;fail;20350;52984;30531;52881;26491;151109
458;6831;8058;16713;21145;10785;17167;23389
459;7913;25229;34005;15187;4101;18315;141750
460;fail;2195;6963;45582;6678;19355;14055
461;fail;6926;52096;14232;5570;16387;21023
462;fail;5200;75587;31846;624;57124;21492
463;1659;28662;9797;20112;22541;145976;25357
464;fail;27202;15620;47467;10072;2980;30515
465;fail;21049;53139;15733;20430;6294;11860
466;fail;16698;728;20473;58938;18038;29824
467;13705;58768;21453;71726;25781;60051;29601
468;fail;11212;42107;66589;5382;21299;36168
469;fail;4373;21452;19003;3773;26304;22956
470;fail;50450;64339;16410;43656;16333;10214
471;14283;3442;11719;23102;32981;3393;53538
472;fail;3154;35339;7208;41470;17758;13665
473;253;2265;3221;103876;6837;1883;28229
474;fail;22033;6087;143604;19175;10643;13325
475;3031;789;2805;4342;11636;1827;4929
476;3115;425;26536;24347;50373;98701;12965
477;2079;49441;14740;9832;6355;55202;2952
478;29461;19241;36704;17081;58412;19413;30271
479;17713;26921;22347;23594;45898;585;1051
480;fail;7386;23889;35287;133382;23768;35275
481;10716;3094;69817;11227;37539;27332;155859
482;fail;5649;38422;41268;4545;3984;4399
483;fail;55546;40954;5497;18014;17234;4228
484;fail;3665;41940;20982;21047;107368;4057
485;fail;43633;22263;25427;23334;3405;4182
486;fail;343;7830;40267;8901;19260;35966
487;3146;9050;22392;23265;18623;49170;16595
488;fail;55283;31969;64735;40528;24216;5900
489;fail;102826;24800;3275;8097;124563;24614
490;32334;30537;39254;39892;24223;61282;199254
491;4559;6185;9353;3688;21430;14487;10720
492;fail;6311;11471;7165;9023;9225;17474
493;1011;14683;22280;76574;5416;9012;24547
494;fail;10150;27790;8480;30349;6681;38349
495;fail;18828;26615;11829;2148;13175;15762
496;fail;5687;60274;11882;2084;6594;13902
497;fail;7857;3331;58754;32711;32131;12667
498;9144;2582;12636;1255;4308;48740;29104
499;fail;13659;6255;64984;37769;31189;41051
500;14699;38894;18433;45451;12689;40835;14637
501;fail;7352;9032;15210;32291;13311;37817
502;2799;15067;1706;10125;5963;14716;64508
503;5043;3441;21430;32590;19709;14815;9142
504;18770;1536;11581;57473;33751;52393;2215
505;15569;17683;9277;5550;2108;20398;14010
506;1559;94;24082;7096;19572;35551;14778
507;2955;42528;23315;30742;1077;138105;4026
508;fail;2256;82008;67136;1009;8139;20491
509;1425;7548;4161;12717;34641;124963;31112
510;fail;14296;21566;13001;5940;62167;26970
511;fail;927;21607;71697;33369;91788;28520
512;9488;1543;39642;25397;16166;23416;15593
513;fail;39891;46908;44370;17096;4663;6235
514;956;66704;41695;3575;37457;4817;17355
515;199;4573;22891;13447;18154;3988;9184
516;28306;16878;34973;31017;31839;71280;13129
517;13906;15230;34165;39531;7100;2187;50292
518;4786;19443;31900;33581;32249;8391;1499
519;fail;6676;26997;137964;62509;11673;11443
520;11346;2918;1829;59523;35246;9664;20103
521;2618;9013;25721;3245;4794;33068;14464
522;5950;14108;16062;10634;48705;9674;1712
523;11023;4831;7954;3822;25458;15364;18179
524;1232;37741;1895;24092;2244;9526;13704
525;fail;13723;27355;57753;43635;14729;6751
526;fail;16875;17086;53750;1584;4146;4058
527;fail;4380;59161;90008;13262;79701;4309
528;fail;63904;22517;6197;14434;26822;6950
529;fail;17469;83241;18494;10733;122244;36678
530;fail;30642;5088;27647;5106;21518;21657
531;2054;46684;35132;35374;6248;11273;8293
532;3440;14430;10913;54126;93095;7944;7609
533;fail;29447;12413;106711;21324;465;104724
534;19090;6551;2173;15557;21255;25317;7612
535;331;29999;13689;4042;6917;77942;3898
536;7686;14737;188;5116;8649;17136;2046
537;25293;32276;113395;25254;2808;6549;23037
538;13171;23652;9899;21943;16087;19728;33640
539;9097;20377;26012;27241;2671;12968;2971
540;231;15666;4495;18951;79567;43635;33286
541;fail;7553;55065;619;42806;1909;34095
542;fail;82771;4429;19352;16776;2824;88453
543;fail;18780;33961;7572;38058;2148;11629
544;32004;11928;19649;44341;9061;9204;1406
545;fail;22274;24870;24186;8452;13759;22792
546;3000;7353;7594;20099;50309;981;18118
547;35370;26806;61907;24761;28439;66577;34795
548;fail;3785;57403;15412;10485;13450;25949
549;60079;2771;17930;104550;53597;7024;19441
550;fail;25699;17199;25832;1831;13514;24726
551;fail;6901;9590;45134;11556;59723;16535
552;475;33593;37574;2611;17744;26799;2440
553;fail;26572;56867;27763;16680;4503;32391
554;12873;14337;32868;23874;46889;16950;6161
555;13501;50998;3451;50079;4351;49713;35545
556;fail;302;8464;27635;114206;17560;2756
557;66030;4614;77080;15694;6180;7750;9237
558;fail;18038;8291;10607;48429;40771;13718
559;267;24718;30037;14612;3051;17851;6013
560;59794;22919;17245;22959;1986;17183;55824
561;6773;6246;1617;6980;7090;7183;411
562;fail;6154;6175;46903;47437;138370;38969
563;fail;39529;22589;58340;47308;36449;27907
564;2244;23431;42445;29669;218;50390;1774
565;1620;4108;6302;28959;3250;24505;9962
566;50039;17255;17606;7421;8562;6177;14792
567;fail;547;1118;36475;3212;4010;4217
568;1633;34409;15391;16960;39695;3807;11175
569;1797;6803;45178;40593;52964;33288;34253
570;fail;18634;11998;6408;19796;46795;48186
571;fail;10123;36886;38933;5129;20780;8746
572;fail;26551;3367;11587;24975;4447;24517
573;fail;778;41;27364;6169;14546;28726
574;fail;28738;64830;33366;32059;17459;19089
575;22530;17519;28849;78710;14151;9560;59331
