91;145;5292;85;10235;1046;1263
92;5595;43;87;88;56;854
93;4351;14597;103;30;3216;2
94;71;46;10287;188;83;703
95;52;214;11901;3692;608;92
96;3885;1635;34;533;2526;1830
97;69;82;4588;198;10;2
98;11;1862;5902;54;2152;3940
99;4342;6175;30;48;29;1658
100;90;1905;92;86;99;32
101;5299;5137;153;71;2957;669
102;26640;5587;160;648;116;51
103;15163;175;8092;3938;1465;61
104;1393;1232;10497;13;54;2492
105;5156;514;71;411;38;257
106;87;2342;256;2683;1272;122
107;11322;10182;56;9617;3916;5314
108;37;44;3531;12;82;41
109;20245;146;6289;751;1146;106
110;6801;12391;52;218;95;737
111;1;45;1158;113;808;18
112;2938;148;99;11189;40;1384
113;4421;115;176;478;356;60
114;5360;24886;2422;10330;2082;77
115;26;7238;8779;133;155;805
116;3669;6947;115;4764;7280;64
117;1400;613;5;4350;999;123
118;18;4835;70;3680;2034;250
119;176;246;5046;129;3239;3020
120;1690;39;15355;48;4353;199
121;142;202;25;136;4024;90
122;7078;195;871;3330;31;43
123;19700;6847;4788;1134;122;716
124;6411;35;83;1538;47;60
125;7984;204;2630;4359;840;2272
126;18;1489;3991;165;74;101
127;30;153;170;16;1321;240
128;735;5756;28;1890;3135;26
129;2004;157;4730;148;39;17
130;3;173;159;5156;12;1126
131;185;67;3514;80;13;13
132;18;1961;52;5033;5356;45
133;14055;38;9046;57;2672;1745
134;8887;2922;10796;1546;1782;689
135;157;48;3;21;969;30
136;7389;75;2066;115;7135;3306
137;3834;36;3472;41;1159;81
138;176;150;8;92;19;3223
139;45;152;115;34;2;46
140;16813;6411;59;45;87;1573
141;948;87;3945;61;2991;1637
142;104;16360;43;210;1673;64
143;4554;39;39;261;139;74
144;163;2312;39;167;5543;81
145;63;997;1736;83;7465;99
146;1405;83;197;36;1355;129
147;14067;454;81;55;49;110
148;144;137;4262;84;681;63
149;17602;1;129;3523;427;6
150;81;3686;640;3480;4623;136
151;4267;1490;5205;6;2738;538
152;12470;8524;63;8448;1166;153
153;71;2731;115;99;5672;3909
154;111;35;63;6395;7;422
155;72;10644;147;2291;679;45
156;12963;479;102;114;2296;41
157;2577;577;57;15;137;2315
158;908;48;4816;1497;129;47
