;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
296;6752;111;26;49;71;48;228;122
297;46;168;5343;23;4183;464;551;71
298;272;103;38;80;41;2365;165;180
299;227;43;2968;19;1401;16;34;149
300;4538;705;1450;861;3199;664;31;33
301;262;5155;10067;1002;43;559;2;62
302;289;1223;17;2857;18;75;523;44
303;11365;17;52;52;2776;101;17;41
304;2943;3931;767;2404;4790;580;11;44
305;14243;92;99;116;1206;781;17;16
306;10231;3290;30;2299;2583;63;173;171
307;253;138;101;543;1123;229;24;178
308;11;153;1469;746;75;230;0;108
309;37;102;4214;614;2272;800;70;10
310;14337;286;3349;6596;872;659;138;30
311;171;fail;3317;45;2476;287;122;33
312;17706;579;1675;11;6;15;128;136
313;1682;81;36;37;25;1388;567;32
314;33;31;39;42;1144;22;171;13
315;543;130;122;5648;19;244;9;52
316;15066;53;24;115;38;31;34;95
317;12;63;15;48;487;70;47;61
318;397;31;123;6942;95;609;55;30
319;7719;4195;184;4214;644;1215;31;45
320;49;4675;1281;11;83;15;86;125
321;206;72;105;2296;411;846;451;50
322;1241;63;958;83;13;73;85;248
323;164;46;1483;106;1401;2031;20;49
324;9616;4344;996;2676;19;24;63;107
325;353;76;793;90;467;86;79;19
326;fail;4181;55;2197;543;1014;19;9
327;25;5348;81;16;674;19;6;59
328;18;2227;4646;51;850;8;136;60
329;0;113;11;158;27;763;15;81
330;6521;7077;4819;2206;1044;634;13;9
331;2;3056;184;4235;34;49;24;92
332;9;42;148;121;3837;171;14;196
333;416;83;400;26;52;586;16;116
334;293;79;1353;135;188;72;35;67
335;129;2103;3933;506;72;348;161;14
336;46;114;39;45;1432;115;175;38
337;16352;86;3323;1187;1871;411;52;66
338;6766;53;119;2927;3832;21;34;87
339;50;2677;18;40;82;35;181;146
340;141;62;1877;3272;37;1029;43;148
341;fail;2053;3949;1576;67;443;17;51
342;206;3119;1363;1969;9;859;306;28
343;124;107;73;2761;791;52;5;301
344;118;2666;3664;15;1224;22;44;120
345;3853;6010;95;2563;405;51;22;11
346;12024;46;2137;16;90;421;16;5
347;191;2208;1743;129;2279;26;51;413
348;145;418;18;24;1599;70;105;78
349;49;2798;1244;99;47;41;6;510
350;656;1773;82;37;117;1346;131;28
351;143;1869;5011;40;69;691;34;57
352;149;120;134;14;55;45;16;14
353;87;522;73;25;780;263;334;21
354;3406;4942;31;1745;1766;1391;62;52
355;119;39;22;1581;970;10;227;80
356;138;8471;55;35;19;67;638;59
357;94;20;11;102;140;1490;47;127
358;9609;2150;4660;45;117;332;21;84
359;5;239;4894;95;56;50;44;16
360;144;3251;15;387;1867;281;55;168
361;fail;6680;79;375;2138;10;70;37
362;92;55;7;485;3300;991;17;107
363;36;192;38;69;127;139;28;42
364;6291;4335;86;2564;2219;54;48;90
365;35;3833;53;128;2444;25;372;108
366;fail;97;93;3524;36;416;16;111
367;3331;187;141;2033;1675;644;54;29
368;685;174;41;5696;1163;1390;119;22
369;135;1996;93;1659;68;16;20;110
370;201;2273;31;1443;29;206;347;3
371;676;1332;35;99;2073;11;22;60
372;fail;2;4208;12;3204;1332;179;3
373;6948;167;22;2259;457;2;34;34
374;15;23;3611;27;861;22;45;26
375;136;5743;87;11;444;143;29;2
376;188;4012;2922;8;105;18;6;311
377;87;1397;140;3225;3374;41;16;15
378;21;2918;132;123;38;74;6;17
379;273;12;4888;822;2;48;280;16
380;13028;1575;51;46;1212;27;60;1
381;16217;2409;29;3777;1945;78;179;7
382;56;65;17;23;421;36;65;7
383;3684;115;18;67;2570;36;26;44
384;3401;5428;31;5703;8;106;9;106
385;9254;4828;3688;31;12;1869;237;59
386;14351;11;16;727;58;214;197;38
387;63;1580;42;2289;493;193;203;14
388;3449;1534;18;85;663;442;68;21
389;7525;73;184;5320;21;128;35;15
390;9092;96;56;5;188;186;56;170
391;289;100;75;39;49;38;38;367
392;86;26;2919;694;60;317;35;16
393;8338;2411;35;33;1075;523;22;87
394;9;34;139;1517;833;84;29;21
395;21;56;52;55;150;42;3;8
396;4537;48;57;76;31;54;532;48
397;4853;1350;15;394;24;41;19;58
398;172;5328;132;712;202;70;212;23
399;4577;9;6484;461;39;61;196;219
400;1840;737;67;61;299;11;32;49
401;72;295;2987;325;80;52;14;257
402;1;84;119;61;1477;83;84;16
403;1392;2227;4084;1702;570;34;48;104
404;fail;2;83;1377;2594;18;179;43
405;846;51;22;3108;732;274;63;70
406;4248;631;525;32;516;794;13;85
407;202;56;22;1437;87;56;602;44
408;17;106;0;157;34;296;83;100
409;266;12288;1403;921;3598;930;52;41
410;9922;79;715;103;1370;31;109;71
411;17067;247;85;51;1323;83;29;89
412;9158;6;5;4517;1269;31;36;205
413;62;178;2110;18;1872;29;2;14
414;161;16;5793;24;55;100;13;353
415;1884;fail;95;1570;57;162;20;17
416;fail;4305;38;64;16;1207;13;56
417;8549;5009;85;23;6355;1996;245;120
418;118;141;2471;74;642;1302;119;124
419;0;5110;499;71;3558;79;46;45
420;23;78;129;129;81;1580;163;99
421;32;16;3733;136;1759;61;24;47
422;8840;5349;7299;40;16;487;8;23
423;50;1609;50;42;1466;25;97;252
424;4446;46;127;5;77;1922;120;181
425;11993;45;4229;4176;897;29;108;250
