;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
5564;2;15;3;8;0;27;46;62;5;374;63;20;7;19;47;945;81;148;3886;57;45;7289;329;58
5565;28;11;3;64;27;6;26;27;13;46;26;32;76;27;7;1617;35;25;377;15;37;20461;659;356
5566;35;2;8;78;10;6;195;16;31;106;50;20;418;21;21;5646;17;42;24771;125;138;18664;79;49
5567;20;6;1;83;6;28;44;39;20;334;11;22;113;23;28;7281;82;39;3552;120;20;12673;34;40
5568;22;8;3;22;1;8;3;48;5;494;0;4;21;70;30;52;44;43;7516;66;19;23176;171;49
5569;4;10;8;58;5;3;80;9;31;403;66;52;11;12;27;4430;105;92;23;77;45;74;19;13
5570;6;4;7;16;31;4;66;1;25;302;58;24;32;12;13;3337;44;16;98;44;2;38;333;39
5571;16;0;2;85;0;18;89;8;26;40;31;7;31;65;17;8669;11;17;6194;28;14;111810;41;191
5572;3;17;0;3;11;3;8;3;2;163;6;33;295;18;22;2760;32;22;1309;25;9;206;361;58
5573;96;6;3;8;14;25;111;5;2;575;91;44;50;39;5;707;118;38;3019;17;57;28503;332;24
5574;6;15;3;5;9;18;29;22;26;1300;19;15;715;47;109;3314;93;7;1738;40;53;9865;18;89
5575;18;0;2;6;14;19;69;166;2;278;6;7;1549;5;7;1041;10;91;4736;19;33;257;24;15
5576;3;5;0;13;20;20;125;7;16;7;15;4;2;2;9;400;23;41;171;60;51;19;20;74
5577;5;8;26;90;11;2;26;17;10;124;40;17;70;4;11;2146;76;79;635;14;23;92;399;54
5578;8;7;8;4;14;2;11;40;3;1;30;23;1024;27;21;39;20;25;28;33;14;39089;5;2
5579;27;11;11;72;29;22;15;57;13;7;26;8;3;21;17;693;62;31;386;91;56;6209;32;69
5580;2;5;0;8;0;0;253;14;5;15;57;28;124;4;43;58;12;26;12;17;5;69719;1226;25
5581;2;0;13;19;8;10;99;42;1;22;9;24;779;26;6;5041;30;15;1820;16;35;6870;703;24
5582;17;14;8;17;25;8;70;96;8;6;17;25;302;34;32;172;55;33;6908;37;39;14795;15;115
5583;8;10;2;24;15;6;48;26;12;79;1;13;385;21;8;2579;148;51;3203;73;60;10969;190;101
5584;11;7;1;8;4;4;224;17;8;276;61;5;40;0;12;451;119;35;1060;89;63;17036;8;43
5585;1;14;3;1;11;13;24;16;4;651;27;26;920;49;30;315;17;25;64;29;30;10716;32;23
5586;3;9;13;23;6;21;11;11;3;1162;6;27;1152;19;5;923;61;40;5535;22;2;17025;96;21
5587;5;27;3;12;14;6;12;53;13;375;39;31;55;83;24;564;10;15;195;91;29;51904;437;26
5588;4;0;6;5;11;5;73;18;20;79;33;16;26;81;35;1323;38;18;47;115;19;120;51;64
5589;6;2;11;2;30;10;14;33;0;255;38;26;919;8;2;5330;9;32;88;70;16;186;17;82
5590;29;4;10;16;69;14;84;23;14;282;51;8;342;14;11;138;31;15;1728;22;53;6051;45;43
5591;34;0;5;15;2;2;101;27;26;131;6;22;6;3;18;63;49;29;53;195;29;16624;93;67
5592;17;2;11;28;3;6;11;11;4;15;40;14;352;193;25;1738;70;135;54;36;22;116;23;13
5593;4;2;2;21;42;0;14;23;10;78;16;72;836;2;55;2759;100;88;7329;1;35;96;122;73
5594;17;23;3;4;21;6;18;14;8;559;63;37;186;52;11;7961;8;16;792;125;24;13239;1051;48
5595;3;6;5;54;16;18;239;24;12;166;27;26;62;53;19;77;21;15;12822;250;63;238;523;51
5596;7;16;5;3;2;26;43;36;14;3;201;6;34;27;31;2626;15;13;4999;120;85;12997;571;18
5597;2;11;3;52;10;1;67;3;11;20;37;35;6;10;8;842;17;12;4877;25;57;89778;820;86
5598;2;4;5;33;4;36;74;25;21;323;74;11;617;35;25;5962;77;43;2860;74;15;11207;17;82
5599;9;1;25;46;2;15;1;70;7;99;5;20;0;16;20;6227;65;28;22334;137;18;8098;461;43
5600;34;40;7;3;17;2;8;31;8;10;64;8;299;54;3;0;30;8;534;14;56;64060;109;36
5601;14;8;11;97;51;5;32;30;19;86;60;20;108;15;43;11914;32;30;20;36;33;4408;30;104
5602;2;14;5;100;15;5;5;66;0;190;18;12;321;2;42;3084;67;22;3;34;9;24948;858;86
5603;8;14;6;90;14;19;36;87;8;4;3;12;379;61;36;6503;29;18;771;190;60;30845;1028;42
5604;12;2;11;0;12;3;115;27;2;50;36;26;440;120;26;343;22;32;884;16;33;10741;948;76
5605;20;1;0;3;22;2;208;42;7;172;98;59;490;7;9;4488;66;17;11;101;32;72;547;80
5606;4;64;8;2;28;1;42;6;24;266;0;6;2664;8;38;2903;12;18;25;87;18;39324;56;33
5607;5;2;5;14;2;6;11;53;18;813;89;12;2;13;5;1123;17;2;30;286;33;42007;399;178
5608;19;4;9;28;9;7;116;11;15;149;181;16;411;77;69;6444;348;87;109;20;70;14162;74;160
5609;41;11;6;80;2;10;18;32;13;125;24;36;12;68;3;18;32;89;112;34;0;2200;60;176
5610;40;5;6;2;53;14;131;108;13;297;26;8;120;44;11;76;13;9;3454;20;64;50;335;83
5611;46;23;3;18;0;3;11;8;46;70;24;27;1186;84;29;832;155;21;13;345;90;100;435;21
5612;30;1;6;5;8;3;37;54;16;400;57;34;1770;16;46;61;74;18;61;66;47;31139;77;42
5613;7;2;0;49;12;18;27;20;12;8;29;13;308;76;21;114;31;24;14853;35;8;14582;51;7
5614;5;1;4;9;3;1;4;45;13;11;36;25;16;11;5;14656;69;154;1154;199;36;1786;86;12
5615;6;12;16;18;4;25;6;15;16;21;15;9;21;31;10;25;12;7;1211;17;19;16014;9;73
5616;4;0;4;99;34;2;1;47;11;323;8;26;1150;26;35;5023;51;50;26;11;24;47;127;57
5617;3;10;7;11;18;0;24;19;2;27;119;25;1157;6;21;43;36;36;3617;22;13;12699;199;172
5618;1;3;3;42;3;9;81;75;2;25;7;8;20;44;18;3516;72;47;1924;95;24;18394;1363;48
5619;11;24;9;40;8;2;22;26;0;363;13;13;8;33;47;2779;22;33;3311;75;14;25328;156;57
5620;8;0;7;1;24;1;1;20;11;41;67;29;6;4;25;914;14;68;10705;1;43;40394;61;61
5621;3;1;6;104;3;3;47;13;14;65;54;6;118;59;52;30;126;27;44;107;39;5143;17;24
5622;5;7;4;54;4;3;39;63;9;258;20;2;616;27;14;12037;7;25;63;111;68;18048;55;22
5623;56;7;12;3;0;9;9;15;6;13;10;16;1990;44;21;1951;20;46;1891;115;15;15400;150;59
5624;1;0;17;8;2;6;9;3;6;29;54;9;83;15;23;3076;9;27;8017;98;62;75;791;135
5625;7;37;37;4;5;15;34;6;12;406;71;10;12;31;28;1433;7;39;51;13;33;17669;30;13
5626;1;18;7;31;2;5;104;53;11;122;11;8;601;23;10;401;66;40;1124;9;30;2479;482;87
5627;10;2;4;1;4;3;44;29;3;16;8;51;17;59;32;85;29;20;40;69;101;50219;775;61
5628;2;25;3;5;21;28;111;28;24;71;0;18;145;32;27;417;63;124;6385;150;46;8422;36;8
5629;23;14;7;83;1;2;97;2;5;16;2;22;13;63;5;1556;20;11;1161;35;37;3815;85;56
5630;17;7;1;10;6;14;104;30;12;135;54;60;401;8;28;2772;26;54;8359;24;6;8052;284;86
5631;fail;32;9;6;1;9;4;31;1;74;30;11;575;35;35;2325;28;41;20;59;89;171250;445;82
5632;8;17;3;12;16;7;32;49;9;950;1;8;191;76;21;61;13;113;1;102;12;38166;57;45
5633;11;24;5;4;33;6;39;40;0;851;8;5;2330;38;9;1400;24;6;13055;113;31;9322;47;18
5634;19;5;2;17;0;8;16;14;13;22;12;8;381;79;9;55;96;18;41;32;33;15681;690;17
5635;7;2;9;16;17;15;14;84;9;237;62;38;1760;125;19;652;32;62;1890;38;1;8470;2030;22
5636;3;1;5;8;32;11;6;35;34;663;50;16;6;43;17;1469;31;52;10426;110;28;21573;1403;64
5637;5;2;17;6;1;5;163;32;8;551;9;25;21;14;20;21;16;73;1088;104;83;22570;67;24
5638;10;15;18;36;16;1;14;54;5;170;17;10;72;73;0;16;107;31;114;41;23;111;556;114
5639;4;4;10;2;55;16;0;24;15;4;4;10;494;22;24;1;32;38;132;10;96;13639;219;47
5640;2;5;16;11;3;10;0;5;4;515;1;41;923;21;2;8265;38;20;2876;405;160;1286;78;48
5641;7;0;9;23;3;10;56;36;6;4;45;11;259;69;20;10;25;35;57;39;9;3611;499;26
5642;3;11;4;26;4;14;21;20;14;24;4;5;3189;53;2;3227;80;27;584;29;186;35;133;35
5643;9;21;16;15;23;7;5;18;7;36;38;39;14;16;2;7551;39;66;13802;41;25;68350;280;10
5644;12;0;4;24;8;9;4;38;5;34;10;7;8;19;30;302;72;78;15914;3;36;4403;36;15
5645;8;10;2;5;9;1;55;47;13;715;85;16;1;136;42;1826;74;11;1763;257;46;30434;222;77
5646;1;6;15;2;18;2;68;13;10;725;86;19;3;14;73;18;26;21;780;5;42;630;630;44
5647;0;4;3;4;2;5;2;6;11;35;12;7;52;37;52;1000;133;18;25;26;41;166;186;44
5648;19;5;8;67;3;10;121;5;9;365;5;11;499;11;18;2343;24;19;14006;33;16;11376;39;103
5649;52;12;7;108;0;0;3;16;5;5;41;10;1026;6;51;978;81;18;4530;44;22;7458;960;59
5650;6;11;6;0;15;9;6;3;9;48;56;13;111;14;30;44;92;28;17204;176;33;135;4;39
5651;2;16;11;22;21;21;0;29;0;782;40;14;270;40;2;36;35;132;956;79;22;296;881;188
5652;27;1;4;114;8;14;42;74;19;38;0;6;531;37;35;2104;6;113;2613;17;95;9936;45;7
5653;6;12;1;6;2;14;42;55;19;203;19;5;1505;35;92;2201;7;38;82;334;15;321;316;19
5654;0;37;2;25;63;17;7;29;3;42;29;13;26;8;17;1301;76;5;4312;8;23;1962;404;72
5655;18;9;24;2;6;9;0;11;7;83;0;11;191;29;26;3401;68;20;8365;56;32;4833;142;14
5656;0;23;17;158;4;2;4;11;18;81;52;10;464;14;7;3;25;34;5315;11;48;16752;24;72
5657;5;1;4;4;14;3;50;1;9;254;45;10;3315;36;3;9151;25;20;1472;65;23;20302;23;132
5658;5;14;5;101;17;32;6;18;3;158;63;0;93;15;5;36;76;3;84;156;84;4011;44;21
5659;2;21;2;38;3;0;116;28;9;527;10;17;38;31;24;9;9;48;2585;262;39;4910;338;107
5660;9;1;8;6;12;3;0;1;22;773;40;13;1301;48;24;889;5;13;31;138;36;9016;24;66
5661;3;0;5;5;8;29;152;33;6;82;34;6;2;36;38;80;84;31;2747;65;18;9781;9;109
5662;17;7;0;3;12;5;225;2;4;189;32;20;28;55;2;5293;82;40;1821;116;23;13267;495;62
5663;46;0;1;10;30;1;20;40;19;183;33;7;186;67;7;1348;58;22;226;103;23;4;42;87
5664;30;1;3;8;2;5;2;59;16;1159;22;5;69;13;98;635;60;36;1018;51;16;11428;1348;11
5665;4;3;10;42;14;23;0;47;7;145;18;22;64;17;0;1594;14;55;8300;30;35;40159;55;64
5666;6;25;16;13;3;5;7;1;7;8;19;26;261;0;0;2336;78;14;720;9;129;13065;60;129
5667;10;4;0;7;69;14;23;33;5;829;49;47;833;106;54;498;12;58;9478;47;20;8347;128;30
5668;107;1;2;3;5;27;63;20;12;113;37;18;67;4;62;0;97;28;3521;19;69;10040;1324;44
5669;2;0;10;34;4;2;46;20;11;206;68;1;85;29;13;826;87;86;7413;15;48;20017;444;54
5670;11;32;9;10;15;11;5;39;40;98;65;20;761;80;49;5333;106;49;81;39;55;136;389;207
5671;20;7;8;0;25;4;69;31;0;123;107;17;976;36;10;24;20;32;997;58;18;47025;14;84
5672;15;7;2;7;38;10;31;12;4;1051;32;1;987;8;4;1885;1;13;17724;167;40;22932;35;98
5673;16;13;2;11;24;1;186;5;23;44;2;7;1366;11;21;6528;62;19;12146;21;13;134882;54;34
5674;4;10;6;1;6;11;6;62;4;3;138;12;268;87;6;31;0;66;1172;242;53;182;559;285
5675;1;2;2;18;0;4;8;62;24;181;37;49;19;26;7;91;13;34;4622;31;39;10165;358;35
5676;32;14;7;1;19;6;3;15;23;23;4;10;282;38;5;3483;68;59;1705;165;21;5773;854;149
5677;4;1;14;1;0;14;101;9;15;6;51;28;77;26;14;1740;4;33;64;13;28;63083;44;3
5678;17;6;7;10;25;1;10;2;9;22;47;23;587;18;30;3067;5;49;18;280;26;54;98;81
5679;27;15;5;7;3;11;18;27;9;207;11;13;9;40;0;16;23;118;51;71;50;26542;79;69
5680;0;7;17;65;14;4;18;39;2;163;8;50;58;43;45;29;41;3;14614;24;3;7365;576;89
5681;14;0;4;49;0;5;17;72;13;360;1;34;272;79;11;1708;11;24;2644;91;36;42290;91;47
5682;9;9;5;6;48;4;15;10;6;197;137;44;0;30;9;7159;37;4;1083;56;52;12409;5;5
5683;3;14;4;58;14;28;6;1;24;106;124;30;38;32;10;1292;103;23;64;9;34;159;23;120
5684;13;1;18;11;22;11;184;24;36;9;4;17;1158;15;0;863;0;11;1014;6;19;21275;174;194
5685;3;38;2;32;0;13;39;28;7;185;15;26;537;9;23;4717;19;25;3796;170;73;12584;100;49
5686;3;3;9;2;14;22;9;0;9;142;15;43;30;9;2;9580;58;12;1202;181;77;289;162;62
5687;3;8;1;4;17;6;67;41;1;994;10;57;876;8;9;4880;24;34;45;18;50;37491;74;16
5688;2;1;10;2;5;4;9;28;3;4;29;14;15;4;24;3;80;47;209;8;34;4123;596;44
5689;21;5;1;1;13;19;21;4;26;641;88;24;579;31;18;43;6;16;10497;125;36;30;27;92
5690;3;0;25;14;14;3;50;8;9;11;1;3;342;3;34;3435;139;11;4422;39;125;7975;644;28
5691;1;8;0;3;7;15;10;35;18;8;15;11;1156;153;12;3444;45;32;1119;40;97;29;1225;163
5692;4;8;8;61;15;4;5;13;23;795;65;22;13;98;39;1623;138;19;6825;46;3;23312;118;36
5693;6;14;6;7;3;4;17;16;9;838;20;9;351;48;44;23;101;97;10508;63;64;2358;33;60
5694;6;29;4;84;31;15;2;13;0;120;45;23;102;4;15;280;12;31;57;19;29;1070;699;48
5695;28;4;0;4;9;2;97;27;4;42;35;19;12;17;25;595;24;36;28141;24;37;23939;72;68
5696;9;6;14;24;0;21;25;13;3;95;0;35;28;13;6;6337;114;19;4386;9;43;115;520;101
5697;9;4;10;9;8;10;86;13;21;512;25;13;965;86;22;2452;29;11;24;122;59;15725;9;170
5698;7;1;3;60;5;6;44;8;19;15;28;52;93;21;15;66;30;16;128;48;34;210;969;78
5699;0;43;6;28;0;38;6;52;2;20;3;32;31;13;10;2812;17;36;11392;124;33;3677;939;48
5700;1;2;1;49;8;8;0;5;34;10;58;5;33;13;21;262;17;4;1734;17;62;100461;2;44
5701;15;6;0;2;4;17;95;4;5;38;17;77;354;37;21;3082;58;72;181;24;38;61494;59;47
5702;63;24;0;0;9;15;77;38;25;402;10;30;631;48;16;35;30;36;2116;92;95;8;284;34
5703;1;5;1;13;5;3;7;6;35;199;19;10;1105;29;20;3273;21;25;2375;26;28;119;218;91
5704;6;4;8;29;19;8;9;12;8;517;5;33;322;9;10;1989;66;25;59;21;36;19208;91;25
5705;9;2;3;98;54;13;96;9;19;173;16;16;67;24;15;2115;2;15;6439;53;37;24180;26;127
5706;15;0;5;4;4;4;106;28;7;22;14;8;549;39;49;4946;14;83;67;70;38;42858;71;175
5707;4;15;3;101;16;12;5;17;1;558;23;6;397;0;24;2445;69;60;2542;162;26;219;88;28
5708;21;7;1;11;10;7;125;9;19;150;45;22;22;25;9;17;36;132;1573;1;181;1661;107;55
5709;4;13;3;29;3;9;4;16;19;4;6;0;126;24;31;888;61;12;27;135;90;85;67;49
5710;3;10;9;157;10;9;176;22;3;1;32;14;41;22;43;36;43;114;62;15;49;61;41;83
5711;2;32;14;0;4;12;35;12;14;114;148;9;140;21;3;345;6;27;19706;115;53;12081;60;33
5712;2;2;5;26;4;11;8;29;8;82;22;27;1025;53;14;40;26;14;37844;94;29;87;14;29
5713;2;0;7;30;15;2;16;20;26;31;10;0;14;15;37;19;18;75;5344;46;6;13725;52;23
5714;12;22;0;22;0;13;10;9;4;297;14;2;1;5;10;26;120;71;1798;35;76;90274;61;43
5715;16;4;11;2;0;9;78;36;17;14;3;17;1257;34;60;29;66;9;1023;39;132;56743;29;8
5716;19;9;18;17;8;3;4;28;7;0;22;40;628;44;40;496;54;73;9040;41;34;3471;189;107
5717;9;1;7;31;13;28;36;1;8;97;14;11;20;52;9;2268;44;56;2102;298;21;1766;16;292
5718;16;12;6;4;68;3;76;0;8;0;6;28;30;6;40;13;18;25;709;6;11;34085;107;32
5719;9;8;15;54;4;17;95;74;0;242;23;22;176;29;55;257;91;29;42091;49;15;124;52;32
5720;1;5;1;26;11;6;28;19;15;899;4;46;107;37;5;1421;78;55;1037;69;25;4234;627;82
5721;13;23;2;3;4;0;10;35;20;0;33;34;580;59;19;2368;25;25;25;128;55;54;37;88
5722;0;3;1;1;9;10;18;11;7;108;83;25;8;130;12;54;120;31;29866;18;21;144;75;86
5723;8;25;6;7;161;13;55;8;1;2;83;35;71;63;43;13919;45;37;100;56;45;14202;104;68
5724;2;1;9;28;2;13;8;48;14;837;6;24;406;27;20;86;29;33;4124;173;29;11256;72;58
5725;4;3;4;19;7;9;0;34;0;349;4;13;346;59;8;93;31;17;153;58;6;123;433;26
5726;4;7;7;13;15;14;5;21;2;17;29;17;556;56;8;2218;19;25;1430;39;22;30059;36;32
5727;7;9;1;8;17;0;182;113;23;166;14;17;627;15;29;1840;42;67;23786;10;145;9310;246;44
5728;17;6;11;12;3;0;31;31;6;363;19;22;617;42;7;781;26;36;4045;45;40;163638;53;27
5729;57;17;3;26;31;5;11;39;5;1614;50;15;420;43;36;1941;46;66;4164;60;32;28450;1;97
5730;10;1;5;6;59;12;120;4;26;18;26;43;1212;8;37;2104;11;29;3139;138;36;31934;139;34
5731;24;27;14;26;1;8;99;10;28;11;10;9;18;34;32;9043;58;46;1207;27;9;16111;766;115
5732;2;2;17;14;13;5;21;19;0;29;15;14;631;22;5;1256;29;27;238;62;120;115832;35;61
5733;3;21;11;22;27;8;7;35;1;162;23;20;55;7;0;1354;54;60;4128;51;22;9399;212;23
5734;61;11;7;10;2;4;131;8;10;91;60;5;749;32;1;4087;70;10;5460;74;18;72;324;55
5735;6;4;15;17;125;26;29;8;10;74;4;19;675;58;38;29;137;51;2057;183;124;66;70;44
5736;9;13;2;87;26;9;307;4;5;232;75;27;1413;25;24;2245;73;107;11010;21;58;5107;51;15
5737;48;4;7;28;19;0;16;4;7;515;15;8;72;52;7;3393;10;19;112;132;39;1107;50;69
5738;4;17;6;46;5;11;53;39;3;75;31;22;65;21;13;672;31;37;26582;49;18;30987;45;199
5739;3;7;0;53;6;5;11;42;0;910;28;41;28;13;14;0;41;41;1112;25;23;1281;37;113
5740;0;1;2;8;12;26;20;3;4;378;8;35;2216;28;8;656;93;49;10268;45;25;5760;11;97
5741;10;12;0;18;69;11;2;58;23;16;68;57;39;93;17;736;91;31;18;21;163;24956;11;8
5742;2;2;25;17;21;27;8;23;12;79;14;22;187;26;28;2768;29;18;70;65;54;8;115;71
5743;16;7;0;5;10;3;0;17;10;12;9;37;18;29;51;5286;37;18;5673;10;17;10828;30;231
5744;0;2;8;109;2;9;73;21;16;86;34;23;1685;17;22;515;18;35;16;159;103;5211;21;395
5745;51;25;3;93;7;22;24;0;22;0;20;31;659;2;38;36;20;25;156;77;86;146;28;40
5746;2;20;22;11;3;7;36;26;15;234;9;3;198;3;32;27;36;18;105;33;19;85907;121;25
5747;4;4;3;3;8;19;28;5;17;22;70;17;13;10;45;2180;41;33;9376;20;33;28003;355;51
5748;34;5;8;9;29;12;88;32;7;332;25;16;301;34;18;761;32;20;9261;67;50;16025;193;43
5749;23;7;12;15;18;9;18;6;31;177;0;10;303;70;32;128;34;80;19172;20;26;108;23;94
5750;7;4;11;67;8;12;129;96;8;10;21;22;2140;21;13;3196;1;1;2999;178;71;57;102;124
5751;64;18;11;0;19;15;27;15;13;706;65;25;33;29;41;1847;21;29;8540;175;3;15626;135;465
5752;1;40;3;21;43;14;98;16;9;7;52;1;227;49;44;125;22;2;39;57;7;6967;121;41
5753;1;5;1;72;19;1;56;11;0;19;23;35;354;18;48;3093;72;26;1345;186;11;5667;404;39
5754;11;3;1;95;36;23;59;12;13;44;54;42;277;15;43;19;38;43;93;27;8;35002;13;60
5755;0;5;6;13;3;29;4;19;9;318;23;20;26;47;17;161;19;10;8356;24;62;646;252;25
5756;2;8;5;4;4;15;90;11;6;20;105;25;1225;30;31;1586;61;18;8250;279;16;56188;60;78
5757;0;2;9;10;1;15;40;46;7;406;16;5;39;1;24;1261;76;15;57;179;37;66279;807;30
5758;5;40;2;21;7;22;21;2;14;85;63;26;442;21;21;80;22;31;112;431;54;4157;4;130
5759;12;11;0;1;1;2;124;14;18;61;6;11;113;30;42;3873;35;42;322;150;23;14;32;39
5760;14;0;1;27;5;32;11;18;4;165;42;25;35;19;38;52;76;9;67;13;102;23260;237;68
5761;19;0;5;23;7;9;8;6;20;66;11;31;1406;109;36;959;161;85;8781;9;7;11254;60;318
5762;48;5;4;174;9;32;75;6;18;23;10;15;40;96;11;47;59;39;3698;20;53;13;28;91
5763;12;4;10;17;7;10;15;14;16;12;35;7;171;49;24;8204;11;31;45;27;33;7920;56;57
5764;1;2;17;49;11;1;89;17;14;449;79;27;52;139;31;1102;9;28;66;102;52;1362;589;102
5765;5;17;0;22;0;9;55;3;0;66;14;35;7;25;34;2;19;22;61;21;61;14024;693;54
5766;7;33;3;30;2;9;3;39;10;83;45;10;1511;17;3;2050;74;26;79;124;63;29;58;5
5767;8;1;41;17;24;7;69;17;2;25;3;13;51;34;13;2506;2;91;2208;149;23;58170;16;19
5768;31;25;10;21;3;20;4;11;16;3;6;35;1105;57;9;3109;30;78;3458;82;46;12484;87;183
5769;42;9;14;23;88;7;23;7;6;107;69;25;321;16;26;58;24;36;28;2;49;30;40;55
5770;29;26;14;7;1;16;47;0;15;20;19;23;1067;42;16;41;11;87;74;27;13;3347;14;168
5771;6;4;0;251;15;16;26;43;16;388;32;14;1327;6;10;5925;45;11;3975;33;10;21146;206;53
5772;10;15;0;50;8;11;74;6;2;143;9;25;189;18;11;7123;218;8;9;176;41;5590;49;44
5773;15;3;6;46;11;8;53;11;2;25;42;11;943;11;39;2598;58;54;16;31;18;22572;26;76
5774;0;8;10;1;26;20;3;45;0;0;10;53;25;15;20;11464;46;64;8357;17;52;16132;105;65
5775;9;20;3;55;12;4;7;38;26;190;58;37;10;43;18;1524;38;51;217;61;30;9852;440;41
5776;7;1;6;10;1;9;5;8;28;9;9;20;555;47;33;3027;21;28;7922;40;28;153;1404;33
5777;60;12;8;29;3;8;1;31;4;242;86;22;260;12;35;636;113;19;3406;23;42;43117;23;68
5778;13;4;13;32;8;8;11;3;13;120;27;39;4;15;21;268;67;11;2150;65;31;4075;524;59
5779;1;4;4;23;1;10;328;7;25;420;5;37;1371;60;17;2660;19;15;14584;25;23;900;123;10
5780;0;11;18;25;30;15;31;0;2;262;84;27;1138;50;37;74;15;9;6905;76;35;2623;87;148
5781;0;1;2;100;5;13;5;16;11;39;6;8;9;69;32;2194;75;44;1594;49;18;239413;132;57
5782;2;8;7;12;4;8;26;1;26;10;77;23;131;38;10;9070;35;15;9220;119;38;38808;343;17
5783;6;8;14;64;31;27;2;1;13;280;84;17;129;2;30;3127;146;45;3567;10;25;4373;124;15
5784;62;0;7;2;3;13;0;14;9;214;24;34;599;27;2;3;24;47;541;42;45;5239;34;16
5785;22;1;13;2;4;14;96;50;21;0;66;27;390;44;59;40;62;39;13285;49;31;68844;2;32
5786;4;6;4;10;44;12;6;11;3;218;5;24;35;44;13;54;28;25;0;5;45;40451;112;37
5787;0;17;2;24;12;16;63;15;17;50;15;14;5;1;9;249;55;22;14940;403;18;132056;5;48
5788;1;21;8;4;5;8;12;15;15;488;28;51;6;23;5;4676;15;23;14239;41;11;158;105;173
5789;22;3;4;57;0;9;18;4;6;403;10;15;257;25;5;76;8;68;19230;66;136;40619;107;30
5790;1;3;3;136;4;2;5;47;9;18;92;11;570;41;55;18;38;61;1650;158;18;21071;409;43
5791;15;1;0;6;17;3;95;14;15;136;5;12;129;18;44;3383;41;7;9125;48;12;160;44;21
5792;0;18;0;2;4;15;147;19;10;197;61;20;1195;5;4;116;40;33;68;49;87;84397;401;75
5793;3;6;15;3;39;8;22;72;7;303;27;37;21;34;75;3197;39;60;3028;15;47;66418;21;58
5794;4;1;18;10;6;12;15;19;6;18;65;3;65;11;1;1788;43;17;8106;9;36;14531;24;23
5795;9;13;4;3;32;13;10;0;17;98;10;10;595;22;9;140;17;31;28;10;45;18543;57;185
5796;6;12;7;32;15;12;1;24;30;12;25;25;468;9;4;54;16;82;3466;124;71;12300;443;119
5797;13;18;3;7;6;3;18;77;13;6;41;7;203;32;11;855;2;24;1247;3;131;156;67;121
5798;6;2;5;11;12;14;53;26;31;404;18;1;1339;3;39;4;36;5;5067;8;86;86046;47;219
5799;16;8;5;2;4;1;7;16;8;584;16;0;60;58;92;5;32;3;15787;76;5;126;24;118
5800;4;18;8;14;9;20;21;7;6;130;81;19;26;105;41;65;32;23;40208;55;203;31703;547;88
5801;12;5;13;16;11;35;41;22;4;22;44;7;957;37;6;2214;62;56;117;25;53;48;58;258
5802;21;6;10;67;9;14;10;7;15;732;34;25;32;94;24;3734;12;10;4;158;12;212;65;54
5803;12;4;13;13;24;5;110;22;12;358;78;15;641;28;14;19;29;22;55;72;15;44555;25;78
5804;25;5;19;133;23;5;71;81;17;342;23;3;21;89;26;79;78;35;10;31;32;11794;429;30
5805;26;4;6;57;14;0;6;6;5;69;25;106;27;51;13;1654;14;20;4691;98;17;26293;87;12
5806;4;0;7;66;25;6;28;27;17;163;17;4;397;109;10;47;61;23;10879;213;37;37;29;148
5807;3;2;13;27;25;9;4;17;4;133;29;16;243;17;24;21;28;4;1901;69;43;15;41;19
5808;3;27;15;9;40;0;69;5;12;8;33;30;411;32;8;293;35;15;2664;73;101;87;2116;111
5809;6;0;10;0;5;16;15;63;31;103;59;5;40;20;14;4314;142;38;4034;34;6;4576;276;90
5810;6;5;6;30;14;17;9;27;8;363;1;33;386;17;49;2542;87;47;63;45;20;68664;853;5
5811;2;41;4;10;9;23;13;20;7;281;27;36;123;55;18;6908;2;34;115;26;44;90134;42;61
5812;16;19;7;12;1;9;1;4;5;166;92;14;13;27;33;898;102;35;3841;65;27;9277;79;73
5813;12;1;8;55;49;8;6;2;8;330;49;0;1193;22;1;1485;70;22;1919;80;25;351;388;129
5814;0;2;5;13;2;14;3;1;10;558;40;14;447;4;1;0;58;24;759;57;50;84;165;137
5815;2;10;21;4;5;22;12;33;21;11;11;10;42;5;17;1044;14;34;2225;31;28;183;288;91
5816;4;5;2;6;1;0;3;4;30;50;5;5;95;3;11;38;62;40;1103;43;21;45212;333;48
5817;53;3;4;45;44;7;115;25;14;191;27;0;4;17;11;85;20;65;161;215;33;3125;1038;39
5818;19;38;9;0;51;18;67;17;5;0;6;21;133;35;29;11;52;52;3260;38;20;16449;241;36
5819;0;12;0;34;7;17;0;8;6;46;17;28;31;41;52;1378;49;16;3479;24;50;4083;30;45
5820;48;22;2;21;31;3;49;40;12;5;97;2;1368;7;15;3406;52;21;7409;24;47;7904;61;42
5821;7;2;6;9;1;21;32;2;7;16;6;13;23;21;8;1231;60;64;5;104;22;10469;7;41
5822;4;1;7;10;7;28;31;13;17;5;35;26;182;65;23;466;10;22;1541;235;12;35674;79;56
5823;2;11;21;25;9;8;10;39;29;175;32;3;546;94;49;31;35;30;2038;16;19;15292;205;42
5824;15;6;8;22;0;1;15;1;11;327;47;32;136;43;54;11203;30;7;99;15;27;39890;19;95
