;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
115;72;3;6;9;40;23;10;20;8;4;35;10;594;20;18;10;42;66;3526;59;38;3;22;36
116;50;1;3;45;1;12;78;4;2;20;55;24;1096;52;16;615;85;60;4005;152;162;1749;39;11
117;44;10;7;2;11;7;26;35;13;356;23;20;268;2;44;16;26;33;1499;22;23;87;561;15
118;7;22;2;20;3;6;0;14;1;67;78;29;27;13;1;1367;38;15;7831;28;91;7488;130;87
119;0;7;9;5;19;6;84;46;37;66;19;10;5;71;9;9358;26;11;3726;27;62;401;21;51
120;6;4;0;48;14;17;86;16;4;4;24;11;9;24;29;3;10;18;383;43;34;119855;21;77
121;10;11;13;18;15;6;26;2;43;55;37;7;1276;53;21;5593;48;24;4595;40;36;120;189;92
122;0;13;2;4;0;18;14;73;3;59;29;67;24;73;37;3148;40;19;46;42;26;51426;72;110
123;35;2;5;10;68;14;110;4;16;208;18;21;206;46;16;1596;42;31;7216;123;14;1902;204;103
124;2;20;8;2;1;9;3;55;12;381;2;27;2019;82;56;922;76;50;595;23;32;9092;187;32
125;0;7;8;4;19;7;29;12;17;577;0;12;11;21;58;1760;30;17;95;187;29;8410;234;113
126;3;4;7;88;2;8;127;31;0;4;24;6;469;8;34;33;15;99;1907;4;28;17;30;27
127;2;64;10;37;39;13;96;19;13;569;39;16;447;28;45;4972;15;86;1182;321;28;17830;10;167
128;1;8;5;25;1;5;14;5;13;38;50;27;90;45;8;1884;49;38;4407;30;25;39032;12;65
129;16;2;4;1;36;13;209;4;7;189;102;54;12;30;24;1133;26;39;7067;29;39;26756;2;99
130;9;1;2;79;0;10;356;19;3;131;13;7;18;11;26;4378;41;8;69;46;23;12853;163;109
131;16;1;6;12;1;23;120;13;11;19;36;7;340;53;29;772;83;75;1639;56;10;39235;259;25
132;9;27;6;0;22;11;34;18;2;31;21;7;6;57;21;1816;133;39;91;13;15;54968;27;33
133;3;0;6;4;15;14;156;12;1;28;37;30;628;58;7;1042;44;21;12962;16;40;2094;333;30
134;2;12;9;0;33;3;94;32;12;20;95;3;46;62;22;4322;17;14;19;268;32;24799;752;121
135;25;2;7;7;0;6;9;9;12;10;8;13;787;14;24;72;11;37;871;97;124;49538;141;81
136;16;2;2;134;6;8;127;6;15;909;14;15;173;10;32;10809;17;31;134;26;22;81;1512;60
137;0;11;5;25;9;12;28;15;12;1035;17;8;5661;16;12;1716;47;40;27;26;16;6146;94;31
138;0;28;10;132;3;6;10;44;9;236;19;11;929;5;18;861;27;31;23869;136;69;6901;42;136
139;12;16;13;16;4;6;5;111;32;38;38;6;55;30;7;886;16;13;4396;16;17;56188;316;66
140;2;11;11;89;37;9;13;25;12;236;74;11;836;6;67;2826;117;19;1102;13;48;72;43;28
141;1;5;12;10;8;37;0;25;9;311;27;2;1368;20;73;23;35;30;5894;56;89;116;52;37
142;6;7;17;1;5;16;32;66;16;35;22;36;8;18;8;6086;1;12;24;51;38;27;358;21
143;9;0;10;65;10;19;31;58;18;120;101;12;1057;14;77;5124;13;34;46;12;41;37093;38;41
144;21;1;5;22;21;3;4;9;22;119;31;17;888;48;25;1029;9;42;11298;135;35;28854;17;41
145;6;9;10;19;3;0;61;1;12;275;18;11;2511;96;13;207;61;40;4345;82;40;69;249;66
146;0;13;30;0;4;12;232;15;2;49;5;12;34;30;17;737;123;5;1798;25;23;77847;96;66
147;6;0;11;19;1;4;83;4;38;235;131;19;20;129;11;1788;13;21;58;24;72;39821;373;39
148;4;16;0;3;23;3;141;1;3;507;116;11;290;17;31;799;37;9;129;212;30;20596;943;53
149;7;3;9;36;7;7;110;0;9;95;3;21;99;47;26;2975;50;20;12278;53;174;124840;358;39
150;13;26;6;3;4;10;143;73;18;209;26;17;24;57;21;1977;32;17;1120;17;30;137;246;29
151;3;11;4;92;15;18;8;22;22;1462;45;30;1282;17;54;1089;25;46;16584;61;0;16793;385;11
152;7;9;14;38;3;19;30;41;11;351;31;4;7;17;21;6494;17;116;999;90;27;31014;239;37
153;2;2;16;186;18;10;26;22;11;986;23;7;174;37;37;4946;10;41;106;324;23;59877;82;30
154;17;8;10;25;1;17;66;2;12;28;6;14;198;20;60;57;20;47;51;23;35;8608;20;10
155;32;2;0;50;11;6;32;51;6;8;79;11;245;14;23;47;8;39;9527;50;61;172;249;80
156;12;4;17;21;22;13;2;31;2;185;26;6;9;82;29;54;33;9;9332;8;7;7718;1045;34
157;22;2;10;27;29;15;1;16;1;576;15;9;2023;12;2;9331;57;42;1962;108;35;3584;634;20
158;6;16;9;0;73;4;10;27;12;57;35;13;573;36;29;2624;25;13;3240;148;115;56459;40;49
159;5;4;7;46;36;8;101;35;0;9;21;33;1156;50;43;8923;89;61;2106;6;8;77962;236;70
160;8;4;9;5;1;8;27;71;5;37;23;17;688;46;15;3;98;176;33;51;73;20861;192;78
161;3;15;3;4;34;2;74;49;9;287;31;44;70;26;18;79;3;77;42;79;30;21515;47;38
162;44;22;1;22;30;8;8;114;1;637;23;21;961;1;34;8583;78;18;38363;167;45;10206;3;101
163;4;24;11;0;8;9;18;0;10;12;5;5;551;32;10;1262;20;13;415;81;60;16850;665;6
164;30;18;5;69;10;16;46;14;12;765;38;34;214;45;20;674;48;26;18370;123;41;63;517;62
165;7;6;4;60;2;4;0;16;15;526;84;18;28;36;52;26;7;87;14846;169;55;15490;86;6
166;9;1;11;3;1;14;23;28;33;0;154;8;25;56;25;2098;80;62;13351;20;39;33284;184;75
167;13;1;19;23;12;6;15;13;4;1188;20;8;487;17;29;141;13;34;109;113;10;3534;34;84
168;3;12;19;32;7;21;26;56;13;164;12;6;442;17;23;161;66;26;2292;14;4;7935;71;75
169;2;10;9;10;5;24;20;11;4;562;11;3;268;54;32;1382;87;23;151;38;36;87626;330;119
170;2;26;18;19;12;6;88;11;21;109;83;34;300;19;15;898;44;3;49;90;110;13438;10;80
171;11;0;6;34;27;10;6;25;8;6;8;4;1235;44;9;2121;10;24;42;69;32;5225;21;20
172;21;16;5;8;11;14;12;19;11;863;39;21;1780;12;34;2356;9;16;3252;25;65;18734;33;29
173;3;12;13;6;1;15;2;0;32;14;8;14;4;11;13;12074;72;46;21;41;69;60127;82;61
174;0;5;13;6;52;9;39;2;13;12;25;20;515;36;10;1605;30;24;72;39;32;564;58;41
175;13;7;1;13;70;7;0;12;22;2;71;43;940;39;14;1175;20;23;18526;88;58;51807;917;79
176;35;29;9;37;19;9;328;0;21;225;28;23;650;49;42;1341;25;41;2551;93;28;105;9;144
177;85;6;7;51;5;21;66;12;2;134;4;0;1171;18;21;75;36;23;9262;54;41;9436;290;182
178;28;2;12;21;1;0;6;6;2;100;156;36;1235;12;22;35;102;14;8858;136;47;61;669;40
179;3;49;6;12;1;24;3;16;4;15;86;11;169;28;70;2168;63;29;16018;124;77;25128;70;65
180;41;33;12;69;31;11;5;17;8;70;20;48;36;7;16;7126;6;9;54;143;81;83;296;26
181;3;12;2;46;24;14;4;50;12;1243;45;20;1431;4;28;802;2;33;739;118;50;5590;521;16
182;0;5;4;23;12;9;171;8;36;15;79;27;1510;84;16;63;12;20;48;219;6;931;580;41
183;16;1;16;3;3;0;37;2;12;694;49;8;2137;26;12;28;14;9;79;38;6;21212;69;66
184;7;0;13;0;4;7;129;15;21;1001;36;18;251;22;35;9;3;13;20;75;22;19267;104;7
185;4;1;7;16;11;2;54;15;15;3;2;9;987;14;2;4450;106;36;11023;21;26;8943;74;21
186;3;4;10;21;0;9;3;18;7;165;24;24;13;31;11;2052;30;24;42;99;32;112;853;37
187;11;4;1;0;12;5;26;46;13;141;13;10;22;34;12;23;9;21;112;147;13;10866;45;86
188;7;6;6;7;10;11;14;2;8;5;37;32;138;104;2;2013;31;40;10179;75;34;6497;22;45
189;21;12;10;24;24;0;24;11;19;444;65;10;6;22;9;2100;51;32;71;70;99;9393;661;3
190;0;3;9;11;31;6;21;5;0;564;4;33;66;33;16;619;55;22;30781;80;10;115;33;7
191;18;19;10;0;1;0;81;52;3;962;4;9;21;6;28;6;132;16;9736;96;71;14290;10;55
192;0;3;3;81;29;0;76;17;4;783;12;49;71;17;36;1849;53;20;63;15;58;51;531;30
193;4;3;10;95;18;9;92;124;15;21;43;17;681;61;29;50;89;1;4993;19;56;39451;61;35
194;27;4;11;18;0;7;24;21;8;2;12;24;363;4;17;78;43;25;59;16;87;67762;55;78
195;9;5;2;26;22;21;97;91;7;1;56;21;700;107;32;3832;36;77;1595;155;6;127;67;9
196;0;9;0;54;17;19;55;56;8;12;3;9;4;18;20;24;125;18;2864;230;56;116;322;47
197;1;34;4;3;4;32;48;51;23;fail;10;20;245;30;71;684;32;30;869;43;44;80;317;172
198;14;1;7;69;14;12;8;5;23;126;8;9;67;0;37;1222;23;26;54;53;34;8370;17;16
199;16;6;13;74;35;4;36;41;12;270;69;28;41;31;17;456;9;42;1094;45;27;28558;124;414
200;9;33;0;54;9;5;45;17;22;0;25;41;25;79;38;801;19;20;3643;46;18;49167;21;85
201;11;2;12;143;27;15;114;8;9;935;71;7;208;3;11;10137;24;11;3907;68;54;1863;65;48
