;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
242;119;5074;7102;8270;83;90;51
243;167;23691;1148;8626;12373;108;6631
244;3080;27637;778;2672;120;5962;143
245;21;9595;60;252;0;2899;75
246;3;7;13;3257;21;15;34
247;567;132;26;13740;4132;16;3093
248;fail;18;242;3950;142;3608;18
249;6949;3;43;50;216;6853;11
250;73;777;35;2388;4604;1059;3698
251;55;153;88;4;46;50;4
252;142;16473;29;1126;319;72;107
253;100;2;1594;703;11;747;112
254;49;16972;1804;90;231;22;13
255;6309;15436;5;269;412;760;110
256;fail;13206;150;3710;88;fail;46
257;fail;7683;2844;5350;474;1140;3811
258;4156;2136;1064;124;153;48;17
259;162;1982;909;15180;3948;3585;66
260;fail;8126;201;7927;5789;6265;2056
261;87;164;38;922;fail;84;43
262;135;2107;141;747;31;5637;0
263;fail;7355;1992;15734;2388;9283;663
264;80;2284;30;2957;1004;73;99
265;80;3704;5356;7714;410;723;26
266;3333;34430;25;1218;37;2534;124
267;fail;4238;3392;12;9954;200;9
268;16;32;27;14282;2329;2123;3763
269;4862;2644;6;7174;7;3510;1243
270;43;25745;130;625;22;4133;513
271;76;37139;23;19260;5169;19;3403
272;54;282;73;85;6552;3523;70
273;114;3730;35;11327;1501;0;103
274;3734;256;42;7803;83;6606;132
275;7371;40;47;3337;4073;28;971
276;137;1385;1841;12899;7049;24;1647
277;40;4;531;13278;2865;3421;42
278;29;7855;24;5196;38;4358;3489
279;7858;6899;22;223;157;9781;2144
280;5213;3618;856;90;5982;105;162
281;6452;11718;4792;890;8076;2333;2
282;56;2259;678;12283;12;112;43
283;76;10119;115;59;fail;7535;11243
284;fail;3108;2800;1198;41;42;1081
285;fail;173;3009;10;108;61;1149
286;119;4547;34;6044;fail;13;157
287;10453;969;2294;5838;2900;329;9145
288;8767;19;1610;14767;5255;2638;524
289;1971;61;28;8854;81;133;51
290;8486;2986;27;383;7022;153;965
291;23;12874;3209;368;146;52;598
292;26;9310;4988;84;80;39;42
293;5308;10180;2229;18860;2572;2719;24
294;64;152;102;28;1807;52;93
295;7496;23974;263;455;105;1933;1643
296;1739;1080;4452;19;2323;50;71
297;54;59;24;5687;106;33;3044
298;9300;4815;99;4899;3509;12;2020
299;1884;5967;191;8370;278;45;60
300;5060;199;4;2745;38;1552;82
301;38;19855;80;5060;11785;2379;62
302;81;325;1871;3085;3440;77;757
303;2762;12045;10;17693;157;67;1714
304;23;3326;4242;2119;5;7207;12
305;210;5475;4888;34;fail;175;641
306;35;159;543;225;6084;111;42
307;fail;10899;192;141;1682;1238;4325
308;68;86;19;39575;27;1505;18
309;1728;8359;769;488;18;567;2576
310;36;15;82;173;148;83;5027
311;132;105;576;3769;132;6;4492
312;fail;7218;38;2882;7500;6334;1329
313;9018;1028;32;14191;1361;91;105
314;3289;8791;41;32656;fail;93;26
315;212;2771;96;9203;4965;32;1126
316;143;5862;70;74;5023;52;16
317;145;761;4630;178;4312;5702;79
318;275;7461;786;1757;6;115;51
319;5642;14;2561;2731;102;43;1284
320;55;1823;263;4687;789;63;2079
321;135;59528;6829;16329;2167;10;169
322;2174;7279;35;3337;3339;4253;59
323;3526;14896;3745;1633;164;10110;9810
324;6621;920;7123;62;52;70;859
325;81;587;53;1322;93;1240;1368
326;13;10730;45;52;5312;3168;6720
327;9995;2368;3031;7070;12047;2769;60
328;128;5509;42;3883;911;186;1020
329;fail;6591;757;23284;352;18;111
330;fail;2477;690;44;6;119;4283
331;7390;15617;25;3994;7279;43;1288
332;fail;4334;14;913;72;8723;1810
333;2;230;33;2057;119;1995;162
334;6847;15077;103;106;94;12;7012
335;163;4077;18;1603;745;3199;28
336;11287;435;104;3406;112;50;3779
337;119;16054;54;9235;1244;1722;5782
338;9542;1;82;6410;1517;33;117
339;34;46877;398;70;223;2700;517
340;2904;18212;5342;1078;38;39;3290
341;fail;4053;96;10;3805;83;62
342;59;3351;2765;2762;928;91;7575
343;16;21410;711;12;11;7599;112
344;7851;31;2539;124;3126;146;1996
345;fail;105;117;44;40;0;78
346;118;33;79;18;80;5222;131
347;244;16639;26;11;fail;9;3419
348;5;6323;78;5155;1833;3653;76
349;fail;12483;11;3360;42;49;7970
350;43;1547;4317;14684;4210;116;152
351;75;91;1323;12866;1960;11521;45
352;58;7927;4966;55;3778;2572;39
353;6182;9540;47;1102;100;2715;1467
354;101;4527;7305;94;20;fail;9546
355;10143;124;17;13655;1527;411;95
356;86;11675;4810;30;7263;3541;1880
357;1477;75;4625;10;69;88;58
358;49;99;57;18321;15;20;845
359;166;4969;83;61;75;364;72
360;43;17690;2838;3301;7343;1;4818
361;84;119;67;98;fail;1530;51
362;fail;4247;21;504;3880;103;1595
363;98;2929;34;50;7317;4477;30
364;fail;132;161;14609;4531;89;740
365;fail;14;2672;862;148;3546;42
366;10;152;2732;6841;3683;9690;104
367;1514;2488;37;1986;397;25;11
368;9662;13009;112;11571;2241;32;51
369;126;193;93;413;111;177;47
370;7867;2;49;99;11927;3368;40
371;6226;9326;6;15686;8;46;2186
372;6642;1449;82;2773;34;139;5034
