;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
292;50;26;95;18;60;864;1100;77;833
293;44;240;414;323;20;56;162;209;24
294;9;43;90;72;80;1161;2902;84;78
295;89;149;19;2197;395;63;4891;120;3743
296;90;66;969;64;2319;23;9430;767;67
297;32;131;395;31;21;1470;87;54;fail
298;82;90;868;28;175;719;3215;35;352
299;64;11;115;52;62;72;3704;109;34
300;24;23;35;0;3592;246;149;9006;2187
301;12;164;791;32;88;150;24;11;4384
302;45;31;216;137;1703;38;105;20;2531
303;32;79;181;1300;120;15;6433;46;5468
304;87;322;308;99;72;81;1;67;211
305;48;175;38;63;14;7;4222;6967;6
306;28;422;194;35;21;351;1200;9;2023
307;25;0;91;178;3090;107;67;25;4590
308;26;36;708;652;28;454;68;438;2718
309;61;85;130;422;1029;3125;79;128;58
310;19;37;183;78;32;102;42;45;45
311;8;148;68;901;2392;5688;1713;1345;85
312;52;41;16;36;7181;104;35;6111;116
313;48;102;13;51;3873;548;67;314;136
314;2;209;63;7;139;42;17;2999;7322
315;24;122;222;1862;24;3474;fail;53;89
316;43;9;23;13;123;5481;3247;705;6907
317;46;14;208;30;59;73;9144;1041;31
318;61;5;1262;612;79;6069;26;46;1374
319;93;39;1004;1874;84;2303;107;158;75
320;12;14;13;1131;2684;1406;98;108;3245
321;15;33;27;506;4785;95;130;51;1566
322;19;19;74;53;1545;1418;5342;3705;231
323;8;25;15;4708;68;683;1049;272;4250
324;57;85;706;53;54;181;25;2732;5913
325;22;33;54;715;980;156;173;5899;5859
326;61;46;27;307;45;422;1265;18;107
327;28;31;360;967;12;13;122;24;8522
328;9;29;10;445;52;446;1740;40;75
329;61;108;948;30;61;1211;3159;100;914
330;9;35;124;151;131;86;2437;76;7369
331;44;61;289;3366;35;102;122;680;4
332;88;13;418;446;51;3029;36;154;5861
333;31;36;25;2476;1367;5370;237;72;569
334;52;43;62;149;3480;9;91;149;7246
335;25;55;194;36;4710;25;52;48;204
336;25;13;916;989;644;6101;7;594;401
337;50;96;27;2503;754;2478;47;4499;11
338;26;243;61;17;227;17;1344;3337;9989
339;31;8;291;37;12;2444;65;46;11
340;9;24;26;1041;2731;9;138;7129;72
341;26;5;1096;43;5922;38;105;6;fail
342;37;48;572;34;8574;259;3584;7323;23
343;12;40;1003;34;3647;1021;68;3511;3180
344;135;360;178;3553;49;3;5147;6513;2666
345;27;394;42;72;815;fail;17;3072;2711
346;26;22;174;336;33;8992;44;30;317
347;17;16;63;757;66;10;3903;4341;5063
348;0;35;473;1903;3644;2703;50;4560;38
349;26;63;176;980;23;16;47;7946;42
350;7;12;280;508;64;93;180;20;5983
351;48;118;116;145;50;47;16;3553;65
352;21;99;647;1;195;26;86;213;2199
353;40;101;1217;1886;39;261;486;3851;9
354;46;21;12;64;120;41;8;69;34
355;39;22;45;146;81;3504;12;113;15
356;17;34;31;191;66;560;1201;577;153
357;16;32;547;73;338;3512;36;28;151
358;29;2;22;110;4;98;75;3870;fail
359;33;10;39;1180;164;50;66;27;5316
360;25;30;81;1;1873;5;10262;78;94
361;28;31;13;535;32;2306;41;13;998
362;23;10;910;40;35;548;0;121;29
363;26;154;23;88;90;2792;fail;4;4738
364;28;35;18;49;169;1752;2582;19;36
365;20;29;6;22;10;50;145;2062;4
366;37;334;89;30;159;51;10601;151;3229
367;16;12;119;1695;18;81;68;7;5581
368;65;5;54;213;2793;4072;884;27;11228
369;99;120;28;116;1903;41;94;3036;3113
370;41;65;32;837;41;1297;38;29;2
371;109;43;90;1517;27;1352;110;153;9800
372;16;56;91;45;7369;48;780;29;90
373;36;48;553;7;232;38;2814;fail;85
374;26;37;576;895;4139;2997;1089;1642;43
375;105;88;94;112;543;76;3635;7872;7460
376;17;37;100;213;427;2443;111;39;106
377;8;43;49;70;548;11;3928;27;61
378;54;94;33;1121;859;3706;64;3026;3
379;85;446;83;39;27;4210;217;0;6789
380;0;224;34;2370;96;1;138;40;59
381;49;188;84;1759;59;85;239;3964;141
382;5;114;24;1742;120;4445;1;3274;5302
383;72;347;128;1837;20;3189;3509;1517;5569
384;25;134;220;42;145;8554;4;116;3182
385;13;20;674;46;90;54;7363;3223;2747
386;49;47;485;20;23;611;11;10390;3604
387;8;9;542;56;56;286;fail;2278;114
388;7;20;20;1656;790;2835;80;2830;6973
389;14;62;52;1462;14;43;17;42;4021
390;14;62;174;209;3082;121;5052;20;2228
391;75;15;120;27;34;12;89;1426;91
392;3;52;11;65;14;57;41;3944;3481
393;35;165;38;68;150;105;117;3;740
394;36;112;26;1723;1351;62;7;5;36
395;56;80;45;96;5;68933;174;2508;239
396;40;60;1145;737;209;101;1025;96;150
397;2;203;279;1027;1535;22;5100;52;42
398;11;120;443;142;105;965;166;77;24
399;114;61;97;297;126;103;198;334;50
