;RLS-N4;EA100;pmut1.25
619;912;18;57
620;5325;6;5
621;821;136;16
622;42;48;31
623;1987;55;12
624;8244;52;46
625;2936;59;72
626;4285;106;4
627;932;93;148
628;2154;144;24
629;4;374;31
630;9070;34;98
631;146;66;24
632;1415;44;42
633;72;23;90
634;45;17;69
635;5785;18;31
636;4125;29;44
637;43;12;17
638;4749;61;19
639;1180;56;63
640;3124;81;13
641;784;41;41
642;5920;105;6
643;982;39;7
644;2201;9;37
645;4613;42;10
646;1010;87;26
647;12;90;38
648;33361;74;123
649;984;9;60
650;15025;117;29
651;39;10;7
652;7562;56;29
653;3104;112;52
654;936;15;40
655;22417;18;29
656;431;97;47
657;209;54;33
658;5206;90;64
659;15304;11;79
660;1834;31;14
661;3626;41;32
662;1185;24;46
663;5055;55;46
664;7826;197;28
665;9757;24;42
666;3765;50;11
667;11559;27;2
668;2321;23;18
669;2158;50;44
670;15;242;66
671;2361;159;36
672;15;87;53
673;33;31;27
674;3;155;61
675;28;59;51
676;25934;22;69
677;22875;42;21
678;949;28;11
679;8715;25;63
680;509;102;47
681;176;120;39
682;114;30;27
683;5389;126;65
684;35;126;25
685;2940;119;66
686;3156;188;24
687;33808;28;69
688;3740;48;123
689;19;63;109
690;14126;38;80
691;5609;13;54
692;21;24;106
693;64;8;29
694;29;100;48
695;1842;118;22
696;68;217;24
697;5619;38;22
698;6946;130;21
699;17969;36;7
700;20947;58;56
701;5550;117;50
702;14528;111;42
703;114;67;35
704;8911;34;83
705;18963;3;30
706;1522;185;23
707;7802;117;17
708;1110;235;79
709;2723;17;21
710;4288;50;100
711;1954;48;20
712;3793;69;27
713;5043;56;28
714;36;20;38
715;43;67;42
716;6777;18;21
717;53;17;33
718;684;71;15
719;6;9;7
720;7901;94;19
721;60;23;35
722;145;26;35
723;39;183;92
724;1479;95;23
725;2773;14;39
726;4791;71;158
727;1941;58;32
728;184;11;47
729;462;17;41
730;1165;130;41
731;4287;8;68
732;3100;40;55
733;137;39;9
734;3888;151;16
735;102;18;53
736;4926;48;28
737;7820;305;59
738;49;189;68
739;588;19;38
740;8758;64;19
741;4993;24;14
742;5528;116;24
743;2524;108;63
744;1583;25;14
745;5428;88;48
746;2833;186;122
747;3910;64;45
748;2441;155;23
749;5058;9;33
750;27;19;19
751;168;52;15
752;292;14;10
753;26;22;41
754;3915;41;7
755;1368;126;45
756;2138;47;31
757;88;66;35
758;2271;7;21
759;4743;162;27
760;6631;188;21
761;4122;34;49
762;30;55;65
763;57;39;8
764;10847;56;14
765;8808;125;22
766;21788;170;38
767;1756;27;5
768;5919;45;25
769;1956;13;20
770;27;24;32
771;5070;9;19
772;1509;118;27
773;119;158;32
774;5323;49;16
775;38;4;69
776;7236;46;34
777;4116;84;29
778;5401;194;37
779;27;40;65
780;4266;50;10
781;31;59;78
782;5968;4;65
783;8790;395;33
784;3503;34;23
785;46;106;62
786;965;53;34
787;2676;30;23
788;1101;111;12
789;4565;363;26
790;10375;70;90
791;1349;31;15
792;67;37;20
793;661;206;18
794;7066;42;42
795;2588;23;28
796;1734;27;10
797;20057;30;68
798;68;114;23
799;4370;141;70
800;3936;33;81
801;25553;32;50
802;126;24;48
803;1003;73;21
804;258;169;31
805;1109;37;36
806;60;40;30
807;75;13;14
808;7933;38;58
809;3800;37;110
810;4613;9;103
811;3235;131;70
812;1726;34;101
813;491;47;39
814;26001;46;36
815;4541;86;29
816;14072;18;86
817;1460;30;48
818;15653;6;16
819;1475;60;47
820;13;167;14
821;11969;28;163
822;1;10;51
823;10102;76;24
824;49;50;41
825;3895;74;22
826;1190;30;21
827;69;21;33
828;2486;82;18
829;7728;19;79
830;527;18;31
831;5180;145;33
832;2576;175;108
833;7793;92;53
834;22;75;56
835;1662;40;29
836;11897;9;5
837;115;42;28
838;194;11;22
839;779;331;144
840;9370;58;42
841;250;84;118
842;1189;0;16
843;13040;38;90
844;43;96;216
845;2116;64;30
846;41;38;71
847;30;181;50
848;6364;46;72
849;75;68;49
850;1312;32;23
851;27053;17;0
852;215;13;50
853;28;118;24
854;33;37;30
855;20;99;15
856;5247;29;8
857;17930;81;50
858;2683;98;7
859;45556;58;25
860;894;65;13
861;3729;25;19
862;104;27;13
863;46;128;62
864;3696;165;52
865;8026;37;80
866;7757;4;33
867;4101;57;75
868;1520;73;14
869;88;232;36
870;3745;26;32
871;47;149;34
872;5843;59;43
873;122;89;43
874;56;3;63
875;928;82;30
876;11738;77;1
877;5194;25;36
878;39321;54;50
879;3382;20;114
880;4326;1;18
881;77;32;100
882;2226;17;13
883;3520;161;91
884;6690;68;73
885;677;7;35
886;38;33;63
887;875;86;120
888;6398;37;28
889;1546;248;34
890;5595;53;85
891;5149;30;58
892;32;78;13
893;35170;95;5
894;806;97;33
895;85;21;56
896;2907;105;13
897;5655;76;19
898;8775;134;39
899;188;19;71
900;12;42;27
901;2577;104;65
902;1433;30;28
903;234;69;43
904;303;14;70
905;17971;36;34
906;1355;100;39
907;158;22;42
908;238;61;28
909;794;7;97
910;7306;57;10
911;9294;15;129
912;6778;47;49
913;1534;75;24
914;7186;167;54
915;24;120;49
916;2943;26;15
917;3518;55;34
918;919;40;42
919;11555;14;8
920;49;46;8
921;135;9;42
922;266;42;35
923;1019;12;94
924;2553;34;29
925;7826;16;27
926;1721;61;55
927;16646;71;54
928;1986;5;48
929;30;72;23
930;6666;121;14
931;35;41;241
932;460;57;49
933;27283;50;33
934;3077;35;30
935;119;39;13
936;126;43;25
937;6977;182;13
938;366;56;95
939;8533;49;31
940;18568;43;26
941;2805;52;44
942;60;21;12
943;3;17;15
944;4867;28;13
945;2070;15;7
946;4640;72;8
947;336;282;27
948;3498;139;25
949;1807;70;38
950;2636;20;70
951;1;88;24
952;2727;21;29
953;9273;26;2
954;436;70;48
955;96;33;83
956;5123;31;13
957;5699;44;11
958;21332;21;30
959;1873;37;40
960;35;222;4
961;5222;43;11
962;21;60;20
963;7734;44;36
964;2038;307;77
965;1995;34;49
966;1505;141;39
967;95;108;35
968;272;127;53
969;1924;54;144
970;2635;60;20
971;2628;36;16
972;16339;29;20
973;1269;39;23
974;9200;50;40
975;9144;46;9
976;8453;16;16
977;2330;64;15
978;1163;88;27
979;2638;9;8
980;5737;85;45
981;5645;135;86
982;479;2;10
983;2302;206;23
984;17044;14;12
985;75;54;51
986;732;146;35
987;1059;44;14
988;11597;243;17
989;761;289;50
990;22;72;36
991;79;25;51
992;653;67;24
993;28047;26;105
994;65;31;23
995;1746;247;7
996;14;26;32
997;40573;69;97
998;1474;16;7
999;103;7;23
1000;5254;173;30
1001;227;15;63
1002;640;7;45
1003;1937;88;27
1004;2453;51;29
1005;2168;104;30
1006;21;44;45
1007;6686;7;52
1008;5492;60;23
1009;6866;203;10
1010;1081;79;43
1011;13033;38;77
1012;7163;70;41
1013;4861;88;3
1014;25518;36;100
1015;8403;43;68
1016;1989;136;38
1017;2679;16;9
1018;1649;126;149
1019;311;46;20
1020;351;240;23
1021;8659;101;57
1022;3584;154;120
1023;42;48;3
1024;1158;12;46
1025;777;49;22
1026;589;32;54
1027;7388;83;39
1028;712;49;5
1029;3169;47;38
1030;2436;41;31
1031;108;209;22
1032;4668;58;25
1033;4660;48;21
1034;1335;47;45
1035;2201;72;43
1036;1926;80;37
1037;59;41;51
1038;9610;6;47
1039;1888;117;39
1040;50;151;110
1041;11034;13;26
1042;1003;28;87
1043;26625;46;23
1044;1210;68;7
1045;1662;9;20
1046;0;37;9
1047;48;19;20
1048;2257;63;46
1049;1815;140;166
1050;28947;14;18
1051;2620;4;43
1052;1931;57;51
1053;13518;41;10
1054;6092;12;93
1055;9860;50;75
1056;2924;24;9
1057;1767;31;6
1058;78;259;18
1059;1340;29;67
1060;3058;31;56
1061;5556;281;24
1062;5495;3;31
1063;18;23;25
1064;87;15;11
1065;2317;129;9
