;RLS;EA;pmut3.25
557;92490;231277;137903
558;96580;206657;101602
559;93389;211151;151150
560;110657;276447;140979
561;99188;198394;153353
562;88650;192793;113126
563;74335;194643;133170
564;91885;270628;119702
565;95003;306912;112626
566;91122;243830;121719
567;103387;226116;146380
568;115192;307098;136842
569;101304;213356;149978
570;86621;314219;180145
571;96643;175311;117858
572;118079;199424;182367
573;116571;224402;136313
574;78169;203238;139948
575;104491;162359;147207
576;80665;243870;158889
577;100073;173395;156087
578;106629;246920;144194
579;81931;229946;134484
580;88576;226740;159434
581;109546;212486;131578
582;103230;223609;152646
583;82175;338669;128865
584;90393;227513;149624
585;83424;201707;154571
586;97046;324371;213434
587;101819;240173;137700
588;87355;221535;151182
589;85067;228499;118097
590;101015;231203;154703
591;88975;222597;211466
592;102054;334600;122537
593;80502;203105;127711
594;89212;232225;132816
595;93270;182575;138321
596;122892;203281;146098
597;82797;211569;137832
598;93434;286066;141942
599;107652;243901;156422
600;95001;215844;117523
601;146096;207916;146689
602;97198;203802;102252
603;100913;217904;130872
604;78936;231291;144666
605;94046;206498;182995
606;95038;215542;124396
607;75696;208453;167520
608;92218;303479;112394
609;83024;215772;156509
610;77466;175162;140956
611;76995;329360;155794
612;77589;220328;162428
613;91442;211270;151881
614;128280;193482;165257
615;106735;238694;135286
616;99513;255750;131303
617;84226;189071;148394
618;80575;276885;140881
619;89627;275853;179608
620;83366;253176;108664
621;90327;219299;182517
622;86358;261201;174944
623;85620;166146;164198
624;94168;197598;133637
625;95182;285236;147823
626;89362;197359;147722
627;80742;177125;154554
628;131999;216164;139388
629;106952;249609;124033
630;82979;179956;113761
631;111592;301755;178078
632;83746;178621;118059
633;87736;246057;189515
634;76443;200218;143405
635;109037;236107;166892
636;95477;237730;146856
637;91863;183616;155670
638;75540;218027;182457
639;105973;218473;147704
640;74606;186086;118445
641;87061;217473;155466
642;83913;241578;141114
643;88522;217395;190412
644;104339;235172;161388
645;93525;194122;144263
646;82111;266924;145412
647;93879;228938;145704
648;82356;217830;145783
649;92592;334103;131944
650;89835;216842;170883
651;102284;202931;147623
652;169115;272491;143758
653;82399;228539;116600
654;94561;268183;124894
655;98182;248224;122424
656;82073;217453;162231
657;73641;254653;103769
658;76277;191877;174224
659;93887;229526;154398
660;87496;241396;140304
661;94003;240099;146679
662;99967;280421;157646
663;77552;246032;171021
664;77287;227203;135008
665;78758;203837;130598
666;76811;190104;143050
667;78905;200117;142874
668;76046;243261;136957
669;89678;223486;144370
670;96605;222969;112127
671;97318;251613;136821
672;88432;269684;144944
673;89750;213842;114068
674;102948;276758;136410
675;111574;245541;152730
676;68301;246193;167662
677;92039;264501;125970
678;93476;224641;147711
679;74335;259539;136181
680;80656;203393;147609
681;89624;266181;158530
682;82879;227613;219469
683;84778;251627;156715
684;78929;207995;156213
685;91684;218347;137412
686;86043;292113;171636
687;94276;241906;176325
688;87632;222334;176979
689;118911;191546;137944
690;94233;238072;151666
691;82289;246473;129855
692;111542;209830;119612
693;83381;238391;144577
694;88265;264745;131238
695;107581;275440;141591
696;78208;200333;112518
697;87889;218172;139815
698;100294;208090;161767
699;90806;254752;124920
700;79450;187199;112930
701;115803;203889;153528
702;85692;214286;117702
703;118976;201071;125736
704;94775;348484;171659
705;96050;243386;170359
706;82444;218725;116452
707;72810;212027;149349
708;89011;267546;134338
709;84507;238088;159890
710;83878;244051;118684
711;89457;174470;136528
