;EA;EA2;EA3;EA4;EA5;EA10
286;206206;264729;439009;fail;fail;fail
287;223341;294890;398418;777080;fail;fail
288;229321;277828;466954;801984;fail;fail
289;255728;284129;487162;fail;fail;fail
290;220531;287248;551971;842920;fail;fail
291;199902;247243;508148;fail;fail;fail
292;187231;269891;474446;860640;fail;fail
293;220588;336725;430562;fail;fail;fail
294;282199;317929;388447;fail;fail;fail
295;234726;308443;624870;860331;fail;fail
296;294166;227356;656990;723884;fail;fail
297;276993;267102;479032;765166;fail;fail
298;222530;335962;623440;831920;fail;fail
299;194342;292763;535145;691781;fail;fail
300;230309;262915;645601;fail;fail;fail
301;205099;268487;425539;fail;fail;fail
302;195020;275938;467429;fail;fail;fail
303;195295;245350;395446;fail;fail;fail
304;271084;289983;fail;692375;fail;fail
305;218221;234346;454711;795090;fail;fail
306;227538;229220;603182;765387;fail;fail
307;239093;280386;385713;728096;fail;fail
308;196999;301590;548107;fail;fail;fail
309;217190;261577;481275;fail;fail;fail
310;212465;268485;590025;864843;fail;fail
311;217099;355032;509266;828718;fail;fail
312;224647;356049;560221;fail;fail;fail
313;181534;407127;602175;766437;fail;fail
314;252899;315401;561990;fail;fail;fail
315;212081;251393;425735;885425;fail;fail
316;231073;299730;387464;831672;fail;fail
317;216163;309154;413905;fail;fail;fail
318;230845;227268;438303;642822;fail;fail
319;269014;364656;429258;fail;fail;fail
320;204882;257918;544640;fail;fail;fail
321;250788;315006;459544;fail;fail;fail
322;242996;251730;498746;fail;fail;fail
323;220206;272748;422594;870252;fail;fail
324;170664;255293;499035;fail;fail;fail
325;239569;256998;399753;847358;fail;fail
326;198052;224195;724208;660640;fail;fail
327;267026;349408;601423;884395;fail;fail
328;229765;250576;510707;765612;fail;fail
329;215504;313844;423021;851104;fail;fail
330;208653;384852;438607;889935;fail;fail
331;337360;299372;419912;fail;fail;fail
332;212998;277065;485730;fail;fail;fail
333;177620;278810;385120;814475;fail;fail
334;202252;242511;434153;735983;fail;fail
335;231450;241939;437512;785773;fail;fail
336;228778;274639;565435;fail;fail;fail
337;227334;303498;564891;902807;fail;fail
338;215526;256328;459512;860368;fail;fail
339;213758;292497;471027;fail;fail;fail
340;209630;278044;524426;833133;fail;fail
341;198475;335639;638216;fail;fail;fail
342;264926;263816;416215;fail;fail;fail
343;232202;247370;381257;fail;fail;fail
344;220058;302199;490204;fail;fail;fail
345;239183;320202;497660;fail;fail;fail
346;234885;342915;669894;870446;fail;fail
347;333853;227418;406807;745104;fail;fail
348;202685;248499;476213;825406;fail;fail
349;229402;231897;388078;781196;fail;fail
350;266294;469477;428960;815036;fail;fail
351;238647;274079;680820;fail;fail;fail
352;223816;306541;433883;fail;fail;fail
353;314473;257106;452399;fail;fail;fail
354;292514;257291;433418;854922;fail;fail
355;167290;334652;516296;fail;fail;fail
356;263128;224408;491933;fail;fail;fail
357;227006;330825;416218;fail;fail;fail
358;284473;306786;414273;fail;fail;fail
359;238294;250742;479330;829852;fail;fail
360;229710;230130;490055;737582;fail;fail
361;209028;366727;499168;fail;fail;fail
