;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
168;659987;401807;280676;250440;204511;174309;164783;149642;125806
169;535573;402979;288438;271392;198911;221684;160159;185381;112447
170;660056;404522;291563;237790;165568;178897;122629;139111;131466
171;690549;318691;362883;319901;185207;160830;143797;152575;120656
172;fail;458136;247967;287950;236475;179709;168713;133289;128561
173;659677;382126;369841;233878;174740;190795;144362;172821;133298
174;858290;393334;276483;333203;191941;170812;162593;164709;134004
175;807878;377479;330246;219177;193453;160180;146898;163353;130021
176;700268;451614;296710;266711;216252;177138;171423;174465;126745
177;746477;634744;303574;269061;256750;220372;153839;164014;130308
178;640734;341091;259292;289825;200553;141500;131167;136871;129232
179;751550;510804;318463;213631;157021;179051;200418;173351;123499
180;762398;467978;235192;305406;181029;195437;160342;145064;117255
181;724815;500556;267872;217525;194109;204991;198823;160840;117449
182;554502;402116;310244;213550;205455;190148;168058;142044;213524
183;629140;406878;242656;287767;204197;221995;213897;141976;163395
184;678544;360416;279405;212647;231843;206881;155517;141824;120383
185;594722;365657;321080;174774;305447;173836;186189;150449;154176
186;fail;329474;281663;193422;243069;191406;143592;153282;131968
187;547306;373746;258344;215623;216062;166272;173560;165345;142562
188;754393;730106;307722;205804;200389;157027;153325;143805;152970
189;fail;400400;336154;230900;213681;196314;160496;138153;129909
190;662561;387898;328277;239921;207781;191172;162542;129829;148372
191;632245;619599;292363;253391;209318;234884;273412;131929;125918
192;814039;316466;438879;352644;184987;175424;183509;205820;131267
193;fail;443322;325763;355437;209655;215137;155348;193322;105365
194;545962;420724;296031;213263;206736;145778;129783;154977;143057
195;680295;399456;292659;231440;202770;197411;122448;159759;222172
196;835883;381127;281183;254332;167651;189775;161827;142609;122580
197;572803;535885;249802;381754;198317;174022;145481;176133;183153
198;702278;525432;260996;285158;204595;181834;214583;138619;196721
199;700901;436092;266405;299722;223017;164357;207621;187971;121269
200;512102;373791;339444;296227;165289;185578;164819;141878;120867
201;584075;356492;296198;216537;166038;170904;155699;112698;130315
202;851021;457787;285265;189736;194256;159523;167605;147101;120064
203;659997;548138;278567;229650;168765;163614;145316;134511;160839
204;620346;424135;443369;196227;210338;143309;149850;180044;120541
205;735761;524110;414156;296277;189870;171875;185369;149760;129103
206;718349;460367;225286;237246;183304;155087;173336;122565;144334
207;536179;445969;364419;199937;190974;178504;144535;171011;137082
208;651758;336492;401234;256238;238024;221606;132049;174802;155999
209;667732;480444;274711;239042;198673;192093;130964;145486;183767
210;700473;432205;264707;217746;212046;196499;197646;125179;137403
211;742280;358612;281248;246281;200255;194703;145084;145333;130882
212;680713;291084;342496;356065;224114;164900;151141;160288;131048
213;772812;511769;269266;250337;197127;164463;143539;141914;121018
214;fail;350950;308097;216294;217057;163886;192453;145570;119077
215;637015;339287;313354;231138;225398;189185;194486;131110;143947
216;742668;432411;205614;227760;187617;163206;218519;130706;163539
217;839542;458931;313760;168092;198873;148551;174330;180470;168592
218;813146;442686;316560;216108;221842;169087;155258;132866;145150
219;804539;486653;290593;243009;205345;159592;150996;162358;129393
220;702285;451461;296032;274964;193996;199328;171663;223333;161815
221;685833;404724;327997;257333;179889;168911;160723;168412;156303
222;fail;476337;337743;239534;267830;179907;151683;180979;133389
223;625863;486390;289856;193306;152120;168784;157088;160437;144095
224;557150;406309;322220;208508;257691;208047;196010;135083;139488
225;624810;372190;312713;219067;202147;160817;208844;190668;180277
226;682352;458318;298780;221169;207653;183169;193797;175062;154284
227;641659;375945;255585;356494;198794;176369;141119;165509;155617
228;576381;341958;329526;233046;196261;175569;187547;132847;128207
229;672513;399503;256942;240355;187772;155990;185701;183741;156823
230;690795;458086;287118;291656;164005;157448;142197;163382;135029
231;794374;398308;311380;348861;284510;180711;157658;143106;129951
232;602288;530867;255670;206231;265312;199509;160562;156169;125359
233;812709;556605;348088;228814;171901;156813;165905;212482;160549
234;672340;355284;306346;336603;185821;145858;173052;171456;130282
235;548740;372920;247632;200351;202972;154019;139644;170464;143962
236;699931;432524;243787;204254;190754;214099;139621;161818;135192
237;588980;415672;249471;202809;236922;189165;132445;217547;126996
238;728247;418735;287873;284925;232635;188497;151229;175463;124551
239;fail;439438;325676;225977;200244;148654;148008;124182;137729
240;757643;496151;275534;223889;238112;176753;153930;166626;150168
241;707447;463181;422350;240719;216721;173430;150826;152002;133429
242;533526;498391;328334;392180;194880;177117;158048;225561;147940
243;524771;444216;292743;293535;193594;196161;167129;146751;135850
244;796384;424428;365892;295319;238491;186722;146500;141998;125166
245;701134;397990;263775;227323;182698;188296;158460;199140;122977
246;fail;542928;274139;196871;177521;206243;170417;141973;128998
247;807469;359643;434854;193955;199979;243239;128966;204809;152772
248;707188;372513;327187;218308;208047;202793;164760;128450;137823
249;fail;453106;292912;197590;206809;202533;143538;193635;142288
250;669435;506222;305553;202691;205512;184161;121021;150300;129059
251;804016;399595;329571;241821;196312;201311;154283;114374;195071
252;679984;356885;326568;235242;185504;152475;152293;177678;136553
253;591888;377602;407951;246021;180589;204694;171719;159694;144000
254;595117;359694;302995;256334;192571;187326;177340;151116;172784
255;633717;364431;267158;204262;199744;169385;146523;135595;126505
256;567246;382784;307577;242827;224117;156842;168741;160227;184037
257;fail;341049;377160;258452;230551;177544;151814;138695;159950
258;662761;470600;298611;338022;223697;232233;159321;128360;172063
259;737038;362562;286059;209457;223621;153870;188437;171538;142469
260;552844;580802;347605;299833;197338;141272;190842;137006;101861
261;795356;340127;288211;306780;215742;184982;170109;129102;137289
262;592709;451437;290817;272349;199379;199312;156915;148560;152244
263;642207;478488;291480;242865;187593;178290;188347;181096;138266
264;822067;345181;352222;237269;217512;248378;140803;140797;154499
265;670331;351428;317109;235093;251400;169930;150840;155416;141162
266;537994;400779;397934;245811;190124;141244;145477;162417;140084
267;719135;353015;254045;227818;200982;209598;161342;127375;144521
268;fail;504024;255882;199584;178815;156944;159660;184379;123389
269;616505;549679;272761;230156;188667;206517;163324;142273;169510
270;670419;448622;241796;219460;224049;147736;202206;130210;159373
271;673000;396521;375453;219452;270962;162043;200224;182544;119341
272;634317;397246;398293;259616;205520;192821;171352;146963;123523
273;745957;361061;278448;203253;189208;171647;160360;138029;150193
274;739860;414270;270881;261140;211833;166758;170657;140549;176656
275;760692;411842;291983;272049;163709;189645;146170;125919;158582
276;564047;380325;292846;227906;170920;185004;212811;222984;189941
277;684513;402512;277725;271551;237701;179130;156008;127126;112745
278;734983;390409;390177;256130;209531;250051;147971;154435;148624
279;548192;598418;246695;267594;187474;185922;246252;151061;138217
