157;fail;3883;1044;3577;913;3378;9378;19979;7155
158;fail;2276;5526;8058;40;4292;2312;18151;1967
159;fail;31215;12483;1069;3782;7258;3051;7109;4135
160;620;2807;2765;1944;4257;8186;3082;9649;2386
161;184;1238;322;124;7804;1236;2279;800;5257
162;fail;15745;1847;7043;1826;955;1460;20777;8858
163;311;13686;2400;2430;2337;7133;3272;5275;16919
164;fail;502;14432;2793;266;8040;1471;6602;1974
165;fail;495;33;513;1906;47;4847;37;21964
166;943;717;284;391;230;2185;2132;6144;45
167;fail;799;16189;4984;1325;3257;1177;16480;6364
168;fail;587;8306;3453;1820;6872;3183;3775;20049
169;1302;729;1703;14481;1899;332;93;699;9174
170;fail;14539;9198;26289;41;1066;8504;8427;39181
171;227;1707;1174;3931;1332;1600;10139;35760;9309
172;4455;227;371;3883;1859;8804;7217;9603;9073
173;fail;639;30147;1537;4667;2897;3430;24583;7713
174;101;1632;7091;788;405;2949;19740;43534;21201
175;120;8466;7379;18709;9907;2012;1142;5196;2641
176;1001;2640;304;2734;654;4337;8882;4437;4832
177;fail;688;1088;188;45;6463;8493;875;22509
178;357;190;1986;3233;986;7928;3898;22808;3275
179;1302;31893;581;6815;54;4888;481;9789;28990
180;fail;450;7587;8833;8196;1658;4913;734;26182
181;539;555;399;1338;1543;1154;7044;7236;181
182;fail;5732;3716;7558;2745;4956;317;28257;16834
183;fail;256;7901;3903;6401;1044;856;1431;16238
184;891;71;23114;367;225;1608;1598;2817;586
185;804;164;40;2813;607;3867;4498;6102;1537
186;475;528;528;1459;2369;263;4169;6718;1612
187;633;10348;836;4106;729;1314;2275;8590;6577
188;429;783;27056;30;2464;10488;5001;3466;29598
189;43;5209;9955;167;1063;2620;7786;2888;1505
190;965;97;2827;1680;1000;1905;1843;923;5071
191;1644;2381;2659;2795;3912;248;3579;20761;1824
192;fail;19708;5197;21136;4591;24841;3078;25172;2543
193;fail;2067;3887;1440;12466;4917;2358;1191;1583
194;951;3626;596;1304;1934;565;19921;6489;32
195;678;707;2872;65;826;12645;1776;13857;228
196;633;534;2433;10979;78;498;485;13106;7175
197;154;6798;7695;3379;5302;1689;1129;1416;7113
198;207;31150;4099;1191;1452;5517;2935;3032;3624
199;132;970;55;1264;445;617;996;29825;4692
200;648;745;983;41;2646;2124;289;2401;4385
201;3224;3054;16210;4022;3866;805;876;7522;44484
202;2283;28107;542;16288;931;11745;6230;7838;30016
203;fail;56333;8128;253;1928;1990;1288;1336;2489
204;73;24226;613;174;509;16721;18;fail;20589
205;932;530;2024;5159;3547;2167;16114;25328;65061
206;1779;2377;2106;224;3612;4025;7349;36953;9140
207;fail;4059;7064;3374;3118;1638;8329;25096;12738
208;531;3100;1854;1830;1447;5571;398;8502;20620
209;642;9796;3655;11467;7288;1330;146;9771;21141
210;1853;5305;3093;423;297;1883;1992;4069;6296
211;98;14804;2116;239;6616;267;2724;18810;8953
212;779;8212;989;3509;9332;1456;1489;17419;59154
213;191;2108;2747;124;296;3827;3040;5056;4299
214;608;4159;102;257;156;4137;2215;10325;12285
215;912;2705;938;3131;4041;4523;7055;370;6911
216;fail;1127;834;1108;1554;3818;924;1334;84
217;fail;238;7807;316;9248;3728;14091;3042;3049
218;fail;838;1998;226;1604;11639;2454;7102;57474
219;fail;14747;2313;1607;14928;852;743;1509;12140
220;1081;1873;1345;4633;580;460;1116;1465;3412
221;440;7417;1251;819;670;4622;5017;7124;8642
222;85;70;155;1344;34;1906;4664;31954;9832
223;253;2809;2175;453;614;2148;9571;3612;43857
224;379;106;2577;3318;2639;1467;17980;3644;30264
225;fail;1712;99;808;4729;2699;20116;798;3325
226;fail;16667;1249;937;309;2071;2962;4358;19891
