;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
187;588;513;1020;502;188;1016;189;699;176
188;3;957;509;504;456;464;325;286;252
189;1242;103;89;404;596;723;375;554;412
190;1039;77;2450;1576;746;454;426;813;998
191;537;797;724;1133;474;1500;44;279;385
192;1343;113;689;239;236;190;107;190;205
193;2817;367;435;261;453;365;1391;490;686
194;205;103;637;590;324;139;2163;405;352
195;959;566;761;272;395;1092;182;615;409
196;731;2346;117;975;1556;536;725;284;192
197;665;189;102;1054;510;137;2158;209;374
198;289;496;148;530;31;352;344;1668;355
199;313;278;134;67;72;215;400;261;655
200;922;1703;1656;777;464;349;467;2273;152
201;131;394;853;2603;802;1812;428;68;1334
202;406;205;195;224;369;762;608;384;522
203;981;491;275;682;481;45;1879;1397;422
204;216;1140;136;498;95;267;323;367;639
205;421;122;979;137;1131;358;685;80;519
206;366;822;754;912;2691;1217;804;661;321
207;549;432;466;514;1090;175;694;861;376
208;764;783;905;993;151;555;1466;455;891
209;4007;634;166;2341;671;838;1140;162;615
210;3047;333;127;699;942;647;529;216;1301
211;534;704;972;326;164;320;214;339;1294
212;6500;567;1683;812;2545;1229;312;300;952
213;610;359;678;732;667;2047;764;867;453
214;625;120;966;172;245;288;118;430;99
215;850;369;999;438;223;533;254;124;344
216;263;2710;1030;159;2367;701;877;439;248
217;790;207;544;509;441;202;2482;1605;407
218;153;360;406;613;524;337;353;258;525
219;391;416;155;543;337;40;384;327;244
220;498;395;1045;432;392;551;314;482;343
221;349;615;683;281;581;1142;480;606;1079
222;898;691;131;99;584;529;212;1523;1491
223;433;498;162;251;227;241;225;83;1006
224;1815;570;380;1001;706;3426;638;342;953
225;319;4288;133;235;2077;235;785;343;900
226;4071;506;750;161;277;1041;1455;148;381
227;735;484;569;232;194;355;452;557;1585
228;186;316;1001;518;265;804;299;890;354
229;1397;735;1259;338;233;873;1131;278;304
230;648;2605;1033;276;243;365;1377;1734;324
231;90;975;708;412;1146;219;598;130;1431
232;157;947;406;1756;570;1055;130;249;313
233;700;145;326;433;731;1107;4658;137;292
234;213;342;1326;849;642;165;312;1004;517
235;243;67;357;921;609;2491;1554;2991;1921
236;1161;778;648;257;233;1176;324;452;987
237;1756;102;1396;682;185;512;1377;668;353
238;3043;1037;982;309;1375;161;1120;1731;1123
239;222;518;245;216;830;320;750;818;1458
240;201;464;987;515;1191;1887;516;682;330
241;1978;464;217;1565;848;1341;570;651;377
242;986;588;444;126;860;68;464;111;240
243;200;901;1748;435;156;299;202;332;199
244;1621;77;1255;62;650;1081;243;277;276
245;3933;1240;277;150;530;676;397;710;871
246;2283;381;439;351;204;70;559;546;416
247;175;419;294;690;90;317;278;877;982
248;667;1361;2836;1015;621;612;540;4933;755
249;1045;169;848;670;281;486;1251;711;3607
250;824;863;193;584;1498;809;392;1249;640
251;378;228;996;221;620;1064;715;194;513
252;72;880;230;386;467;336;365;1548;354
253;1720;860;290;109;801;151;240;625;363
254;315;1616;631;306;1002;299;217;651;299
255;344;627;821;1737;341;173;1059;1425;1083
256;640;211;628;185;1393;355;564;150;2296
257;624;4373;494;188;129;1490;559;1834;181
258;62;381;208;579;2076;749;653;788;578
259;240;142;925;199;290;258;443;902;512
260;905;641;601;270;1607;297;638;1030;1277
261;964;44;902;877;950;287;1660;248;1503
262;2216;671;730;228;247;2744;232;337;688
263;1929;1426;326;170;1191;1355;287;1020;1015
264;347;958;119;560;144;252;334;1000;212
265;142;1006;1255;550;938;358;818;457;766
